9 0 9	.C....BC.PTUBAAPTUYYYOTU..DOLL..D... 
14 8 6	...PT..C.PTU.CAATUYYY..UB.DOLLB.DO.. C99 P99 T99 B97 A99 Y96 O99 
14 8 6	...PTUBC.PTUBCAATU..DYYY..DOLL...O.. C99 P99 T99 U99 A99 Y97 D99 O99 
14 5 9	BC.P.UBC.PTUAA.OTUYYYOT...D.LL..D... B99 P99 U99 A99 O99 
14 8 6	B..PTUBC.PTU.CAATU.YYY....DOLL..DO.. C99 B99 P99 T99 U99 A99 Y99 O99 
14 8 6	...PT....PTUAA..TUB.YYYUBCDOLL.CDO.. C96 P99 T99 B98 A97 Y98 O99 
14 8 6	...PTU...PTU..AATUB.YYY.BCDOLL.CDO.. C96 P99 T99 B98 U99 A99 Y98 O99 
14 5 9	.C..T.BC.PTUBAAPTU.YYY.U..DOLL..DO.. P98 T99 Y99 O99 
14 8 6	.C.PTU.C.PTU..AATUYYY...B.DOLLB.DO.. B97 P99 T99 U99 A99 Y98 O99 
14 8 6	B..PT.B..PTU..AATU.YYY.U.CDOLL.CDO.. C96 B99 P99 T99 A99 Y97 O99 
14 8 6	B..PT.B..PTUAA..TU.CYYYU.CDOLL..DO.. C97 B99 P99 T99 A97 Y98 O99 
14 5 9	.C..TUBC..TUBAAPTUYYYP....DOLL..DO.. P97 T99 U99 O99 
14 8 6	...PT....PTU..AATU.YYY.UBCDOLLBCDO.. C96 P99 T99 B97 A99 Y97 O99 
14 8 6	...PT....PTU..AATUYYY..UBCDOLLBCDO.. C96 P99 T99 B97 A99 Y96 O99 
14 8 6	...PTU...PTU..AATU..YYY.BCDOLLBCDO.. C96 P99 T99 B97 U99 A99 Y98 O99 
14 8 6	B..PT.B..PTU..AATUYYY..U.CDOLL.CDO.. C96 B99 P99 T99 A99 Y96 O99 
14 8 6	...PT.B..PTUBAA.TU.YYY.U.CDOLL.CDO.. C96 P99 T99 A98 Y97 O99 
14 8 6	...PT....PTU.AA.TU..YYYUBCDOLLBCDO.. C96 P99 T99 B97 A98 Y98 O99 
14 5 9	.C..TUBC.PTUBAAPTUYYY.....DOLL..DO.. P98 T99 U99 O99 
14 8 6	.C.P.U.C.PTU..AATUYYYOT.B.DOLLB.D... B97 P99 U99 A99 Y98 O98 
14 8 6	...PTU.C.PTUBCAATUBYYY....DOLL..DO.. C99 P99 B99 T99 U99 A99 Y99 O99 
14 8 6	BC.PTUBC.PTU..AATU..DYYY..DOLL...O.. B99 P99 T99 U99 A99 Y97 O99 D99 
14 8 6	...PT....PTU..AATUBYYY.UBCDOLL.CDO.. C96 P99 T99 B98 A99 Y97 O99 
14 8 6	...PT....PTU.AA.TUB.YYYUBCDOLL.CDO.. C96 P99 T99 B98 A98 Y98 O99 
14 8 6	...PTU.C.PTU.CAATUBYYY..B.DOLL..DO.. C99 P99 B98 T99 U99 A99 Y99 O99 
14 8 6	.CDPTU.CDPTUAA..TU...YYYB..OLLB..O.. B97 P99 T99 U99 A99 Y97 O99 D96 
14 8 6	...PTUB..PTUBCAATU.CDYYY..DOLL...O.. C98 P99 T99 U99 A99 Y97 D99 O99 
14 8 6	B..PTUBC.PTU.CAATU...YYY..DOLL..DO.. C99 B99 P99 T99 U99 A99 Y97 O99 
14 8 6	...PTU...PTUB.AATUBC.YYY.CDOLL..DO.. C97 P99 T99 U99 B99 A99 Y97 O99 
14 8 6	...PTUB..PTUBAA.TU.C.YYY.CDOLL..DO.. C97 P99 T99 U99 A98 Y97 O99 
14 8 6	...PT.B..PTUBAA.TUYYY..U.CDOLL.CDO.. C96 P99 T99 A98 Y96 O99 
14 8 6	...PTU...PTU.CAATUBC.YYYB.DOLL..DO.. C98 P99 T99 U99 A99 B98 Y97 O99 
14 8 6	...P..B..PTUB.AATUYYY.TU.CDOLL.CDO.. C96 P99 T98 A99 Y96 O99 
14 8 6	B..PT.B..PTU.AA.TU.CYYYU.CDOLL..DO.. C97 P99 T99 B99 A98 Y98 O99 
14 8 6	.C.PTU.C.PTUB.AATUB.DYYY..DOLL...O.. B99 P99 T99 U99 A99 Y97 O99 D99 
14 8 6	...PTU...PTUBCAATUBC.YYY..DOLL..DO.. C98 P99 T99 U99 B99 A99 Y97 O99 
14 8 6	...PT....PTU.AA.TU.CYYYUBCDOLLB.DO.. C97 P99 T99 B97 A98 Y98 O99 
14 8 6	...PT....PTU.AA.TUBCYYYUBCDOLL..DO.. C97 P99 T99 B98 A98 Y98 O99 
14 8 6	.C.PTU.C.PTU..AATUB.DYYYB.DOLL...O.. B98 P99 T99 U99 A99 Y97 O99 D99 
14 8 6	...PT....PTUBAA.TUBCYYYU.CDOLL..DO.. C97 P99 T99 B99 A98 Y98 O99 
14 8 6	B..PTUBC.PTU.CAATU..YYY...DOLL..DO.. C99 B99 P99 T99 U99 A99 Y98 O99 
14 8 6	.C.PT..C.PTU..AATUYYYO.UB.DOLLB.D... B97 P99 T99 A99 Y98 O98 
14 8 6	...PTU.C.PTU.CAATU..YYY.B.DOLLB.DO.. C99 P99 T99 B97 U99 A99 Y98 O99 
14 8 6	...PTUB..PTUB.AATUYYY....CDOLL.CDO.. C96 P99 T99 U99 A99 Y94 O99 
14 8 6	...PTUB..PTUBAA.TU...YYY.CDOLL.CDO.. C96 P99 T99 U99 A98 Y97 O99 
14 8 6	...PTUB..PTUB.AATU.YYY...CDOLL.CDO.. C96 P99 T99 U99 A99 Y95 O99 
14 8 6	.CDPTU.CDPTUAA..TUB..YYYB..OLL...O.. B98 P99 T99 U99 A99 Y97 O99 D96 
14 8 6	...PTU...PTU..AATUB..YYYBCDOLL.CDO.. C96 P99 T99 U99 B98 A99 Y97 O99 
14 8 6	...PTU...PTU..AATU...YYYBCDOLLBCDO.. C96 P99 T99 U99 B97 A99 Y97 O99 
14 8 6	...PTU...PTUB.AATUB..YYY.CDOLL.CDO.. C96 P99 T99 U99 B99 A99 Y97 O99 
14 8 6	.C.PTU.C.PTUAA..TUYYY...B.DOLLB.DO.. B97 P99 T99 U99 A99 Y98 O99 
14 8 6	...P...C.PTU.CAATUYYYOTUB.DOLLB.D... C99 P99 A99 Y98 O98 B97 
14 8 6	...PTU.C.PTU.CAATU...YYYB.DOLLB.DO.. C99 P99 T99 U99 B97 A99 Y97 O99 
14 8 6	.C.PTU.C.PTUAA..TUB.DYYYB.DOLL...O.. B98 P99 T99 U99 A99 Y97 O99 D99 
14 5 9	BC....BC.PTU.AAPTU.YYYTU..DOLL..DO.. B99 P98 Y99 O99 
14 8 6	...PTU.C.PTU.CAATUB..YYYB.DOLL..DO.. C99 P99 T99 U99 B98 A99 Y97 O99 
14 8 6	...PTU.C.PTUBCAATUB..YYY..DOLL..DO.. C99 P99 T99 U99 B99 A99 Y97 O99 
14 5 9	BC.PTUBC.PTU.AAOTUYYYO....D.LL..D... B99 P99 T99 U99 O99 
14 8 6	B..PTUB..PTU..AATU.C.YYY.CDOLL..DO.. C97 B99 P99 T99 U99 A99 Y97 O99 
14 8 6	B..PTUB..PTU..AATU...YYY.CDOLL.CDO.. C96 B99 P99 T99 U99 A99 Y97 O99 
14 8 6	B..PT.B..PTUAA..TU..YYYU.CDOLL.CDO.. C96 B99 P99 T99 A97 Y98 O99 
14 8 6	B..PTUB..PTU.CAATU.C.YYY..DOLL..DO.. C98 B99 P99 T99 U99 A99 Y97 O99 
14 8 6	B..PT.B..PTU.AA.TU..YYYU.CDOLL.CDO.. C96 B99 P99 T99 A98 Y98 O99 
14 8 6	BCDPTUBCDPTUAA..TU...YYY...OLL...O.. B99 P99 T99 U99 A99 Y97 O99 D96 
14 8 6	B..PTUB..PTU..AATU..YYY..CDOLL.CDO.. C96 B99 P99 T99 U99 A99 Y98 O99 
14 8 6	BC.PTUBC.PTUAA..TU..DYYY..DOLL...O.. B99 P99 T99 U99 A99 Y97 O99 D99 
14 8 6	...PTU.C.PTU.CAATU.YYY..B.DOLLB.DO.. C99 P99 T99 U99 A99 Y99 B97 O99 
14 8 6	...PTUB..PTUB.AATU..DYYY.CDOLL.C.O.. C96 P99 T99 U99 A99 Y97 D99 O99 
14 8 6	...PT....PTUBAA.TUB.YYYU.CDOLL.CDO.. C96 P99 T99 B99 A98 Y98 O99 
14 5 9	BC..T.BC..TU.AAPTUYYYP.U..DOLL..DO.. B99 P97 T99 O99 
14 8 6	...PTU...PTU..AATUBC.YYYBCDOLL..DO.. C97 P99 T99 U99 A99 B98 Y97 O99 
14 8 6	.C.PTU.C.PTU..AATU..DYYYB.DOLLB..O.. B97 P99 T99 U99 A99 Y97 O99 D99 
14 8 6	...PTUB..PTUB.AATU.CDYYY.CDOLL...O.. C97 P99 T99 U99 A99 Y97 D99 O99 
14 5 9	BC...UBC.PTUAA.PTUYYYOT...DOLL..D... B99 P98 U99 A99 
14 8 6	...PTU...PTU.CAATU.C.YYYB.DOLLB.DO.. C98 P99 T99 U99 B97 A99 Y97 O99 
14 8 6	...PTU...PTU..AATU.C.YYYBCDOLLB.DO.. C97 P99 T99 U99 B97 A99 Y97 O99 
14 8 6	.C.PTU.C.PTUAA..TU..DYYYB.DOLLB..O.. B97 P99 T99 U99 A99 Y97 O99 D99 
14 8 6	.C.PT..C.PTUAA..TUYYYO.UB.DOLLB.D... B97 P99 T99 A99 Y98 O98 
14 8 6	.C.P.U.C.PTUAA..TUYYYOT.B.DOLLB.D... B97 P99 U99 A99 Y98 O98 
14 8 6	...P.U.C.PTU.CAATUYYY.T.B.DOLLB.DO.. C99 P99 B97 U99 A99 Y98 O99 
14 8 6	...PTU...PTU.CAATU.CYYY.B.DOLLB.DO.. C98 P99 T99 B97 U99 A99 Y98 O99 
14 8 6	...PTU.C.PTU.CAATUB.YYY.B.DOLL..DO.. C99 P99 T99 B98 U99 A99 Y98 O99 
14 5 9	BC..T.BC.PTUAA.PTUYYYO.U..DOLL..D... B99 P98 T99 A99 
14 5 9	.C...UBC.PTUBAAPTU.YYYT...DOLL..DO.. P98 U99 Y99 O99 
14 5 9	.C.....C.PTU.AAPTUBYYYTUB.DOLL..DO.. B98 P98 Y99 O99 
14 5 9	BC...UBC.PTU.AAPTUYYY.T...DOLL..DO.. B99 P98 U99 O99 
14 8 6	.C.PTU.C.PTU.AA.TUYYYO..B.DOLLB.D... B97 P99 T99 U99 Y98 O98 
14 8 6	...PTU...PTU.CAATUBCYYY.B.DOLL..DO.. C98 P99 T99 B98 U99 A99 Y98 O99 
14 5 9	BC..T.BC.PTU.AAPTUYYY..U..DOLL..DO.. B99 P98 T99 O99 
14 5 9	BC....BC..TUAA.PTUYYYPTU..DOLL..DO.. B99 P97 A99 O99 
14 8 6	...PTUB..PTUBAA.TU.CYYY..CDOLL..DO.. C97 P99 T99 U99 A98 Y98 O99 
14 8 6	...PT.B..PTUB.AATUYYYO.U.CDOLL.CD... C96 P99 T99 A99 Y96 O98 
14 5 9	.C.....C.PTUBAAPTUBYYYTU..DOLL..DO.. B99 P98 Y99 O99 
14 5 9	BC..TUBC.PTU.AAPTUYYYO....DOLL..D... B99 P98 T99 U99 
14 8 6	...PTU...PTUB.AATUBCYYY..CDOLL..DO.. C97 P99 T99 U99 B99 A99 Y98 O99 
14 8 6	...PTUB..PTUBAA.TU..YYY..CDOLL.CDO.. C96 P99 T99 U99 A98 Y98 O99 
14 5 9	BC...UBC..TU.AAPTUYYYPT...DOLL..DO.. B99 P97 U99 O99 
14 8 6	...PT....PTUAA..TU..YYYUBCDOLLBCDO.. C96 P99 T99 B97 A97 Y98 O99 
14 8 6	...PTU...PTUBCAATUBCYYY...DOLL..DO.. C98 P99 T99 U99 B99 A99 Y98 O99 
14 8 6	...PTU...PTUB.AATUB.YYY..CDOLL.CDO.. C96 P99 T99 U99 B99 A99 Y98 O99 
14 8 6	...PT....PTUAA..TUBCYYYUBCDOLL..DO.. C97 P99 T99 B98 A97 Y98 O99 
14 8 6	...PT....PTUAA..TU.CYYYUBCDOLLB.DO.. C97 P99 T99 B97 A97 Y98 O99 
14 8 6	...PTU.C.PTUBCAATUB.YYY...DOLL..DO.. C99 P99 T99 U99 B99 A99 Y98 O99 
14 8 6	B..PTUB..PTU.CAATU.CYYY...DOLL..DO.. C98 B99 P99 T99 U99 A99 Y98 O99 
14 8 6	B..PTUB..PTU..AATU.CYYY..CDOLL..DO.. C97 B99 P99 T99 U99 A99 Y98 O99 
14 8 6	...P..B..PTUB.AATU.YYYTU.CDOLL.CDO.. C96 P99 T98 A99 Y97 O99 
14 5 9	BC.PT.BC.PTUAA.OTUYYYO.U..D.LL..D... B99 P99 T99 A99 O99 
14 5 9	.C..T.BC.PTUBAAPTU..YYYU..DOLL..DO.. P98 T99 Y98 O99 
14 8 6	...PTU...PTU..AATUBCYYY.BCDOLL..DO.. C97 P99 T99 B98 U99 A99 Y98 O99 
14 8 6	...PT....PTUB.AATUBYYY.U.CDOLL.CDO.. C96 P99 T99 B99 A99 Y97 O99 
14 8 6	...PTU...PTU..AATU.CYYY.BCDOLLB.DO.. C97 P99 T99 B97 U99 A99 Y98 O99 
15 6 9	.C..T..C.PTU.AAPTU..YYYUB.DOLLB.DO.. B97 P98 T99 Y98 O99 
15 6 9	.C..T..C.PTUBAAPTUB.YYYU..DOLL..DO.. B99 P98 T99 Y98 O99 
15 9 6	B..PTUBC.PTU.CAATU..DYYY..DOLL...O.. C99 P99 T99 U99 B99 A99 Y97 D99 O99 
15 9 6	...PTUB..PTUBAA.TU.CDYYY.CDOLL...O.. C97 P99 T99 U99 A98 Y97 D99 O99 
15 9 6	...P..B..PTUBAA.TUYYY.TU.CDOLL.CDO.. C96 P99 T98 A98 Y96 O99 
15 9 6	...PTUB..PTUBAA.TUYYY....CDOLL.CDO.. C96 P99 T99 U99 A98 Y96 O99 
15 9 6	.CDPTU.CDPTU..AATU...YYYB..OLLB..O.. B97 P99 T99 U99 A97 Y97 O99 D96 
15 9 6	.CDPTU.CDPTU.AA.TU...YYYB..OLLB..O.. B97 P99 T99 U99 A98 Y97 O99 D96 
15 9 6	B..PTUB..PTU.CAATU.CDYYY..DOLL...O.. C98 B99 P99 T99 U99 A99 Y97 O99 D99 
15 9 6	...P..B..PTUBAA.TU.YYYTU.CDOLL.CDO.. C96 P99 T98 A98 Y97 O99 
15 6 9	.C..T..C.PTU.AAPTUB.YYYUB.DOLL..DO.. B98 P98 T99 Y98 O99 
15 9 6	...PTU...PTU.AA.TU.C.YYYBCDOLLB.DO.. C97 P99 T99 U99 B97 A98 Y97 O99 
15 9 6	...PTU...PTU.CAATU.CDYYYB.DOLLB..O.. C98 P99 T99 U99 B97 A99 Y97 D99 O99 
15 6 9	BC..TUBC.PTUAA.PTUYYYO....DOLL..D... B99 P98 T99 U99 A99 
15 6 9	.C..T..C.PTU.AAPTU.YYY.UB.DOLLB.DO.. B97 P98 T99 Y99 O99 
15 9 6	.CDPTU.CDPTUAA..TUYYY...B..OLLB..O.. B97 P99 T99 U99 A99 Y94 O99 D96 
15 9 6	...PT..C.PTU.CAATUYYYO.UB.DOLLB.D... C99 P99 T99 B97 A99 Y96 O98 
15 6 9	BC...UBC.PTU.AAPTU.YYYT...DOLL..DO.. B99 P98 U99 Y99 O99 
15 9 6	...PTUB..PTUBAA.TU.YYY...CDOLL.CDO.. C96 P99 T99 U99 A98 Y97 O99 
15 6 9	.C.....C..TU.AAPTUYYYPTUB.DOLLB.DO.. B97 P97 Y98 O99 
15 6 9	.C.....C.PTU.AAPTUYYY.TUB.DOLLB.DO.. B97 P98 Y98 O99 
15 9 6	...PT....PTUAA..TUBYYY.UBCDOLL.CDO.. C96 P99 T99 B98 A97 Y97 O99 
15 9 6	...PT....PTU..AATUYYYO.UBCDOLLBCD... C96 P99 T99 B97 A99 Y96 O98 
15 9 6	B..PT.B..PTU..AATUYYYO.U.CDOLL.CD... C96 B99 P99 T99 A99 Y96 O98 
15 9 6	B..PT.B..PTU.AA.TUYYY..U.CDOLL.CDO.. C96 B99 P99 T99 A98 Y96 O99 
15 9 6	B..PT.B..PTUAA..TUYYY..U.CDOLL.CDO.. C96 B99 P99 T99 A97 Y96 O99 
15 9 6	...PTU.C.PTU.CAATU..DYYYB.DOLLB..O.. C99 P99 T99 U99 B97 A99 Y97 D99 O99 
15 9 6	...PTU...PTUAA..TU..YYY.BCDOLLBCDO.. C96 P99 T99 B97 U99 A97 Y98 O99 
15 9 6	B..PTUB..PTU..AATUYYY....CDOLL.CDO.. C96 B99 P99 T99 U99 A99 Y96 O99 
15 9 6	B..P..B..PTU..AATUYYY.TU.CDOLL.CDO.. C96 B99 P99 T98 A99 Y96 O99 
15 9 6	...PTU.C.PTU.CAATUB.DYYYB.DOLL...O.. C99 P99 T99 U99 B98 A99 Y97 D99 O99 
15 9 6	...PTU...PTU.AA.TU..YYY.BCDOLLBCDO.. C96 P99 T99 B97 U99 A98 Y98 O99 
15 9 6	...PT....PTUAA..TUYYY..UBCDOLLBCDO.. C96 P99 T99 B97 A97 Y96 O99 
15 9 6	...PTU...PTU..AATUBYYY..BCDOLL.CDO.. C96 P99 T99 B98 U99 A99 Y97 O99 
15 9 6	.C.PTU.C.PTU..AATUYYYO..B.DOLLB.D... B97 P99 T99 U99 A99 Y98 O98 
15 9 6	...PT....PTUAA..TU.YYY.UBCDOLLBCDO.. C96 P99 T99 B97 A97 Y97 O99 
15 9 6	...PT....PTU.AA.TUYYY..UBCDOLLBCDO.. C96 P99 T99 B97 A98 Y96 O99 
15 9 6	...PTU...PTU..AATUYYY...BCDOLLBCDO.. C96 P99 T99 B97 U99 A99 Y96 O99 
15 9 6	...PTU...PTU.AA.TUB.YYY.BCDOLL.CDO.. C96 P99 T99 B98 U99 A98 Y98 O99 
15 9 6	...P.....PTU..AATUYYY.TUBCDOLLBCDO.. C96 P99 T98 B97 A99 Y96 O99 
15 9 6	...PT....PTU.AA.TU.YYY.UBCDOLLBCDO.. C96 P99 T99 B97 A98 Y97 O99 
15 9 6	B..PT.B..PTUAA..TU.YYY.U.CDOLL.CDO.. C96 B99 P99 T99 A97 Y97 O99 
15 9 6	...P.....PTU..AATU.YYYTUBCDOLLBCDO.. C96 P99 T98 B97 A99 Y97 O99 
15 9 6	...PTU...PTU..AATU.YYY..BCDOLLBCDO.. C96 P99 T99 B97 U99 A99 Y97 O99 
15 9 6	B..PT.B..PTU.AA.TU.YYY.U.CDOLL.CDO.. C96 B99 P99 T99 A98 Y97 O99 
15 9 6	B..PTUB..PTUAA..TU.CYYY..CDOLL..DO.. C97 B99 P99 T99 U99 A97 Y98 O99 
15 9 6	B..PTUB..PTU..AATU.YYY...CDOLL.CDO.. C96 B99 P99 T99 U99 A99 Y97 O99 
15 9 6	B..P..B..PTU..AATU.YYYTU.CDOLL.CDO.. C96 B99 P99 T98 A99 Y97 O99 
15 9 6	...PTU...PTUAA..TUB.YYY.BCDOLL.CDO.. C96 P99 T99 B98 U99 A97 Y98 O99 
15 9 6	B..PTUB..PTU..AATU..DYYY.CDOLL.C.O.. C96 B99 P99 T99 U99 A99 Y97 O99 D99 
15 9 6	...PTU.C.PTUBCAATUB.DYYY..DOLL...O.. C99 P99 T99 U99 B99 A99 Y97 D99 O99 
15 9 6	B..PTUB..PTUAA..TU...YYY.CDOLL.CDO.. C96 B99 P99 T99 U99 A97 Y97 O99 
15 9 6	...PTU.C.PTU.CAATUYYY...B.DOLLB.DO.. C99 P99 T99 B97 U99 A99 Y96 O99 
15 9 6	...PT....PTU.AA.TUBYYY.UBCDOLL.CDO.. C96 P99 T99 B98 A98 Y97 O99 
15 9 6	...PT....PTUBAA.TUBYYY.U.CDOLL.CDO.. C96 P99 T99 B99 A98 Y97 O99 
15 9 6	...P.U.C.PTU.CAATUYYYOT.B.DOLLB.D... C99 P99 U99 A99 Y98 O98 B97 
15 9 6	...P.....PTU..AATUBYYYTUBCDOLL.CDO.. C96 P99 T98 B98 A99 Y97 O99 
15 9 6	...PTU...PTU.CAATUBCDYYYB.DOLL...O.. C98 P99 T99 U99 B98 A99 Y97 D99 O99 
15 9 6	...PTU...PTUB.AATUB.DYYY.CDOLL.C.O.. C96 P99 T99 U99 B99 A99 D99 Y97 O99 
15 9 6	B..PTUB..PTU..AATU.CDYYY.CDOLL...O.. C97 B99 P99 T99 U99 A99 Y97 O99 D99 
15 9 6	...PTU...PTUB.AATUBCDYYY.CDOLL...O.. C97 P99 T99 U99 B99 A99 Y97 D99 O99 
15 9 6	...PT.B..PTUBAA.TUYYYO.U.CDOLL.CD... C96 P99 T99 A98 Y96 O98 
15 9 6	...P..B..PTUB.AATUYYYOTU.CDOLL.CD... C96 P99 T98 A99 Y96 O98 
15 9 6	...PTU...PTU.AA.TU.CYYY.BCDOLLB.DO.. C97 P99 T99 B97 U99 A98 Y98 O99 
15 9 6	...PTU...PTUBAA.TUBCYYY..CDOLL..DO.. C97 P99 T99 B99 U99 A98 Y98 O99 
15 9 6	...PTUB..PTUBAA.TU..DYYY.CDOLL.C.O.. C96 P99 T99 U99 A98 Y97 D99 O99 
15 9 6	B..PTUB..PTUAA..TU.C.YYY.CDOLL..DO.. C97 B99 P99 T99 U99 A97 Y97 O99 
15 9 6	...PTU...PTU.AA.TUBCYYY.BCDOLL..DO.. C97 P99 T99 B98 U99 A98 Y98 O99 
15 9 6	...PTU...PTU..AATUB.DYYYBCDOLL.C.O.. C96 P99 T99 U99 A99 B98 D99 Y97 O99 
15 6 9	BC..TUBC.PTU.AAPTUYYY.....DOLL..DO.. B99 P98 T99 U99 O99 
15 9 6	...PTU...PTU..AATUBCDYYYBCDOLL...O.. C97 P99 T99 U99 A99 B98 D99 Y97 O99 
15 9 6	...PTUB..PTUB.AATUYYYO...CDOLL.CD... C96 P99 T99 U99 A99 Y94 O98 
15 9 6	...PTU...PTUB.AATUBYYY...CDOLL.CDO.. C96 P99 T99 U99 B99 A99 Y95 O99 
15 9 6	.CDPTU.CDPTUAA..TUBYYY..B..OLL...O.. B98 P99 T99 U99 A99 Y95 O99 D96 
15 9 6	.CDPTU.CDPTU.AA.TUB..YYYB..OLL...O.. B98 P99 T99 U99 A98 Y97 O99 D96 
15 9 6	...PTU...PTUAA..TUB..YYYBCDOLL.CDO.. C96 P99 T99 U99 B98 A97 Y97 O99 
15 9 6	...PTU...PTUAA..TU...YYYBCDOLLBCDO.. C96 P99 T99 U99 B97 A97 Y97 O99 
15 9 6	...PTU...PTU..AATU..DYYYBCDOLLBC.O.. C96 P99 T99 U99 B97 A99 Y97 D99 O99 
15 9 6	.CDPTU.CDPTUAA..TUB.YYY.B..OLL...O.. B98 P99 T99 U99 A99 Y96 O99 D96 
15 9 6	.CDPTU.CDPTU..AATUB..YYYB..OLL...O.. B98 P99 T99 U99 A97 Y97 O99 D96 
15 6 9	.C..TUBC.PTUBAAPTU.YYY....DOLL..DO.. P98 T99 U99 Y99 O99 
15 9 6	BCDPTUBCDPTUAA..TU.YYY.....OLL...O.. B99 P99 T99 U99 A99 Y95 O99 D96 
15 9 6	...PTU...PTUBAA.TUB.YYY..CDOLL.CDO.. C96 P99 T99 B99 U99 A98 Y98 O99 
15 9 6	B..PTUB..PTU.AA.TU..YYY..CDOLL.CDO.. C96 B99 P99 T99 U99 A98 Y98 O99 
15 9 6	BCDPTUBCDPTUAA..TUYYY......OLL...O.. B99 P99 T99 U99 A99 Y94 O99 D96 
15 9 6	.CDPTU.CDPTUAA..TU..YYY.B..OLLB..O.. B97 P99 T99 U99 A99 Y96 O99 D96 
15 6 9	.C..TUBC.PTUBAAPTU..YYY...DOLL..DO.. P98 T99 U99 Y98 O99 
15 6 9	BC..TUBC..TU.AAPTUYYYP....DOLL..DO.. B99 P97 T99 U99 O99 
15 9 6	BCDPTUBCDPTU..AATU...YYY...OLL...O.. B99 P99 T99 U99 A97 Y97 O99 D96 
15 9 6	BCDPTUBCDPTUAA..TU..YYY....OLL...O.. B99 P99 T99 U99 A99 Y96 O99 D96 
15 6 9	.C.PT.BC.PT.BAAOTUYYYO.U..DLLU..D... P99 T99 U97 O99 L99 
15 6 9	BC.P..BC.PT..AAOTUYYYOTU..DLLU..D... B99 P99 U97 O99 L99 
15 6 9	BC..T.BC.PTUAA.PTUYYY..U..DOLL..DO.. B99 P98 T99 A99 O99 
15 6 9	BC..T.BC.PTU.AAPTU.YYY.U..DOLL..DO.. B99 P98 T99 Y99 O99 
15 9 6	...PTU...PTUAA..TU.C.YYYBCDOLLB.DO.. C97 P99 T99 U99 B97 A97 Y97 O99 
15 6 9	.C...U.C.PTUBAAPTUBYYYT...DOLL..DO.. B99 P98 U99 Y99 O99 
15 6 9	.C..T..C.PTUBAAPTUBYYY.U..DOLL..DO.. B99 P98 T99 Y99 O99 
15 6 9	BC..T.BC..TUAA.PTUYYYP.U..DOLL..DO.. B99 P97 T99 A99 O99 
15 9 6	...PTU...PTUAA..TUBC.YYYBCDOLL..DO.. C97 P99 T99 U99 A97 B98 Y97 O99 
15 9 6	...PTU...PTU..AATU.CDYYYBCDOLLB..O.. C97 P99 T99 U99 A99 D99 Y97 B97 O99 
15 9 6	BCDPTUBCDPTU.AA.TU...YYY...OLL...O.. B99 P99 T99 U99 A98 Y97 O99 D96 
15 6 9	.C...U.C.PTU.AAPTUBYYYT.B.DOLL..DO.. B98 P98 U99 Y99 O99 
15 6 9	BC....BC.PTUAA.PTU.YYYTU..DOLL..DO.. B99 P98 A99 Y99 O99 
15 6 9	BC.P.UBC.PTU.AAOTUYYYOT...DLL...D... B99 P99 U95 O99 L99 
15 9 6	...P.UB..PTUB.AATU.YYYT..CDOLL.CDO.. C96 P99 T98 U99 A99 Y95 O99 
15 9 6	...P.UB..PTUB.AATUYYY.T..CDOLL.CDO.. C96 P99 T98 U99 A99 Y96 O99 
15 9 6	.CDPTU.CDPTUAA..TU.YYY..B..OLLB..O.. B97 P99 T99 U99 A99 Y95 O99 D96 
15 6 9	BC..T.BC.PTU.AAPTU..YYYU..DOLL..DO.. B99 P98 T99 Y98 O99 
15 6 9	.C.P...C.PTU.AAOTUYYYOTUB.D.LLB.D... B97 P99 Y98 O97 
15 6 9	.C..T..C.PTU.AAPTUBYYY.UB.DOLL..DO.. B98 P98 T99 Y99 O99 
15 9 6	...PTU...PTU.AA.TU...YYYBCDOLLBCDO.. C96 P99 T99 U99 B97 A98 Y97 O99 
15 6 9	.C...U.C.PTU.AAPTU.YYYT.B.DOLLB.DO.. B97 P98 U99 Y99 O99 
15 9 6	...PTU...PTU.AA.TUB..YYYBCDOLL.CDO.. C96 P99 T99 U99 B98 A98 Y97 O99 
15 9 6	...PTU...PTUBAA.TUB..YYY.CDOLL.CDO.. C96 P99 T99 U99 B99 A98 Y97 O99 
15 6 9	BC...UBC..TUAA.PTUYYYPT...DOLL..DO.. B99 P97 U99 A99 O99 
15 9 6	B..PTUB..PTUAA..TU..YYY..CDOLL.CDO.. C96 B99 P99 T99 U99 A97 Y98 O99 
15 6 9	BC...UBC.PTUAA.PTUYYY.T...DOLL..DO.. B99 P98 U99 A99 O99 
15 6 9	.C.PTUBC.PTUBAAOTUYYYO....DLL...D... P99 T99 U95 O99 L99 
15 9 6	...PTU...PTUBCAATUBCDYYY..DOLL...O.. C98 P99 T99 U99 B99 A99 Y97 D99 O99 
15 6 9	.C.....C.PTUAA.PTUBYYYTUB.DOLL..DO.. B98 P98 A99 Y99 O99 
15 9 6	B..PTUB..PTU.AA.TU.C.YYY.CDOLL..DO.. C97 P99 T99 U99 B99 A98 Y97 O99 
15 6 9	BC.PTUBC.PTUAA.OTUYYYO....D.LL..D... B99 P99 T99 U99 A99 O99 
15 9 6	.C.PTU.C.PTUAA..TUYYYO..B.DOLLB.D... B97 P99 T99 U99 A99 Y98 O98 
15 9 6	...PTU...PTUAA..TUBCYYY.BCDOLL..DO.. C97 P99 T99 B98 U99 A97 Y98 O99 
