0 0 0	U.B..DU.BCCDAABT.DFW.TKKFWLLL..WOOO. 
10 10 0	...T...CCT.DU..AADUWBKKDFWBLLLFWBOOO U98 T98 D99 C98 A97 B97 K99 F99 L99 O99 
10 10 0	U..T.DUCCT.D.WBAAD.WBKK.FWBLLLF..OOO B96 C98 A97 T98 F99 W99 K99 L99 O99 
10 10 0	U..T.DUCCT.D.WBAAD.WB.KKFWBLLLF.OOO. B96 C98 A97 T98 F99 W99 L99 O98 
10 10 0	U..T.DUCCT.D.WBAAD.WB.KKFWBLLLFOOO.. B96 C98 A97 T98 F99 W99 L99 O97 
10 10 0	U..T..UCCT.D.W.AAD.WBKKDFWBLLLF.BOOO B97 D99 C98 A97 T98 F99 W99 K99 L99 O99 
10 10 0	U..T..UCCT.D..BAAD.WBKKDFWBLLLFW.OOO B96 D99 C98 A97 T98 F99 K99 L99 O99 
10 10 0	U..T.DUCCT.D..BAAD.WBKK.FWBLLLFWOOO. B96 C98 A97 T98 F99 K99 L99 O98 
10 10 0	......CC.T.DUAAT.DUWBKKDFWBLLLFWBOOO D99 C97 T99 U98 A99 B97 K99 F99 L99 O99 
10 10 0	...T..CC.T.DUAA..DUWBKKDFWBLLLFWBOOO U98 D99 C97 A99 T98 B97 K99 F99 L99 O99 
10 10 0	...T..UCCT.DUWAA.DFWBKKDFWBLLL..BOOO U99 T98 D99 C98 A98 W99 B97 K99 L99 O99 
10 10 0	U..T..UCCT.DFWAA.DFWBKKD.WBLLL..BOOO B97 D99 C98 A98 T98 F99 W99 K99 L99 O99 
10 10 0	...T.DUCCT.DUWBAADFWBKK.FWBLLL...OOO U99 T98 C98 A97 W99 B96 K99 L99 O99 
10 10 0	...T.DUCCT.DUWBAADFWB.KKFWBLLL..OOO. U99 T98 C98 A97 W99 B96 L99 O98 
10 10 0	...T.DUCCT.DUWBAADFWB.KKFWBLLL.OOO.. U99 T98 C98 A97 W99 B96 L99 O97 
10 10 0	...T.DUCCT.DUWBAADFWB.KKFWBLLLOOO... U99 T98 C98 A97 W99 B96 L99 O96 
10 10 0	...T..UCCT.DUW.AADFWBKKDFWBLLL..BOOO U99 T98 D99 C98 A97 W99 B97 K99 L99 O99 
10 10 0	...T..UCCT.DU.BAADFWBKKDFWBLLL.W.OOO U99 T98 D99 C98 A97 B96 K99 L99 O99 
10 10 0	...T.DUCCT.DU.BAADFWBKK.FWBLLL.WOOO. U99 T98 C98 A97 B96 K99 L99 O98 
10 10 0	U..T.DUCCT.DFWBAADFWBKK..WBLLL...OOO B96 C98 A97 T98 F99 W99 K99 L99 O99 
10 10 0	U..T.DUCCT.DFWBAADFWB.KK.WBLLL..OOO. B96 C98 A97 T98 F99 W99 L99 O98 
10 10 0	U..T.DUCCT.DFWBAADFWB.KK.WBLLL.OOO.. B96 C98 A97 T98 F99 W99 L99 O97 
10 10 0	U..T.DUCCT.DFWBAADFWB.KK.WBLLLOOO... B96 C98 A97 T98 F99 W99 L99 O96 
10 10 0	U..T..UCCT.DFW.AADFWBKKD.WBLLL..BOOO B97 D99 C98 A97 T98 F99 W99 K99 L99 O99 
10 10 0	U..T..UCCT.DF.BAADFWBKKD.WBLLL.W.OOO B96 D99 C98 A97 T98 F99 K99 L99 O99 
10 10 0	U..T.DUCCT.DF.BAADFWBKK..WBLLL.WOOO. B96 C98 A97 T98 F99 K99 L99 O98 
10 10 0	U..T..UCCT.D.WBAADFWBKKDFWBLLL...OOO B96 D99 C98 A97 T98 W99 K99 L99 O99 
10 10 0	U..T.DUCCT.D.WBAADFWBKK.FWBLLL..OOO. B96 C98 A97 T98 W99 K99 L99 O98 
10 10 0	U..T.DUCCT.D.WBAADFWBKK.FWBLLL.OOO.. B96 C98 A97 T98 W99 K99 L99 O97 
10 10 0	U..T.DUCCT.D.WBAADFWBKK.FWBLLLOOO... B96 C98 A97 T98 W99 K99 L99 O96 
10 10 0	U..T..UCCT.D..BAADFWBKKDFWBLLL.WOOO. B96 D99 C98 A97 T98 K99 L99 O98 
11 11 0	...T..UCCT.DUWAA.D.WBKKDFWBLLLF.BOOO U99 T98 D99 C98 A98 W99 B97 K99 F99 L99 O99 
11 11 0	...T.DCC.T.DUWAA.DUWBKK.FWBLLLF.BOOO U98 T98 C97 A98 W99 B97 K99 F99 L99 O99 
11 11 0	...T..CC.T.DU.AA.DUWBKKDFWBLLLFWBOOO U98 T98 D99 C97 A98 B97 K99 F99 L99 O99 
11 11 0	...T...CCT.DUWAA.DUWBKKDFWBLLLF.BOOO U98 T98 D99 C98 A98 W99 B97 K99 F99 L99 O99 
11 11 0	...T.DUCCT.DUWBAAD.WBKK.FWBLLLF..OOO U99 T98 C98 A97 W99 B96 K99 F99 L99 O99 
11 11 0	...T.DUCCT.DUWBAAD.WB.KKFWBLLLF.OOO. U99 T98 C98 A97 W99 B96 F99 L99 O98 
11 11 0	...T.DUCCT.DUWBAAD.WB.KKFWBLLLFOOO.. U99 T98 C98 A97 W99 B96 F99 L99 O97 
11 11 0	...T..UCCT.DUW.AAD.WBKKDFWBLLLF.BOOO U99 T98 D99 C98 A97 W99 B97 K99 F99 L99 O99 
11 11 0	...T..UCCT.DU.BAAD.WBKKDFWBLLLFW.OOO U99 T98 D99 C98 A97 B96 K99 F99 L99 O99 
11 11 0	...T.DUCCT.DU.BAAD.WBKK.FWBLLLFWOOO. U99 T98 C98 A97 B96 K99 F99 L99 O98 
11 11 0	...T.DCC.T.DUWBAADUWB.KKFWBLLLF..OOO U98 T98 C97 A97 W99 B96 F99 L99 O99 
11 11 0	...T.DCCBT.DUWBAADUWB.KKFW.LLLF..OOO U98 T98 C97 A97 W99 B95 F99 L99 O99 
11 11 0	..BT.DCCBT.DUWBAADUW..KKFW.LLLF..OOO U98 T98 C97 A97 W99 B94 F99 L99 O99 
11 11 0	...T.DCC.T.DUW.AADUWBKK.FWBLLLF.BOOO U98 T98 C97 A97 W99 B97 K99 F99 L99 O99 
11 11 0	...T.DCC.T.DU.BAADUWBKK.FWBLLLFW.OOO U98 T98 C97 A97 B96 K99 F99 L99 O99 
11 11 0	...T.DCC.T.DU.BAADUWB.KKFWBLLLFWOOO. U98 T98 C97 A97 B96 F99 L99 O98 
11 11 0	...T.DCCBT.DU.BAADUWBKK.FW.LLLFW.OOO U98 T98 C97 A97 B95 K99 F99 L99 O99 
11 11 0	...T.DCCBT.DU.BAADUWB.KKFWLLL.FW.OOO U98 T98 C97 A97 B95 F99 L98 O99 
11 11 0	...T.DCCBT.DU.BAADUWB.KKFW.LLLFWOOO. U98 T98 C97 A97 B95 F99 L99 O98 
11 11 0	..BT.DCCBT.DU.BAADUW.KK.FW.LLLFW.OOO U98 T98 C97 A97 B94 K99 F99 L99 O99 
11 11 0	..BT.DCCBT.DU.BAADUWKK..FW.LLLFW.OOO U98 T98 C97 A97 B94 K98 F99 L99 O99 
11 11 0	..BT.DCCBT.DU.BAADUW..KKFWLLL.FW.OOO U98 T98 C97 A97 B94 F99 L98 O99 
11 11 0	..BT.DCCBT.DU.BAADUW..KKFW.LLLFWOOO. U98 T98 C97 A97 B94 F99 L99 O98 
11 11 0	...T..CC.T.DU..AADUWBKKDFWBLLLFWBOOO U98 T98 D99 C97 A97 B97 K99 F99 L99 O99 
11 11 0	...T.D.CCT.DUWBAADUWBKK.FWBLLLF..OOO U98 T98 C98 A97 W99 B96 K99 F99 L99 O99 
11 11 0	...T.D.CCT.DUWBAADUWB.KKFWBLLLF.OOO. U98 T98 C98 A97 W99 B96 F99 L99 O98 
11 11 0	...T.D.CCT.DUWBAADUWB.KKFWBLLLFOOO.. U98 T98 C98 A97 W99 B96 F99 L99 O97 
11 11 0	...T...CCT.DUW.AADUWBKKDFWBLLLF.BOOO U98 T98 D99 C98 A97 W99 B97 K99 F99 L99 O99 
11 11 0	...T...CCT.DU.BAADUWBKKDFWBLLLFW.OOO U98 T98 D99 C98 A97 B96 K99 F99 L99 O99 
11 11 0	...T.D.CCT.DU.BAADUWBKK.FWBLLLFWOOO. U98 T98 C98 A97 B96 K99 F99 L99 O98 
11 11 0	U..T..UCCT.D.WBAAD.WBKKDFWBLLLF..OOO B96 D99 C98 A97 T98 F99 W99 K99 L99 O99 
11 11 0	U..T.DUCCT.D.WBAAD.WBKK.FWBLLLF.OOO. B96 C98 A97 T98 F99 W99 K99 L99 O98 
11 11 0	U..T.DUCCT.D.WBAAD.WBKK.FWBLLLFOOO.. B96 C98 A97 T98 F99 W99 K99 L99 O97 
11 11 0	U..T..UCCT.D..BAAD.WBKKDFWBLLLFWOOO. B96 D99 C98 A97 T98 F99 K99 L99 O98 
11 11 0	...T..UCCT.DUWBAADFWBKKDFWBLLL...OOO U99 T98 D99 C98 A97 W99 B96 K99 L99 O99 
11 11 0	...T.DUCCT.DUWBAADFWBKK.FWBLLL..OOO. U99 T98 C98 A97 W99 B96 K99 L99 O98 
11 11 0	...T.DUCCT.DUWBAADFWBKK.FWBLLL.OOO.. U99 T98 C98 A97 W99 B96 K99 L99 O97 
11 11 0	...T.DUCCT.DUWBAADFWBKK.FWBLLLOOO... U99 T98 C98 A97 W99 B96 K99 L99 O96 
11 11 0	...T..UCCT.DU.BAADFWBKKDFWBLLL.WOOO. U99 T98 D99 C98 A97 B96 K99 L99 O98 
11 11 0	U..T..UCCT.DFWBAADFWBKKD.WBLLL...OOO B96 D99 C98 A97 T98 F99 W99 K99 L99 O99 
11 11 0	U..T.DUCCT.DFWBAADFWBKK..WBLLL..OOO. B96 C98 A97 T98 F99 W99 K99 L99 O98 
11 11 0	U..T.DUCCT.DFWBAADFWBKK..WBLLL.OOO.. B96 C98 A97 T98 F99 W99 K99 L99 O97 
11 11 0	U..T.DUCCT.DFWBAADFWBKK..WBLLLOOO... B96 C98 A97 T98 F99 W99 K99 L99 O96 
11 11 0	U..T..UCCT.DF.BAADFWBKKD.WBLLL.WOOO. B96 D99 C98 A97 T98 F99 K99 L99 O98 
11 11 0	U..T..UCCT.D.WBAADFWBKKDFWBLLL..OOO. B96 D99 C98 A97 T98 W99 K99 L99 O98 
11 11 0	U..T..UCCT.D.WBAADFWBKKDFWBLLL.OOO.. B96 D99 C98 A97 T98 W99 K99 L99 O97 
11 11 0	U..T..UCCT.D.WBAADFWBKKDFWBLLLOOO... B96 D99 C98 A97 T98 W99 K99 L99 O96 
12 12 0	...T..CC.T.DUWAA.DUWBKKDFWBLLLF.BOOO U98 T98 D99 C97 A98 W99 B97 K99 F99 L99 O99 
12 12 0	...T..UCCT.DUWBAAD.WBKKDFWBLLLF..OOO U99 T98 D99 C98 A97 W99 B96 K99 F99 L99 O99 
12 12 0	...T.DUCCT.DUWBAAD.WBKK.FWBLLLF.OOO. U99 T98 C98 A97 W99 B96 K99 F99 L99 O98 
12 12 0	...T.DUCCT.DUWBAAD.WBKK.FWBLLLFOOO.. U99 T98 C98 A97 W99 B96 K99 F99 L99 O97 
12 12 0	...T..UCCT.DU.BAAD.WBKKDFWBLLLFWOOO. U99 T98 D99 C98 A97 B96 K99 F99 L99 O98 
12 12 0	...T.DCC.T.DUWBAADUWBKK.FWBLLLF..OOO U98 T98 C97 A97 W99 B96 K99 F99 L99 O99 
12 12 0	...T.DCC.T.DUWBAADUWB.KKFWBLLLF.OOO. U98 T98 C97 A97 W99 B96 F99 L99 O98 
12 12 0	...T.DCC.T.DUWBAADUWB.KKFWBLLLFOOO.. U98 T98 C97 A97 W99 B96 F99 L99 O97 
12 12 0	...T.DCCBT.DUWBAADUWBKK.FW.LLLF..OOO U98 T98 C97 A97 W99 B95 K99 F99 L99 O99 
12 12 0	...T.DCCBT.DUWBAADUWB.KKFWLLL.F..OOO U98 T98 C97 A97 W99 B95 F99 L98 O99 
12 12 0	...T.DCCBT.DUWBAADUWB.KKFW.LLLF.OOO. U98 T98 C97 A97 W99 B95 F99 L99 O98 
12 12 0	...T.DCCBT.DUWBAADUWB.KKFW.LLLFOOO.. U98 T98 C97 A97 W99 B95 F99 L99 O97 
12 12 0	..BT.DCCBT.DUWBAADUW.KK.FW.LLLF..OOO U98 T98 C97 A97 W99 B94 K99 F99 L99 O99 
12 12 0	..BT.DCCBT.DUWBAADUWKK..FW.LLLF..OOO U98 T98 C97 A97 W99 B94 K98 F99 L99 O99 
12 12 0	..BT.DCCBT.DUWBAADUW..KKFWLLL.F..OOO U98 T98 C97 A97 W99 B94 F99 L98 O99 
12 12 0	..BT.DCCBT.DUWBAADUW..KKFW.LLLF.OOO. U98 T98 C97 A97 W99 B94 F99 L99 O98 
12 12 0	..BT.DCCBT.DUWBAADUW..KKFW.LLLFOOO.. U98 T98 C97 A97 W99 B94 F99 L99 O97 
12 12 0	...T..CC.T.DUW.AADUWBKKDFWBLLLF.BOOO U98 T98 D99 C97 A97 W99 B97 K99 F99 L99 O99 
12 12 0	...T..CC.T.DU.BAADUWBKKDFWBLLLFW.OOO U98 T98 D99 C97 A97 B96 K99 F99 L99 O99 
12 12 0	...T.DCC.T.DU.BAADUWBKK.FWBLLLFWOOO. U98 T98 C97 A97 B96 K99 F99 L99 O98 
12 12 0	...T..CCBT.DU.BAADUWBKKDFW.LLLFW.OOO U98 T98 D99 C97 A97 B95 K99 F99 L99 O99 
12 12 0	...T.DCCBT.DU.BAADUWBKK.FWLLL.FW.OOO U98 T98 C97 A97 B95 K99 F99 L98 O99 
12 12 0	...T.DCCBT.DU.BAADUWBKK.FW.LLLFWOOO. U98 T98 C97 A97 B95 K99 F99 L99 O98 
12 12 0	...T.DCCBT.DU.BAADUWB.KKFWLLL.FWOOO. U98 T98 C97 A97 B95 F99 L98 O98 
12 12 0	..BT..CCBT.DU.BAADUW.KKDFW.LLLFW.OOO U98 T98 D99 C97 A97 B94 K99 F99 L99 O99 
12 12 0	..BT.DCCBT.DU.BAADUW.KK.FWLLL.FW.OOO U98 T98 C97 A97 B94 K99 F99 L98 O99 
12 12 0	..BT.DCCBT.DU.BAADUW.KK.FW.LLLFWOOO. U98 T98 C97 A97 B94 K99 F99 L99 O98 
12 12 0	..BT..CCBT.DU.BAADUWKK.DFW.LLLFW.OOO U98 T98 D99 C97 A97 B94 K98 F99 L99 O99 
12 12 0	..BT.DCCBT.DU.BAADUWKK..FWLLL.FW.OOO U98 T98 C97 A97 B94 K98 F99 L98 O99 
12 12 0	..BT.DCCBT.DU.BAADUWKK..FW.LLLFWOOO. U98 T98 C97 A97 B94 K98 F99 L99 O98 
12 12 0	..BT.DCCBT.DU.BAADUW..KKFWLLL.FWOOO. U98 T98 C97 A97 B94 F99 L98 O98 
12 12 0	...T...CCT.DUWBAADUWBKKDFWBLLLF..OOO U98 T98 D99 C98 A97 W99 B96 K99 F99 L99 O99 
12 12 0	...T.D.CCT.DUWBAADUWBKK.FWBLLLF.OOO. U98 T98 C98 A97 W99 B96 K99 F99 L99 O98 
12 12 0	...T.D.CCT.DUWBAADUWBKK.FWBLLLFOOO.. U98 T98 C98 A97 W99 B96 K99 F99 L99 O97 
12 12 0	...T...CCT.DU.BAADUWBKKDFWBLLLFWOOO. U98 T98 D99 C98 A97 B96 K99 F99 L99 O98 
12 12 0	U..T..UCCT.D.WBAAD.WBKKDFWBLLLF.OOO. B96 D99 C98 A97 T98 F99 W99 K99 L99 O98 
12 12 0	U..T..UCCT.D.WBAAD.WBKKDFWBLLLFOOO.. B96 D99 C98 A97 T98 F99 W99 K99 L99 O97 
12 12 0	...T..UCCT.DUWBAADFWBKKDFWBLLL..OOO. U99 T98 D99 C98 A97 W99 B96 K99 L99 O98 
12 12 0	...T..UCCT.DUWBAADFWBKKDFWBLLL.OOO.. U99 T98 D99 C98 A97 W99 B96 K99 L99 O97 
12 12 0	...T..UCCT.DUWBAADFWBKKDFWBLLLOOO... U99 T98 D99 C98 A97 W99 B96 K99 L99 O96 
12 12 0	U..T..UCCT.DFWBAADFWBKKD.WBLLL..OOO. B96 D99 C98 A97 T98 F99 W99 K99 L99 O98 
12 12 0	U..T..UCCT.DFWBAADFWBKKD.WBLLL.OOO.. B96 D99 C98 A97 T98 F99 W99 K99 L99 O97 
12 12 0	U..T..UCCT.DFWBAADFWBKKD.WBLLLOOO... B96 D99 C98 A97 T98 F99 W99 K99 L99 O96 
13 13 0	...T..UCCT.DUWBAAD.WBKKDFWBLLLF.OOO. U99 T98 D99 C98 A97 W99 B96 K99 F99 L99 O98 
13 13 0	...T..UCCT.DUWBAAD.WBKKDFWBLLLFOOO.. U99 T98 D99 C98 A97 W99 B96 K99 F99 L99 O97 
13 13 0	...T..CC.T.DUWBAADUWBKKDFWBLLLF..OOO U98 T98 D99 C97 A97 W99 B96 K99 F99 L99 O99 
13 13 0	...T.DCC.T.DUWBAADUWBKK.FWBLLLF.OOO. U98 T98 C97 A97 W99 B96 K99 F99 L99 O98 
13 13 0	...T.DCC.T.DUWBAADUWBKK.FWBLLLFOOO.. U98 T98 C97 A97 W99 B96 K99 F99 L99 O97 
13 13 0	...T..CCBT.DUWBAADUWBKKDFW.LLLF..OOO U98 T98 D99 C97 A97 W99 B95 K99 F99 L99 O99 
13 13 0	...T.DCCBT.DUWBAADUWBKK.FWLLL.F..OOO U98 T98 C97 A97 W99 B95 K99 F99 L98 O99 
13 13 0	...T.DCCBT.DUWBAADUWBKK.FW.LLLF.OOO. U98 T98 C97 A97 W99 B95 K99 F99 L99 O98 
13 13 0	...T.DCCBT.DUWBAADUWBKK.FW.LLLFOOO.. U98 T98 C97 A97 W99 B95 K99 F99 L99 O97 
13 13 0	...T.DCCBT.DUWBAADUWB.KKFWLLL.F.OOO. U98 T98 C97 A97 W99 B95 F99 L98 O98 
13 13 0	...T.DCCBT.DUWBAADUWB.KKFWLLL.FOOO.. U98 T98 C97 A97 W99 B95 F99 L98 O97 
13 13 0	..BT..CCBT.DUWBAADUW.KKDFW.LLLF..OOO U98 T98 D99 C97 A97 W99 B94 K99 F99 L99 O99 
13 13 0	..BT.DCCBT.DUWBAADUW.KK.FWLLL.F..OOO U98 T98 C97 A97 W99 B94 K99 F99 L98 O99 
13 13 0	..BT.DCCBT.DUWBAADUW.KK.FW.LLLF.OOO. U98 T98 C97 A97 W99 B94 K99 F99 L99 O98 
13 13 0	..BT.DCCBT.DUWBAADUW.KK.FW.LLLFOOO.. U98 T98 C97 A97 W99 B94 K99 F99 L99 O97 
13 13 0	..BT..CCBT.DUWBAADUWKK.DFW.LLLF..OOO U98 T98 D99 C97 A97 W99 B94 K98 F99 L99 O99 
13 13 0	..BT.DCCBT.DUWBAADUWKK..FWLLL.F..OOO U98 T98 C97 A97 W99 B94 K98 F99 L98 O99 
13 13 0	..BT.DCCBT.DUWBAADUWKK..FW.LLLF.OOO. U98 T98 C97 A97 W99 B94 K98 F99 L99 O98 
13 13 0	..BT.DCCBT.DUWBAADUWKK..FW.LLLFOOO.. U98 T98 C97 A97 W99 B94 K98 F99 L99 O97 
13 13 0	..BT.DCCBT.DUWBAADUW..KKFWLLL.F.OOO. U98 T98 C97 A97 W99 B94 F99 L98 O98 
13 13 0	..BT.DCCBT.DUWBAADUW..KKFWLLL.FOOO.. U98 T98 C97 A97 W99 B94 F99 L98 O97 
13 13 0	...T..CC.T.DU.BAADUWBKKDFWBLLLFWOOO. U98 T98 D99 C97 A97 B96 K99 F99 L99 O98 
13 13 0	...T..CCBT.DU.BAADUWBKKDFWLLL.FW.OOO U98 T98 D99 C97 A97 B95 K99 F99 L98 O99 
13 13 0	...T..CCBT.DU.BAADUWBKKDFW.LLLFWOOO. U98 T98 D99 C97 A97 B95 K99 F99 L99 O98 
13 13 0	...T..CCBT..U.BAADUWBKKDFWLLLDFW.OOO U98 T98 D98 C97 A97 B95 K99 F99 L98 O99 
13 13 0	...T.DCCBT.DU.BAADUWBKK.FWLLL.FWOOO. U98 T98 C97 A97 B95 K99 F99 L98 O98 
13 13 0	..BT..CCBT.DU.BAADUW.KKDFWLLL.FW.OOO U98 T98 D99 C97 A97 B94 K99 F99 L98 O99 
13 13 0	..BT..CCBT.DU.BAADUW.KKDFW.LLLFWOOO. U98 T98 D99 C97 A97 B94 K99 F99 L99 O98 
13 13 0	..BT..CCBT..U.BAADUW.KKDFWLLLDFW.OOO U98 T98 D98 C97 A97 B94 K99 F99 L98 O99 
13 13 0	..BT.DCCBT.DU.BAADUW.KK.FWLLL.FWOOO. U98 T98 C97 A97 B94 K99 F99 L98 O98 
13 13 0	..BT..CCBT.DU.BAADUWKK.DFWLLL.FW.OOO U98 T98 D99 C97 A97 B94 K98 F99 L98 O99 
13 13 0	..BT..CCBT.DU.BAADUWKK.DFW.LLLFWOOO. U98 T98 D99 C97 A97 B94 K98 F99 L99 O98 
13 13 0	..BT..CCBT..U.BAADUWKK.DFWLLLDFW.OOO U98 T98 D98 C97 A97 B94 K98 F99 L98 O99 
13 13 0	..BT.DCCBT.DU.BAADUWKK..FWLLL.FWOOO. U98 T98 C97 A97 B94 K98 F99 L98 O98 
13 13 0	...T...CCT.DUWBAADUWBKKDFWBLLLF.OOO. U98 T98 D99 C98 A97 W99 B96 K99 F99 L99 O98 
13 13 0	...T...CCT.DUWBAADUWBKKDFWBLLLFOOO.. U98 T98 D99 C98 A97 W99 B96 K99 F99 L99 O97 
14 14 0	...T..CC.T.DUWBAADUWBKKDFWBLLLF.OOO. U98 T98 D99 C97 A97 W99 B96 K99 F99 L99 O98 
14 14 0	...T..CC.T.DUWBAADUWBKKDFWBLLLFOOO.. U98 T98 D99 C97 A97 W99 B96 K99 F99 L99 O97 
14 14 0	...T..CCBT.DUWBAADUWBKKDFWLLL.F..OOO U98 T98 D99 C97 A97 W99 B95 K99 F99 L98 O99 
14 14 0	...T..CCBT.DUWBAADUWBKKDFW.LLLF.OOO. U98 T98 D99 C97 A97 W99 B95 K99 F99 L99 O98 
14 14 0	...T..CCBT.DUWBAADUWBKKDFW.LLLFOOO.. U98 T98 D99 C97 A97 W99 B95 K99 F99 L99 O97 
14 14 0	...T..CCBT..UWBAADUWBKKDFWLLLDF..OOO U98 T98 D98 C97 A97 W99 B95 K99 F99 L98 O99 
14 14 0	...T.DCCBT.DUWBAADUWBKK.FWLLL.F.OOO. U98 T98 C97 A97 W99 B95 K99 F99 L98 O98 
14 14 0	...T.DCCBT.DUWBAADUWBKK.FWLLL.FOOO.. U98 T98 C97 A97 W99 B95 K99 F99 L98 O97 
14 14 0	..BT..CCBT.DUWBAADUW.KKDFWLLL.F..OOO U98 T98 D99 C97 A97 W99 B94 K99 F99 L98 O99 
14 14 0	..BT..CCBT.DUWBAADUW.KKDFW.LLLF.OOO. U98 T98 D99 C97 A97 W99 B94 K99 F99 L99 O98 
14 14 0	..BT..CCBT.DUWBAADUW.KKDFW.LLLFOOO.. U98 T98 D99 C97 A97 W99 B94 K99 F99 L99 O97 
14 14 0	..BT..CCBT..UWBAADUW.KKDFWLLLDF..OOO U98 T98 D98 C97 A97 W99 B94 K99 F99 L98 O99 
14 14 0	..BT.DCCBT.DUWBAADUW.KK.FWLLL.F.OOO. U98 T98 C97 A97 W99 B94 K99 F99 L98 O98 
14 14 0	..BT.DCCBT.DUWBAADUW.KK.FWLLL.FOOO.. U98 T98 C97 A97 W99 B94 K99 F99 L98 O97 
14 14 0	..BT..CCBT.DUWBAADUWKK.DFWLLL.F..OOO U98 T98 D99 C97 A97 W99 B94 K98 F99 L98 O99 
14 14 0	..BT..CCBT.DUWBAADUWKK.DFW.LLLF.OOO. U98 T98 D99 C97 A97 W99 B94 K98 F99 L99 O98 
14 14 0	..BT..CCBT.DUWBAADUWKK.DFW.LLLFOOO.. U98 T98 D99 C97 A97 W99 B94 K98 F99 L99 O97 
14 14 0	..BT..CCBT..UWBAADUWKK.DFWLLLDF..OOO U98 T98 D98 C97 A97 W99 B94 K98 F99 L98 O99 
14 14 0	..BT.DCCBT.DUWBAADUWKK..FWLLL.F.OOO. U98 T98 C97 A97 W99 B94 K98 F99 L98 O98 
14 14 0	..BT.DCCBT.DUWBAADUWKK..FWLLL.FOOO.. U98 T98 C97 A97 W99 B94 K98 F99 L98 O97 
14 14 0	...T..CCBT.DU.BAADUWBKKDFWLLL.FWOOO. U98 T98 D99 C97 A97 B95 K99 F99 L98 O98 
14 14 0	...T..CCBT..U.BAADUWBKKDFWLLLDFWOOO. U98 T98 D98 C97 A97 B95 K99 F99 L98 O98 
14 14 0	...T..CCBT..U.BAA.UWBKKDFWLLLDFWOOOD U98 T98 D97 C97 A97 B95 K99 F99 L98 O98 
14 14 0	..BT..CCBT.DU.BAADUW.KKDFWLLL.FWOOO. U98 T98 D99 C97 A97 B94 K99 F99 L98 O98 
14 14 0	..BT..CCBT..U.BAADUW.KKDFWLLLDFWOOO. U98 T98 D98 C97 A97 B94 K99 F99 L98 O98 
14 14 0	..BT..CCBT..U.BAA.UW.KKDFWLLLDFWOOOD U98 T98 D97 C97 A97 B94 K99 F99 L98 O98 
14 14 0	..BT..CCBT.DU.BAADUWKK.DFWLLL.FWOOO. U98 T98 D99 C97 A97 B94 K98 F99 L98 O98 
14 14 0	..BT..CCBT..U.BAADUWKK.DFWLLLDFWOOO. U98 T98 D98 C97 A97 B94 K98 F99 L98 O98 
14 14 0	..BT..CCBT..U.BAA.UWKK.DFWLLLDFWOOOD U98 T98 D97 C97 A97 B94 K98 F99 L98 O98 
15 15 0	...T..CCBT.DUWBAADUWBKKDFWLLL.F.OOO. U98 T98 D99 C97 A97 W99 B95 K99 F99 L98 O98 
15 15 0	...T..CCBT.DUWBAADUWBKKDFWLLL.FOOO.. U98 T98 D99 C97 A97 W99 B95 K99 F99 L98 O97 
15 15 0	...T..CCBT..UWBAADUWBKKDFWLLLDF.OOO. U98 T98 D98 C97 A97 W99 B95 K99 F99 L98 O98 
15 15 0	...T..CCBT..UWBAADUWBKKDFWLLLDFOOO.. U98 T98 D98 C97 A97 W99 B95 K99 F99 L98 O97 
15 15 0	...T..CCBT..UWBAA.UWBKKDFWLLLDF.OOOD U98 T98 D97 C97 A97 W99 B95 K99 F99 L98 O98 
15 15 0	...T..CCBT..UWBAA.UWBKKDFWLLLDFOOO.D U98 T98 D97 C97 A97 W99 B95 K99 F99 L98 O97 
15 15 0	..BT..CCBT.DUWBAADUW.KKDFWLLL.F.OOO. U98 T98 D99 C97 A97 W99 B94 K99 F99 L98 O98 
15 15 0	..BT..CCBT.DUWBAADUW.KKDFWLLL.FOOO.. U98 T98 D99 C97 A97 W99 B94 K99 F99 L98 O97 
15 15 0	..BT..CCBT..UWBAADUW.KKDFWLLLDF.OOO. U98 T98 D98 C97 A97 W99 B94 K99 F99 L98 O98 
15 15 0	..BT..CCBT..UWBAADUW.KKDFWLLLDFOOO.. U98 T98 D98 C97 A97 W99 B94 K99 F99 L98 O97 
15 15 0	..BT..CCBT..UWBAA.UW.KKDFWLLLDF.OOOD U98 T98 D97 C97 A97 W99 B94 K99 F99 L98 O98 
15 15 0	..BT..CCBT..UWBAA.UW.KKDFWLLLDFOOO.D U98 T98 D97 C97 A97 W99 B94 K99 F99 L98 O97 
15 15 0	..BT..CCBT.DUWBAADUWKK.DFWLLL.F.OOO. U98 T98 D99 C97 A97 W99 B94 K98 F99 L98 O98 
15 15 0	..BT..CCBT.DUWBAADUWKK.DFWLLL.FOOO.. U98 T98 D99 C97 A97 W99 B94 K98 F99 L98 O97 
15 15 0	..BT..CCBT..UWBAADUWKK.DFWLLLDF.OOO. U98 T98 D98 C97 A97 W99 B94 K98 F99 L98 O98 
15 15 0	..BT..CCBT..UWBAADUWKK.DFWLLLDFOOO.. U98 T98 D98 C97 A97 W99 B94 K98 F99 L98 O97 
15 15 0	..BT..CCBT..UWBAA.UWKK.DFWLLLDF.OOOD U98 T98 D97 C97 A97 W99 B94 K98 F99 L98 O98 
15 15 0	..BT..CCBT..UWBAA.UWKK.DFWLLLDFOOO.D U98 T98 D97 C97 A97 W99 B94 K98 F99 L98 O97 
