4 0 4	VVBC....BCDEAABCDEHJ..F.HJNNF..KK.F. 
8 4 4	.VV.....BCDEAABCDEHJBCF.HJNNF...KKF. V99 B99 C99 K99 
8 4 4	VVB.....BCDEAABCDE...CF.HJNNF.HJKKF. C99 H99 J99 K99 
8 6 2	.VVCDE..BCDEAABC..H.B.F.HJNNF..JKKF. V99 B99 D99 E99 J99 K99 
8 4 4	VVBCD...BCDEAABCFEHJ..F.HJNNF..KK... D99 F99 K98 
8 5 3	VVB.D...BCD.AABC.EHJ.CFEHJNNF.KK..F. C99 D99 E95 K99 
8 4 4	VVBCD...BCDEAABCFEH...F.HJNNF..JKK.. D99 J99 F99 K99 
8 5 3	VV.CD...BCD.AABC.EHJB.FEHJNNF...KKF. B99 D99 E97 K99 
8 5 3	VV...E..BCDEAABCD..JBCF.HJNNF.H.KKF. B99 C99 E99 H99 K99 
8 5 3	VVB.D...BCDEAABC.E...CF.HJNNF.HJKKF. C99 D99 H99 J99 K99 
8 5 3	VVBC....BCD.AABCD..J..FEHJNNFEH.KKF. D98 E98 H99 K99 
8 5 3	VVBCD...BCDEAABC.EH...F.HJNNF..JKKF. D99 E96 J99 K99 
8 5 3	VVBCD...BCD.AABCF.H...FEHJNNFE.JKK.. D99 E98 J99 F99 K99 
8 5 3	VVB.D...BCD.AABCF.HJ.CF.HJNNFE..KK.E C99 D99 E97 F99 K99 
8 5 3	VV..D...BCD.AABCF.HJBCF.HJNNFE.KK..E B99 C99 D99 E97 F99 
8 5 3	VVBCDE..BCDEAABCF..J..F.HJNNF.H..KK. D99 E99 H99 F99 K98 
8 5 3	VVBCDE..BCDEAABCF.H...F.HJNNF..JKK.. D99 E99 J99 F99 K99 
8 4 4	VVBCD...BCDEAABCFE.J..F.HJNNF.H...KK D99 H99 F99 K97 
8 5 3	VVBCDE..BCDEAABCF.H...F.HJNNF..J.KK. D99 E99 J99 F99 K98 
8 5 3	VV.CD...BCD.AABCF.HJB.F.HJNNFE..KK.E B99 D99 E97 F99 K99 
8 6 2	.VV.D...BCD.AABC..HJBCF.HJNNFE..KKFE V99 B99 C99 D99 E97 K99 
8 4 4	.VVC....BCD.AABCDE.JB.FEHJNNF.HKK.F. V99 B99 E99 H99 
8 5 3	VVB.D...BCD.AABC.E.J.CFEHJNNF.H.KKF. C99 D99 E99 H99 K99 
8 5 3	VV.CD...BCDEAABC.E..B.F.HJNNF.HJKKF. B99 D99 H99 J99 K99 
8 4 4	.VV.....BCDEAABCDE.JBCF.HJNNF.HKK.F. V99 B99 C99 H99 
8 4 4	VV.C....BCDEAABCDE.JB.F.HJNNF.HKK.F. V98 B99 H99 
8 5 3	VVB.....BCD.AABCD....CF.HJNNFEHJKKFE C99 E97 H99 J99 K99 
8 5 3	...VV...BCD.AABCD.HJBCF.HJNNFE..KKFE V97 B99 C99 E97 K99 
8 5 3	..VV....BCD.AABCD.HJBCF.HJNNFE..KKFE V98 B99 C99 E97 K99 
8 5 3	VV......BCD.AABCD..JBCF.HJNNFEH.KKFE B99 C99 E97 H99 K99 
8 5 3	VV.CD...BCD.AABCF.HJB.F.HJNNFEKK...E B99 D99 E97 F99 K99 
8 5 3	VVBCD...BCD.AABCF.H...FEHJNNFE.J..KK D99 E98 J99 F99 K97 
8 4 4	VVB.....BCD.AABCDEHJ.CFEHJNNF...KKF. C99 E97 K99 
8 4 4	VVB.....BCDEAABCDEHJ.CF.HJNNF...KKF. C99 E98 K99 
8 5 3	VVBCD...BCD.AABCF..J..F.HJNNFEH..KKE D99 E97 H99 F99 K98 
8 5 3	VVB.D...BCD.AABCF.HJ.CFEHJNNFE...KK. C99 D99 E98 F99 K98 
8 5 3	VVBCD...BCD.AABCF.H...F.HJNNFE.J.KKE D99 E97 J99 F99 K98 
8 5 3	VVBCD...BCD.AABCF.H...FEHJNNFE.J.KK. D99 E98 J99 F99 K98 
8 5 3	VVBCD...BCD.AABCF..J..FEHJNNFEH..KK. D99 E98 H99 F99 K98 
8 5 3	VVB.D...BCD.AABCF.HJ.CFEHJNNFEKK.... C99 D99 E98 F99 K99 
8 5 3	VV.CD...BCD.AABCF.HJB.FEHJNNFE...KK. B99 D99 E98 F99 K98 
8 4 4	.VVC....BCD.AABCDEHJB.FEHJNNF..KK.F. V99 B99 E97 
8 5 3	.VVC....BCD.AABCD.H.B.FEHJNNFE.JKKF. V99 B99 E98 J99 K99 
8 5 3	VV...E..BCDEAABCD.H.BCF.HJNNF..JKKF. B99 C99 E99 J99 K99 
8 5 3	VVBCD...BCDEAABC.E.J..F.HJNNF.H.KKF. D99 E98 H99 K99 
8 4 4	VVB.D...BCDEAABCFEHJ.CF.HJNNF.KK.... C99 D99 F99 K99 
8 4 4	VV.CD...BCDEAABCFEHJB.F.HJNNF.....KK B99 D99 F99 K97 
8 5 3	VV..D...BCDEAABC.EH.BCF.HJNNF..JKKF. B99 C99 D99 J99 K99 
8 4 4	VV..D...BCDEAABCFEHJBCF.HJNNF..KK... B99 C99 D99 F99 
8 5 3	VVB.D...BCDEAABC.EH..CF.HJNNF..JKKF. C99 D99 J99 K97 
8 4 4	.VVCD...BCDEAABCFEHJB.F.HJNNF..KK... V99 B99 D99 F99 
8 4 4	VV.CD...BCDEAABCFEHJB.F.HJNNF....KK. B99 D99 F99 K98 
8 5 3	VV......BCD.AABCD..JBCFEHJNNFEH.KKF. B99 C99 E98 H99 K99 
8 4 4	VV.CD...BCDEAABCFE.JB.F.HJNNF.HKK... B99 D99 H99 F99 
8 4 4	VV.CD...BCD.AABCFEHJB.FEHJNNF..KK... B99 D99 E99 F99 
8 5 3	.VVCD...BCD.AABC.EHJB.FEHJNNF.KK..F. V99 B99 D99 E99 K99 
8 5 3	.VVC.E..BCDEAABCD..JB.F.HJNNF.HKK.F. V99 B99 E97 H99 
8 5 3	.VVC....BCD.AABCD..JB.F.HJNNFEH.KKFE V99 B99 E97 H99 K99 
8 5 3	....VV..BCD.AABCD..JBCF.HJNNFEHKK.FE V96 B99 C99 E97 H99 
8 5 3	VV.CD...BCD.AABC.EHJB.FEHJNNF..KK.F. V98 D99 B99 E99 
8 5 3	.VVCD...BCD.AABC.EHJB.FEHJNNF...KKF. V99 B99 D99 E99 K99 
8 5 3	VV......BCD.AABCD.HJBCFEHJNNFE..KKF. B99 C99 E96 K99 
8 4 4	.VVC....BCD.AABCDEHJB.FEHJNNF.KK..F. V99 B99 E99 K99 
8 5 3	VV.CDE..BCDEAABCF.HJB.F.HJNNF.KK.... B99 D99 E99 F99 K99 
8 4 4	VVBC....BCD.AABCDE.J..FEHJNNF.H.KKF. E97 H99 K99 
8 5 3	VV.CDE..BCDEAABCF.HJB.F.HJNNF...KK.. B99 D99 E99 F99 K99 
8 6 2	VVBCDE..BCDEAABC......F.HJNNF.HJKKF. D99 E93 H99 J99 K99 
8 4 4	VV......BCDEAABCDEH.BCF.HJNNF..JKKF. B99 C99 J99 K99 
8 5 3	.VVCD...BCD.AABCF.HJB.FEHJNNFE.KK... V99 B99 D99 E98 F99 
8 5 3	.VVCD...BCDEAABC.EH.B.F.HJNNF..JKKF. V99 B99 D99 J99 K99 
8 5 3	....VV..BCD.AABCD..JBCFEHJNNFEHKK.F. V96 B99 C99 E98 H99 
8 5 3	.VV.D...BCDEAABC.EHJBCF.HJNNF.KK..F. V99 B99 C99 D99 K99 
8 4 4	VVBCD...BCD.AABCFEHJ..FEHJNNF...KK.. D99 E99 F99 K99 
8 6 2	.VV.D...BCD.AABC..HJBCF.HJNNFEKK..FE V99 B99 C99 D99 E97 K99 
8 5 3	VV..D...BCD.AABC.EHJBCFEHJNNF...KKF. B99 C99 D99 E99 K99 
8 5 3	VV.CD...BCD.AABC.E.JB.FEHJNNF.H.KKF. B99 D99 E99 H99 K99 
8 5 3	...VV...BCD.AABCD..JBCFEHJNNFEHKK.F. V97 B99 C99 E98 H99 
8 4 4	VVBCD...BCD.AABCFEHJ..FEHJNNF.....KK D99 E99 F99 K97 
8 4 4	VV.CD...BCDEAABCFEHJB.F.HJNNF.KK.... B99 D99 F99 K99 
8 5 3	VV.CD...BCD.AABCF.HJB.FEHJNNFEKK.... B99 D99 E98 F99 K99 
8 5 3	VVBCDE..BCDEAABCF..J..F.HJNNF.H.KK.. D99 E99 H99 F99 K99 
8 5 3	VV.C....BCD.AABCD.HJB.F.HJNNFE.KK.FE V98 B99 E97 
8 4 4	..VV....BCDEAABCDE.JBCF.HJNNF.HKK.F. V98 B99 C99 H99 
8 4 4	VVB.D...BCDEAABCFEHJ.CF.HJNNF.....KK C99 D99 F99 K97 
8 5 3	..VV....BCD.AABCD..JBCFEHJNNFEHKK.F. V98 B99 C99 E98 H99 
8 5 3	.VV.....BCD.AABCD..JBCFEHJNNFEHKK.F. V99 B99 C99 E98 H99 
8 4 4	VV.C....BCD.AABCDE.JB.FEHJNNF.H.KKF. B99 E99 H99 K99 
8 4 4	VVB.D...BCDEAABCFEHJ.CF.HJNNF....KK. C99 D99 F99 K98 
8 6 2	.VV.DE..BCDEAABC...JBCF.HJNNF.HKK.F. V99 B99 C99 D99 E99 H99 
8 5 3	VV..D...BCD.AABCF.HJBCFEHJNNFE.KK... B99 C99 D99 E98 F99 
8 4 4	VV......BCDEAABCDEHJBCF.HJNNF..KK.F. B99 C99 D98 
8 5 3	VV.C.E..BCDEAABCD.H.B.F.HJNNF..JKKF. B99 E93 J99 K99 
8 5 3	.VVCD...BCDEAABC.EHJB.F.HJNNF...KKF. V99 B99 D99 K97 
8 5 3	VVB..E..BCDEAABCD.H..CF.HJNNF..JKKF. C99 E95 J99 K99 
8 5 3	.VV..E..BCDEAABCD.HJBCF.HJNNF.KK..F. V99 B99 C99 E99 K99 
8 6 2	..VVD...BCD.AABC..HJBCFEHJNNFE..KKF. V98 B99 C99 D99 E98 K99 
8 5 3	VVB.....BCD.AABCD.H..CF.HJNNFE.JKKFE C99 E97 J99 K99 
8 6 2	.VV.D...BCD.AABC..HJBCFEHJNNFE..KKF. V99 B99 C99 D99 E98 K99 
8 5 3	VVBCD...BCD.AABCF..J..F.HJNNFEHKK..E D99 E97 H99 F99 
8 5 3	VV.CD...BCD.AABC.EHJB.FEHJNNF.KK..F. B99 D99 E97 K99 
8 6 2	VV..D...BCD.AABC...JBCF.HJNNFEHKK.FE B99 C99 D99 E97 H99 
8 4 4	...VV...BCDEAABCDEHJBCF.HJNNF..KK.F. V97 B99 C99 
8 6 2	..VVD...BCD.AABC...JBCFEHJNNFEHKK.F. V98 B99 C99 D99 E98 H99 
8 5 3	...VV...BCD.AABCD.HJBCFEHJNNFE.KK.F. V97 B99 C99 E98 
8 6 2	.VVCD...BCD.AABC..H.B.F.HJNNFE.JKKFE V99 B99 D99 E97 J99 K99 
8 5 3	VVB.D...BCD.AABCF.HJ.CF.HJNNFEKK...E C99 D99 E97 F99 K99 
8 5 3	VVBCDE..BCDEAABCF.H...F.HJNNF..JKK.. D99 E99 J99 F99 K99 
8 6 2	VV..D...BCD.AABC..H.BCF.HJNNFE.JKKFE B99 C99 D99 E97 J99 K99 
8 6 2	.VVCD...BCD.AABC...JB.F.HJNNFEH.KKFE V99 B99 D99 E97 H99 K99 
8 5 3	VV..D...BCD.AABC.EHJBCFEHJNNF.KK..F. B99 C99 D99 E99 K99 
8 6 2	VV..D...BCD.AABC...JBCF.HJNNFEH.KKFE B99 C99 D99 E97 H99 K99 
8 4 4	VVBCD...BCD.AABCFEHJ..FEHJNNF.KK.... D99 E99 F99 K99 
8 5 3	..VVD...BCD.AABC.EHJBCFEHJNNF..KK.F. V98 B99 C99 D99 E99 
8 5 3	.VV.D...BCD.AABC.EHJBCFEHJNNF..KK.F. V99 B99 C99 D99 E99 
8 6 2	.VV.DE..BCDEAABC..HJBCF.HJNNF..KK.F. V99 B99 C99 D99 E97 
8 5 3	....VV..BCD.AABCD.HJBCFEHJNNFEKK..F. V96 B99 C99 E98 K99 
8 5 3	...VV...BCD.AABCD.HJBCFEHJNNFEKK..F. V97 B99 C99 E98 K99 
8 5 3	VV.CD...BCD.AABCF..JB.F.HJNNFEHKK..E B99 D99 E97 H99 F99 
8 5 3	..VV....BCD.AABCD.HJBCFEHJNNFEKK..F. V98 B99 C99 E98 K99 
8 5 3	VVB.D...BCD.AABCF..J.CFEHJNNFEHKK... C99 D99 E98 H99 F99 
8 5 3	VV.CD...BCD.AABC.E.JB.FEHJNNF.H.KKF. B99 D99 E99 H99 K99 
8 5 3	VV......BCD.AABCD.H.BCF.HJNNFE.JKKFE B99 C99 E97 J99 K99 
8 5 3	....VV..BCD.AABCD.HJBCF.HJNNFE..KKFE V96 B99 C99 E97 K99 
8 4 4	.VV.....BCDEAABCDEHJBCF.HJNNF.KK..F. V99 B99 C99 K99 
8 5 3	.VV.D...BCDEAABC.E.JBCF.HJNNF.HKK.F. V99 B99 C99 D99 H99 
8 5 3	.VVCD...BCD.AABC.E.JB.FEHJNNF.HKK.F. V99 B99 D99 E99 H99 
8 5 3	.VV.D...BCD.AABC.EHJBCFEHJNNF..KK.F. V99 B99 C99 D99 E99 
8 6 2	.VV.D...BCD.AABC..HJBCFEHJNNFE.KK.F. V99 B99 C99 D99 E98 
8 5 3	VV.CD...BCD.AABCF.HJB.FEHJNNFE..KK.. B99 D99 E98 F99 K99 
8 5 3	VV..D...BCD.AABC.EHJBCFEHJNNF.KK..F. B99 C99 D99 E99 K99 
8 5 3	VV..D...BCDEAABC.E.JBCF.HJNNF.H.KKF. B99 C99 D99 H99 K99 
8 5 3	VV..D...BCD.AABC.EHJBCFEHJNNF...KKF. B99 C99 D99 E99 K99 
8 5 3	.VVC.E..BCDEAABCD.H.B.F.HJNNF..JKKF. V99 B99 E99 J99 K99 
8 5 3	VV......BCD.AABCD.H.BCFEHJNNFE.JKKF. B99 C99 E98 J99 K99 
8 4 4	....VV..BCDEAABCDEHJBCF.HJNNF..KK.F. V96 B99 C99 
8 5 3	....VV..BCD.AABCD.HJBCFEHJNNFE.KK.F. V96 B99 C99 E98 
8 5 3	VVB.D...BCDEAABC.E.J.CF.HJNNF.HKK.F. C99 D99 E98 H99 
8 5 3	....VV..BCD.AABCD.HJBCF.HJNNFEKK..FE V96 B99 C99 E97 K99 
8 5 3	VVBCD...BCD.AABC.E.J..FEHJNNF.HKK.F. C98 D99 E99 H99 
8 5 3	VV..D...BCD.AABC.E.JBCFEHJNNF.HKK.F. B99 C99 D99 E99 H99 
8 5 3	VVB.DE..BCDEAABCF..J.CF.HJNNF.HKK... C99 D99 E99 H99 F99 
8 4 4	VV......BCD.AABCDEHJBCFEHJNNF..KK.F. B99 C99 E97 
8 5 3	...VVE..BCDEAABCD.HJBCF.HJNNF...KKF. V97 B99 C99 E99 K99 
8 4 4	..VV....BCDEAABCDEHJBCF.HJNNF..KK.F. V98 B99 C99 
8 5 3	..VV.E..BCDEAABCD.HJBCF.HJNNF...KKF. V98 B99 C99 E99 K99 
8 5 3	..VVD...BCDEAABC.EHJBCF.HJNNF..KK.F. V98 B99 C99 D99 
8 5 3	VV.CDE..BCDEAABCF..JB.F.HJNNF.HKK... B99 D99 E99 H99 F99 
8 5 3	VVB.DE..BCDEAABCF.HJ.CF.HJNNF.KK.... C99 D99 E99 F99 K99 
8 5 3	.VVC....BCD.AABCD..JB.FEHJNNFEH.KKF. V99 B99 E98 H99 K99 
8 5 3	VV.CD...BCD.AABC.E.JB.FEHJNNF.HKK.F. B99 D99 E97 H99 
8 6 2	.VVCD...BCD.AABC...JB.FEHJNNFEH.KKF. V99 B99 D99 E98 H99 K99 
8 5 3	VVB.D...BCD.AABCF.HJ.CF.HJNNFE...KKE C99 D99 E97 F99 K98 
8 5 3	VV.CD...BCD.AABCF.HJB.F.HJNNFE...KKE B99 D99 E97 F99 K98 
8 4 4	.VV.....BCD.AABCDEHJBCFEHJNNF..KK.F. V99 B99 C99 E99 
8 5 3	VVBCDE..BCDEAABCF..J..F.HJNNF.HKK... D99 E95 H99 F99 
8 5 3	...VVE..BCDEAABCD.HJBCF.HJNNF.KK..F. V97 B99 C99 E99 K99 
8 5 3	VV..DE..BCDEAABCF.HJBCF.HJNNF..KK... B99 C99 D99 E99 F99 
8 5 3	..VV....BCD.AABCD.HJBCF.HJNNFEKK..FE V98 B99 C99 E97 K99 
8 5 3	..VV.E..BCDEAABCD.HJBCF.HJNNF..KK.F. V98 B99 C99 E93 
8 5 3	VV..D...BCD.AABC.EHJBCFEHJNNF..KK.F. B99 C99 D99 E97 
8 5 3	..VV....BCD.AABCD..JBCF.HJNNFEHKK.FE V98 B99 C99 E97 H99 
8 5 3	VV...E..BCDEAABCD.HJBCF.HJNNF..KK.F. B99 C99 D98 E99 
8 5 3	VVBCD...BCD.AABCF..J..FEHJNNFEH...KK D99 E98 H99 F99 K97 
8 5 3	VVB.D...BCD.AABCF.HJ.CFEHJNNFE....KK C99 D99 E98 F99 K97 
8 5 3	VVB.D...BCD.AABCF..J.CF.HJNNFEHKK..E C99 D99 E97 H99 F99 
8 5 3	VV.CD...BCD.AABCF.HJB.FEHJNNFE....KK B99 D99 E98 F99 K97 
8 5 3	..VV.E..BCDEAABCD.HJBCF.HJNNF.KK..F. V98 B99 C99 E99 K99 
8 5 3	...VV...BCD.AABCD.HJBCF.HJNNFEKK..FE V97 B99 C99 E97 K99 
8 5 3	VVBCD...BCD.AABCF.H...F.HJNNFE.JKK.E D99 E97 J99 F99 K99 
8 5 3	...VVE..BCDEAABCD.HJBCF.HJNNF..KK.F. V97 B99 C99 E93 
8 6 2	.VV.DE..BCDEAABC..HJBCF.HJNNF.KK..F. V99 B99 C99 D99 E99 K99 
8 5 3	...VV...BCD.AABCD..JBCF.HJNNFEHKK.FE V97 B99 C99 E97 H99 
8 6 2	..VVDE..BCDEAABC..HJBCF.HJNNF.KK..F. V98 B99 C99 D99 E99 K99 
8 5 3	..BVV...BCD.AABCD.HJ.CF.HJNNFE.KK.FE V97 B98 C99 E97 
8 6 2	..VVD...BCD.AABC..HJBCFEHJNNFE.KK.F. V98 B99 C99 D99 E96 
8 5 3	VV.C....BCD.AABCD...B.F.HJNNFEHJKKFE B99 E97 H99 J99 K99 
8 5 3	VVBCD...BCD.AABCF..J..F.HJNNFEH.KK.E D99 E97 H99 F99 K99 
8 6 2	..VVD...BCD.AABC..HJBCFEHJNNFEKK..F. V98 B99 C99 D99 E98 K99 
8 4 4	....VV..BCDEAABCDE.JBCF.HJNNF.HKK.F. V96 B99 C99 H99 
8 4 4	VV......BCD.AABCDEHJBCFEHJNNF.KK..F. B99 C99 E99 K99 
8 6 2	..VVD...BCD.AABC..HJBCF.HJNNFEKK..FE V98 B99 C99 D99 E97 K99 
8 6 2	VV.CD...BCD.AABC....B.F.HJNNFEHJKKFE B99 D99 E97 H99 J99 K99 
8 4 4	VV.C....BCDEAABCDE..B.F.HJNNF.HJKKF. B99 H99 J99 K99 
8 4 4	VV.C....BCD.AABCDE.JB.FEHJNNF.HKK.F. B99 E97 H99 
8 5 3	.VVCDE..BCDEAABCF.HJB.F.HJNNF..KK... V99 B99 D99 E99 F99 
8 6 2	..VVD...BCD.AABC...JBCF.HJNNFEHKK.FE V98 B99 C99 D99 E97 H99 
8 5 3	...CVV..BCD.AABCD.HJB.F.HJNNFE.KK.FE V96 B99 C98 E97 
8 5 3	.VV.....BCD.AABCD.HJBCF.HJNNFEKK..FE V99 B99 C99 E97 K99 
8 5 3	VV..D...BCDEAABC.EHJBCF.HJNNF..KK.F. B99 C99 D99 E94 
8 5 3	VVB.DE..BCDEAABCF.HJ.CF.HJNNF....KK. C99 D99 E99 F99 K98 
8 5 3	.VVCD...BCD.AABC.EHJB.FEHJNNF..KK.F. V99 B99 D99 E97 
8 5 3	VV.CDE..BCDEAABCF.HJB.F.HJNNF....KK. B99 D99 E99 F99 K98 
8 4 4	VV.C....BCD.AABCDEHJB.FEHJNNF..KK.F. V98 B99 E99 
8 5 3	.VVC.E..BCDEAABCD.HJB.F.HJNNF..KK.F. V99 B99 D98 E99 
8 6 2	VV.CD...BCD.AABC....B.FEHJNNFEHJKKF. B99 D99 E98 H99 J99 K99 
8 6 2	VVB.D...BCD.AABC.....CFEHJNNFEHJKKF. C99 D99 E98 H99 J99 K99 
8 6 2	VV..D...BCD.AABC...JBCFEHJNNFEH.KKF. B99 C99 D99 E98 H99 K99 
8 6 2	VVB.D...BCD.AABC...J.CF.HJNNFEHKK.FE C99 D99 E97 H99 K98 
8 4 4	VVBCD...BCD.AABCFE.J..FEHJNNF.HKK... D99 E99 H99 F99 
8 6 2	VV.CD...BCD.AABC...JB.FEHJNNFEH.KKF. B99 D99 E96 H99 K99 
8 6 2	VVB.DE..BCDEAABC.....CF.HJNNF.HJKKF. C99 D99 E99 H99 J99 K99 
8 4 4	VVBCD...BCDEAABCFE.J..F.HJNNF.H.KK.. D99 H99 F99 K99 
8 6 2	VV.CDE..BCDEAABC....B.F.HJNNF.HJKKF. B99 D99 E99 H99 J99 K99 
8 4 4	VVBC....BCD.AABCDE....FEHJNNF.HJKKF. E99 H99 J99 K99 
8 5 3	VV.C....BCD.AABCD...B.FEHJNNFEHJKKF. B99 E98 H99 J99 K99 
8 5 3	VVBCD...BCD.AABC.E....FEHJNNF.HJKKF. D99 E99 H99 J99 K99 
8 4 4	VV.C....BCD.AABCDE.JB.FEHJNNF.H.KKF. B99 E99 H99 K99 
8 4 4	VVBC....BCD.AABCDE.J..FEHJNNF.HKK.F. E99 H99 K98 
8 6 2	VV..DE..BCDEAABC..H.BCF.HJNNF..JKKF. B99 C99 D99 E99 J99 K99 
8 6 2	VV..DE..BCDEAABC...JBCF.HJNNF.H.KKF. B99 C99 D99 E99 H99 K99 
8 4 4	VVB.....BCD.AABCDE.J.CFEHJNNF.H.KKF. C99 E99 H99 K99 
9 7 2	.VV.D...BCD.AABC..H.BCF.HJNNFE.JKKFE V99 B99 C99 D99 E97 J99 K99 
9 6 3	.VVCD...BCD.AABC.E.JB.FEHJNNF.H.KKF. V99 B99 D99 E99 H99 K99 
9 5 4	.VV.....BCD.AABCDE.JBCFEHJNNF.HKK.F. V99 B99 C99 E99 H99 
9 6 3	.VVCD...BCDEAABC.E..B.F.HJNNF.HJKKF. V99 B99 D99 H99 J99 K99 
9 5 4	.VVCD...BCDEAABCFEHJB.F.HJNNF....KK. V99 B99 D99 F99 K98 
9 5 4	VVBC....BCD.AABCDEH...FEHJNNF..JKKF. C98 E99 J99 K99 
9 5 4	VV......BCD.AABCDEH.BCFEHJNNF..JKKF. B99 C99 E99 J99 K99 
9 7 2	.VVCDE..BCDEAABC....B.F.HJNNF.HJKKF. V99 B99 D99 E99 H99 J99 K99 
9 7 2	VV..D...BCD.AABC..H.BCFEHJNNFE.JKKF. B99 C99 D99 E96 J99 K99 
9 5 4	VVB.....BCD.AABCDE...CFEHJNNF.HJKKF. C99 E99 H99 J99 K99 
9 5 4	...VV...BCD.AABCDE.JBCFEHJNNF.HKK.F. V97 B99 C99 E99 H99 
9 5 4	..BVV...BCDEAABCDE.J.CF.HJNNF.HKK.F. V97 B98 C99 H99 
9 7 2	.VV.DE..BCDEAABC..HJBCF.HJNNF..KK.F. V99 B99 C99 D99 E99 K98 
9 6 3	...VVE..BCDEAABCD..JBCF.HJNNF.H.KKF. V97 B99 C99 E99 H99 K99 
9 5 4	VVBC....BCD.AABCDE....FEHJNNF.HJKKF. E97 H99 J99 K99 
9 5 4	.VVC....BCDEAABCDE..B.F.HJNNF.HJKKF. V99 B99 H99 J99 K99 
9 6 3	..BVVE..BCDEAABCD..J.CF.HJNNF.HKK.F. V97 B98 C99 E99 H99 
9 6 3	..VV.E..BCDEAABCD..JBCF.HJNNF.H.KKF. V98 B99 C99 E99 H99 K99 
9 6 3	VVB.....BCD.AABCD....CFEHJNNFEHJKKF. C99 E98 H99 J99 K99 
9 5 4	VVBCD...BCD.AABCFEHJ..FEHJNNF.....KK D99 E97 F99 K97 
9 6 3	VVBCDE..BCDEAABCF.H...F.HJNNF..JKK.. D99 E95 J99 F99 K99 
9 5 4	VVBCD...BCDEAABCFEH...F.HJNNF..J.KK. D99 J99 F99 K98 
9 6 3	VVBCDE..BCDEAABCF.....F.HJNNF.HJ..KK D99 E99 H99 J99 F99 K97 
9 5 4	VVB.....BCD.AABCDE.J.CFEHJNNF.HKK.F. C99 E99 H99 K98 
9 5 4	VVBCD...BCDEAABCFEH...F.HJNNF..J..KK D99 J99 F99 K97 
9 5 4	.VVC....BCD.AABCDEHJB.FEHJNNF.KK..F. V99 B99 E95 K99 
9 6 3	VV.CDE..BCDEAABCF.H.B.F.HJNNF..J..KK B99 D99 E99 J99 F99 K97 
9 5 4	....VV..BCDEAABCDEHJBCF.HJNNF...KKF. V96 B99 C99 K99 
9 5 4	VVBCD...BCDEAABCFE....F.HJNNF.HJKK.. D99 H99 J99 F99 K99 
9 6 3	VVBCDE..BCDEAABCF.H...F.HJNNF..J..KK D99 E99 J99 F99 K97 
9 5 4	.VVC....BCD.AABCDE.JB.FEHJNNF.H.KKF. V99 B99 E99 H99 K99 
9 6 3	.VVCDE..BCDEAABCF.HJB.F.HJNNF.....KK V99 B99 D99 E99 F99 K97 
9 5 4	.VV.....BCD.AABCDEHJBCFEHJNNF...KKF. V99 B99 C99 E99 K99 
9 5 4	VVB.....BCD.AABCDE.J.CFEHJNNF.H.KKF. C99 E97 H99 K99 
9 6 3	.VVCDE..BCDEAABCF.HJB.F.HJNNF...KK.. V99 B99 D99 E99 F99 K99 
9 5 4	VVB.D...BCDEAABCFEH..CF.HJNNF..JKK.. C99 D99 J99 F99 K99 
9 5 4	VV......BCD.AABCDE.JBCFEHJNNF.HKK.F. B99 C99 E97 H99 
9 5 4	...VV...BCDEAABCDEHJBCF.HJNNF...KKF. V97 B99 C99 K99 
9 6 3	.VV..E..BCDEAABCD.HJBCF.HJNNF...KKF. V99 B99 C99 E97 K99 
9 6 3	.VV.....BCD.AABCD.HJBCFEHJNNFE..KKF. V99 B99 C99 E98 K99 
9 6 3	VV..DE..BCDEAABCF.HJBCF.HJNNF...KK.. B99 C99 D99 E99 F99 K99 
9 6 3	VV.CDE..BCDEAABCF..JB.F.HJNNF.H.KK.. B99 D99 E99 H99 F99 K99 
9 5 4	VV.C....BCD.AABCDE.JB.FEHJNNF.H.KKF. B99 E97 H99 K99 
9 6 3	VVBCDE..BCDEAABCF.....F.HJNNF.HJ.KK. D99 E99 H99 J99 F99 K98 
9 5 4	VVBC....BCDEAABCDE....F.HJNNF.HJKKF. E96 H99 J99 K99 
9 6 3	VVB.D...BCDEAABC.E.J.CF.HJNNF.H.KKF. C99 D99 H99 J98 K99 
9 5 4	VV.CD...BCDEAABCFEH.B.F.HJNNF..JKK.. B99 D99 J99 F99 K99 
9 6 3	VVB.DE..BCDEAABCF..J.CF.HJNNF.H.KK.. C99 D99 E99 H99 F99 K99 
9 6 3	VV..D...BCDEAABC.E..BCF.HJNNF.HJKKF. B99 C99 D99 H99 J99 K99 
9 6 3	VV..D...BCD.AABCF.HJBCF.HJNNFE...KKE B99 C99 D99 E97 F99 K98 
9 6 3	VVB.D...BCD.AABC.E...CFEHJNNF.HJKKF. C99 D99 E99 H99 J99 K99 
9 6 3	VVB.D...BCD.AABCF..J.CFEHJNNFEH.KK.. C99 D99 E98 H99 F99 K99 
9 6 3	VVBCD...BCD.AABC.E....FEHJNNF.HJKKF. D99 E97 H99 J99 K99 
9 6 3	.VV.D...BCDEAABC.E.JBCF.HJNNF.H.KKF. V99 B99 C99 D99 H99 K99 
9 6 3	VV..D...BCD.AABC.EHJBCFEHJNNF.KK..F. B99 C99 D99 E97 K99 
9 6 3	VVB.D...BCD.AABCF.H..CFEHJNNFE.J..KK C99 D99 E98 J99 F99 K97 
