0 0 0	.C....BC.PTUBAAPTUYYYOTU...O.....KK. 
4 4 0	BC..T.BC.PT..AAPT.YYYO.U...O.U.KK..U B99 T99 U98 K98 
4 4 0	BC..T.BC.PT..AAPT.YYYO.U...O.UKK...U B99 T99 U98 K97 
4 4 0	BC..TUBC.PTUAA.PTUYYYO.....O.....KK. B99 T99 U99 A99 
4 4 0	BC..TUBC.PTU.AAPTUYYYO.....O....KK.. B99 T99 U99 K99 
4 4 0	BC..TUBC.PTU.AAPTUYYYO.....O...KK... B99 T99 U99 K98 
4 4 0	BC..TUBC.PTU.AAPTUYYYO.....O..KK.... B99 T99 U99 K97 
4 4 0	BC..TUBC.PTU.AAPTUYYYO.....O......KK B99 T99 U99 K99 
4 4 0	BC..T.BC.PTUAA.PTUYYYO.U...O....KK.. B99 T99 A99 K99 
4 4 0	BC..T.BC.PTUAA.PTUYYYO.U...O...KK... B99 T99 A99 K98 
4 4 0	BC..T.BC.PTUAA.PTUYYYO.U...O..KK.... B99 T99 A99 K97 
4 4 0	BC..T.BC.PTUAA.PTUYYYO.U...O......KK B99 T99 A99 K99 
4 4 0	BC..T.BC.PTU.AAPTUYYY..U...O...KKO.. B99 T99 O99 K98 
4 4 0	BC..T.BC.PTU.AAPTUYYY..U...O..KK.O.. B99 T99 O99 K97 
4 4 0	BC..T.BC.PTU.AAPTUYYY..U...O.....OKK B99 T99 O99 K99 
4 4 0	BC....BC.PT.AA.PTUYYYOTU...O.U..KK.. B99 U99 A99 K99 
4 4 0	BC....BC.PT.AA.PTUYYYOTU...O.U.KK... B99 U99 A99 K98 
4 4 0	BC....BC.PT.AA.PTUYYYOTU...O.UKK.... B99 U99 A99 K97 
4 4 0	BC....BC.PT.AA.PTUYYYOTU...O.U....KK B99 U99 A99 K99 
4 4 0	BC....BC.P...AAP.UYYYOTU...OTU..KKT. B99 T98 U99 K99 
4 4 0	BC....BC.P...AAP.UYYYOTU...OTU.KK.T. B99 T98 U99 K98 
4 4 0	BC....BC.PT..AAPTUYYY.TU...O.U.KKO.. B99 U99 O99 K98 
4 4 0	BC....BC.P...AAP.UYYYOTU...OTUKK..T. B99 T98 U99 K97 
4 4 0	BC....BC.PT..AAPTUYYY.TU...O.UKK.O.. B99 U99 O99 K97 
4 4 0	BC....BC.PT..AAPTUYYY.TU...O.U...OKK B99 U99 O99 K99 
4 4 0	BC....BC.PT.AA.PT.YYYOTU...O.U..KK.U B99 U98 A99 K99 
4 4 0	BC....BC.PT.AA.PT.YYYOTU...O.U.KK..U B99 U98 A99 K98 
4 4 0	BC....BC.PT.AA.PT.YYYOTU...O.UKK...U B99 U98 A99 K97 
4 4 0	BC....BC.P...AAP..YYYOTU...OTU..KKTU B99 T98 U98 K99 
4 4 0	BC....BC.P...AAP..YYYOTU...OTU.KK.TU B99 T98 U98 K98 
4 4 0	BC....BC.PT..AAPT.YYY.TU...O.U.KKO.U B99 U98 O99 K98 
4 4 0	BC....BC.P...AAP..YYYOTU...OTUKK..TU B99 T98 U98 K97 
4 4 0	BC....BC.PT..AAPT.YYY.TU...O.UKK.O.U B99 U98 O99 K97 
4 4 0	BC...UBC.PTUAA.PTUYYYOT....O....KK.. B99 U99 A99 K99 
4 4 0	BC...UBC.PTUAA.PTUYYYOT....O...KK... B99 U99 A99 K98 
4 4 0	BC...UBC.PTUAA.PTUYYYOT....O..KK.... B99 U99 A99 K97 
4 4 0	BC...UBC.PTUAA.PTUYYYOT....O......KK B99 U99 A99 K99 
4 4 0	BC...UBC.P.U.AAP.UYYYOT....OT...KKT. B99 T98 U99 K99 
4 4 0	BC...UBC.P.U.AAP.UYYYOT....OT..KK.T. B99 T98 U99 K98 
4 4 0	BC...UBC.PTU.AAPTUYYY.T....O...KKO.. B99 U99 O99 K98 
4 4 0	BC...UBC.P.U.AAP.UYYYOT....OT.KK..T. B99 T98 U99 K97 
4 4 0	BC...UBC.PTU.AAPTUYYY.T....O..KK.O.. B99 U99 O99 K97 
4 4 0	BC...UBC.PTU.AAPTUYYY.T....O.....OKK B99 U99 O99 K99 
4 4 0	BC....BC.P.UAA.P.UYYYOTU...OT...KKT. B99 T98 A99 K99 
4 4 0	BC....BC.P.UAA.P.UYYYOTU...OT..KK.T. B99 T98 A99 K98 
4 4 0	BC....BC.PTUAA.PTUYYY.TU...O...KKO.. B99 A99 O99 K98 
4 4 0	BC....BC.P.UAA.P.UYYYOTU...OT.KK..T. B99 T98 A99 K97 
4 4 0	BC....BC.PTUAA.PTUYYY.TU...O..KK.O.. B99 A99 O99 K97 
4 4 0	BC....BC.PTUAA.PTUYYY.TU...O.....OKK B99 A99 O99 K99 
4 4 0	BC....BC.P.U.AAP.UYYY.TU...OT..KKOT. B99 T98 O99 K98 
4 4 0	BC....BC..TU.AAPTUYYYPTU...O...KKO.. B99 P99 O99 K98 
4 4 0	BC....BC.PTU.AAPTU.YYYTU...O...KKO.. B99 Y99 O99 K98 
4 4 0	BC....BC.P.U.AAP.UYYY.TU...OT.KK.OT. B99 T98 O99 K97 
4 4 0	BC....BC..TU.AAPTUYYYPTU...O..KK.O.. B99 P99 O99 K97 
4 4 0	BC....BC.PTU.AAPTU.YYYTU...O..KK.O.. B99 Y99 O99 K97 
4 4 0	BC....BC..TU.AAPTUYYYPTU...O.....OKK B99 P99 O99 K99 
4 4 0	BC....BC.PTU.AAPTU.YYYTU...O.....OKK B99 Y99 O99 K99 
4 4 0	.C.P..BC.P..B.AATUYYYOTU...OTU...KK. P99 T99 U99 A99 
4 4 0	.C.P..BC.P..BAAOTUYYYOTU....TU...KK. P99 T99 U99 O99 
4 4 0	.C.P..BC.P..BAA.TUYYYOTU...OTU..KK.. P99 T99 U99 K99 
4 4 0	.C.P..BC.P..BAA.TUYYYOTU...OTU.KK... P99 T99 U99 K98 
4 4 0	.C.P..BC.P..BAA.TUYYYOTU...OTUKK.... P99 T99 U99 K97 
4 4 0	.C.P..BC.P..BAA.TUYYYOTU...OTU....KK P99 T99 U99 K99 
4 4 0	.C.P..BC.P..B.AAT.YYYOTU...OTU...KKU P99 T99 U98 A99 
4 4 0	.C.P..BC.P..BAAOT.YYYOTU....TU...KKU P99 T99 U98 O99 
4 4 0	.C.P..BC.P..BAA.T.YYYOTU...OTU..KK.U P99 T99 U98 K99 
4 4 0	.C.P..BC.P..BAA.T.YYYOTU...OTU.KK..U P99 T99 U98 K98 
4 4 0	.C.P..BC.P..BAA.T.YYYOTU...OTUKK...U P99 T99 U98 K97 
4 4 0	.C.P.UBC.P.UB.AATUYYYOT....OT....KK. P99 T99 U99 A99 
4 4 0	.C.P.UBC.P.UBAAOTUYYYOT.....T....KK. P99 T99 U99 O99 
4 4 0	.C.P.UBC.P.UBAA.TUYYYOT....OT...KK.. P99 T99 U99 K99 
4 4 0	.C.P.UBC.P.UBAA.TUYYYOT....OT..KK... P99 T99 U99 K98 
4 4 0	.C.P.UBC.P.UBAA.TUYYYOT....OT.KK.... P99 T99 U99 K97 
4 4 0	.C.P.UBC.P.UBAA.TUYYYOT....OT.....KK P99 T99 U99 K99 
4 4 0	...P..BC.P.UBCAATUYYYOTU...OT....KK. C99 P99 A99 T99 
4 4 0	.C.P..BC.P.UB.AATUYYYOTU...OT...KK.. P99 T99 A99 K99 
4 4 0	.C.P..BC.P.UB.AATUYYYOTU...OT..KK... P99 T99 A99 K98 
4 4 0	.C.P..BC.P.UB.AATUYYYOTU...OT.KK.... P99 T99 A99 K97 
4 4 0	.C.P..BC.P.UB.AATUYYYOTU...OT.....KK P99 T99 A99 K99 
4 4 0	.C.P..BC.P.UBAAOTUYYYOTU....T...KK.. P99 T99 O99 K99 
4 4 0	.C.P..BC.P.UBAAOTUYYYOTU....T..KK... P99 T99 O99 K98 
4 4 0	.C.P..BC.P.UBAAOTUYYYOTU....T.KK.... P99 T99 O99 K97 
4 4 0	.C.P..BC.P.UBAAOTUYYYOTU....T.....KK P99 T99 O99 K99 
4 4 0	.C.P..BC.P.UBAA.TUYYY.TU...OT..KKO.. P99 T99 O99 K98 
4 4 0	.C.P..BC.P.UBAA.TUYYY.TU...OT.KK.O.. P99 T99 O99 K97 
4 4 0	.C.P..BC.P.UBAA.TUYYY.TU...OT....OKK P99 T99 O99 K99 
4 4 0	.C.PT.BC.PT.B.AATUYYYO.U...O.U...KK. P99 T99 U99 A99 
4 4 0	.C.PT.BC.PT.BAAOTUYYYO.U.....U...KK. P99 T99 U99 O99 
4 4 0	.C.PT.BC.PT.BAA.TUYYYO.U...O.U..KK.. P99 T99 U99 K99 
4 4 0	.C.PT.BC.PT.BAA.TUYYYO.U...O.U.KK... P99 T99 U99 K98 
4 4 0	.C.PT.BC.PT.BAA.TUYYYO.U...O.UKK.... P99 T99 U99 K97 
4 4 0	.C.PT.BC.PT.BAA.TUYYYO.U...O.U....KK P99 T99 U99 K99 
4 4 0	.C.PT.BC.PT.B.AAT.YYYO.U...O.U...KKU P99 T99 U98 A99 
4 4 0	.C.PT.BC.PT.BAAOT.YYYO.U.....U...KKU P99 T99 U98 O99 
4 4 0	.C.PT.BC.PT.BAA.T.YYYO.U...O.U..KK.U P99 T99 U98 K99 
4 4 0	.C.PT.BC.PT.BAA.T.YYYO.U...O.U.KK..U P99 T99 U98 K98 
4 4 0	.C.PT.BC.PT.BAA.T.YYYO.U...O.UKK...U P99 T99 U98 K97 
4 4 0	.C.PTUBC.PTUB.AATUYYYO.....O.....KK. P99 T99 U99 A99 
4 4 0	.C.PTUBC.PTUBAAOTUYYYO...........KK. P99 T99 U99 O99 
4 4 0	.C.PTUBC.PTUBAA.TUYYYO.....O....KK.. P99 T99 U99 K99 
4 4 0	.C.PTUBC.PTUBAA.TUYYYO.....O...KK... P99 T99 U99 K98 
4 4 0	.C.PTUBC.PTUBAA.TUYYYO.....O..KK.... P99 T99 U99 K97 
4 4 0	.C.PTUBC.PTUBAA.TUYYYO.....O......KK P99 T99 U99 K99 
4 4 0	...PT.BC.PTUBCAATUYYYO.U...O.....KK. C99 P99 T99 A99 
4 4 0	.C.PT.BC.PTUB.AATUYYYO.U...O....KK.. P99 T99 A99 K99 
4 4 0	.C.PT.BC.PTUB.AATUYYYO.U...O...KK... P99 T99 A99 K98 
4 4 0	.C.PT.BC.PTUB.AATUYYYO.U...O..KK.... P99 T99 A99 K97 
4 4 0	.C.PT.BC.PTUB.AATUYYYO.U...O......KK P99 T99 A99 K99 
4 4 0	.C.PT.BC.PTUBAAOTUYYYO.U........KK.. P99 T99 O99 K99 
4 4 0	.C.PT.BC.PTUBAAOTUYYYO.U.......KK... P99 T99 O99 K98 
4 4 0	.C.PT.BC.PTUBAAOTUYYYO.U......KK.... P99 T99 O99 K97 
4 4 0	.C.PT.BC.PTUBAAOTUYYYO.U..........KK P99 T99 O99 K99 
4 4 0	.C.PT.BC.PTUBAA.TUYYY..U...O...KKO.. P99 T99 O99 K98 
4 4 0	.C.PT.BC.PTUBAA.TUYYY..U...O..KK.O.. P99 T99 O99 K97 
4 4 0	.C.PT.BC.PTUBAA.TUYYY..U...O.....OKK P99 T99 O99 K99 
4 4 0	...P..BC.PT.BCAATUYYYOTU...O.U...KK. C99 P99 A99 U99 
4 4 0	.C.P..BC.PT.B.AATUYYYOTU...O.U..KK.. P99 U99 A99 K99 
4 4 0	.C.P..BC.PT.B.AATUYYYOTU...O.U.KK... P99 U99 A99 K98 
4 4 0	.C.P..BC.PT.B.AATUYYYOTU...O.UKK.... P99 U99 A99 K97 
4 4 0	.C.P..BC.PT.B.AATUYYYOTU...O.U....KK P99 U99 A99 K99 
4 4 0	.C.P..BC.PT.BAAOTUYYYOTU.....U..KK.. P99 U99 O99 K99 
4 4 0	.C.P..BC.PT.BAAOTUYYYOTU.....U.KK... P99 U99 O99 K98 
4 4 0	.C.P..BC.PT.BAAOTUYYYOTU.....UKK.... P99 U99 O99 K97 
4 4 0	.C.P..BC.PT.BAAOTUYYYOTU.....U....KK P99 U99 O99 K99 
4 4 0	.C.P..BC.P..BAA..UYYYOTU...OTU..KKT. P99 T98 U99 K99 
4 4 0	.C.P..BC.P..BAA..UYYYOTU...OTU.KK.T. P99 T98 U99 K98 
4 4 0	.C.P..BC.PT.BAA.TUYYY.TU...O.U.KKO.. P99 U99 O99 K98 
4 4 0	.C.P..BC.P..BAA..UYYYOTU...OTUKK..T. P99 T98 U99 K97 
4 4 0	.C.P..BC.PT.BAA.TUYYY.TU...O.UKK.O.. P99 U99 O99 K97 
4 4 0	.C.P..BC.PT.BAA.TUYYY.TU...O.U...OKK P99 U99 O99 K99 
4 4 0	...P..BC.PT.BCAAT.YYYOTU...O.U...KKU C99 P99 A99 U98 
4 4 0	.C.P..BC.PT.B.AAT.YYYOTU...O.U..KK.U P99 U98 A99 K99 
4 4 0	.C.P..BC.PT.B.AAT.YYYOTU...O.U.KK..U P99 U98 A99 K98 
4 4 0	.C.P..BC.PT.B.AAT.YYYOTU...O.UKK...U P99 U98 A99 K97 
4 4 0	.C.P..BC.PT.BAAOT.YYYOTU.....U..KK.U P99 U98 O99 K99 
4 4 0	.C.P..BC.PT.BAAOT.YYYOTU.....U.KK..U P99 U98 O99 K98 
4 4 0	.C.P..BC.PT.BAAOT.YYYOTU.....UKK...U P99 U98 O99 K97 
4 4 0	.C.P..BC.P..BAA...YYYOTU...OTU..KKTU P99 T98 U98 K99 
4 4 0	.C.P..BC.P..BAA...YYYOTU...OTU.KK.TU P99 T98 U98 K98 
4 4 0	.C.P..BC.PT.BAA.T.YYY.TU...O.U.KKO.U P99 U98 O99 K98 
4 4 0	.C.P..BC.P..BAA...YYYOTU...OTUKK..TU P99 T98 U98 K97 
4 4 0	.C.P..BC.PT.BAA.T.YYY.TU...O.UKK.O.U P99 U98 O99 K97 
4 4 0	...P.UBC.PTUBCAATUYYYOT....O.....KK. C99 P99 U99 A99 
4 4 0	.C.P.UBC.PTUB.AATUYYYOT....O....KK.. P99 U99 A99 K99 
4 4 0	.C.P.UBC.PTUB.AATUYYYOT....O...KK... P99 U99 A99 K98 
4 4 0	.C.P.UBC.PTUB.AATUYYYOT....O..KK.... P99 U99 A99 K97 
4 4 0	.C.P.UBC.PTUB.AATUYYYOT....O......KK P99 U99 A99 K99 
4 4 0	.C.P.UBC.PTUBAAOTUYYYOT.........KK.. P99 U99 O99 K99 
4 4 0	.C.P.UBC.PTUBAAOTUYYYOT........KK... P99 U99 O99 K98 
4 4 0	.C.P.UBC.PTUBAAOTUYYYOT.......KK.... P99 U99 O99 K97 
4 4 0	.C.P.UBC.PTUBAAOTUYYYOT...........KK P99 U99 O99 K99 
4 4 0	.C.P.UBC.P.UBAA..UYYYOT....OT...KKT. P99 T98 U99 K99 
4 4 0	.C.P.UBC.P.UBAA..UYYYOT....OT..KK.T. P99 T98 U99 K98 
4 4 0	.C.P.UBC.PTUBAA.TUYYY.T....O...KKO.. P99 U99 O99 K98 
4 4 0	.C.P.UBC.P.UBAA..UYYYOT....OT.KK..T. P99 T98 U99 K97 
4 4 0	.C.P.UBC.PTUBAA.TUYYY.T....O..KK.O.. P99 U99 O99 K97 
4 4 0	.C.P.UBC.PTUBAA.TUYYY.T....O.....OKK P99 U99 O99 K99 
4 4 0	...P..BC.PTUBCAATUYYYOTU...O....KK.. C99 P99 A99 K99 
4 4 0	...P..BC.PTUBCAATUYYYOTU...O...KK... C99 P99 A99 K98 
4 4 0	...P..BC.PTUBCAATUYYYOTU...O..KK.... C99 P99 A99 K97 
4 4 0	...P..BC.PTUBCAATUYYYOTU...O......KK C99 P99 A99 K99 
4 4 0	.C.P..BC.P.UB.AA.UYYYOTU...OT...KKT. P99 T98 A99 K99 
4 4 0	.C.P..BC.P.UB.AA.UYYYOTU...OT..KK.T. P99 T98 A99 K98 
4 4 0	.C.P..BC.PTUB.AATUYYY.TU...O...KKO.. P99 A99 O99 K98 
4 4 0	.C.P..BC.P.UB.AA.UYYYOTU...OT.KK..T. P99 T98 A99 K97 
4 4 0	.C.P..BC.PTUB.AATUYYY.TU...O..KK.O.. P99 A99 O99 K97 
4 4 0	.C.P..BC.PTUB.AATUYYY.TU...O.....OKK P99 A99 O99 K99 
4 4 0	.C.P..BC.P.UBAAO.UYYYOTU....T...KKT. P99 T98 O99 K99 
4 4 0	.C.P..BC.P.UBAAO.UYYYOTU....T..KK.T. P99 T98 O99 K98 
4 4 0	.C.P..BC.P.UBAAO.UYYYOTU....T.KK..T. P99 T98 O99 K97 
4 4 0	.C.P..BC.P.UB..AAUYYYOTU...OT...KKT. P99 T98 A98 K99 
4 4 0	.C.P..BC.P.UB..AAUYYYOTU...OT..KK.T. P99 T98 A98 K98 
4 4 0	.C.P..BC.P.UBAA..UYYY.TU...OT..KKOT. P99 T98 O99 K98 
4 4 0	.C.P..BC.PTUBAA.TU.YYYTU...O...KKO.. P99 Y99 O99 K98 
4 4 0	.C.P..BC.P.UB..AAUYYYOTU...OT.KK..T. P99 T98 A98 K97 
4 4 0	.C.P..BC.P.UBAA..UYYY.TU...OT.KK.OT. P99 T98 O99 K97 
4 4 0	.C.P..BC.PTUBAA.TU.YYYTU...O..KK.O.. P99 Y99 O99 K97 
4 4 0	.C.P..BC.PTUBAA.TU.YYYTU...O.....OKK P99 Y99 O99 K99 
4 4 0	.C....BC.P..BAAPTUYYY.TU...OTU.KKO.. T99 U99 O99 K98 
4 4 0	.C....BC.P..BAAPTUYYY.TU...OTUKK.O.. T99 U99 O99 K97 
4 4 0	.C....BC.P..BAAPTUYYY.TU...OTU...OKK T99 U99 O99 K99 
4 4 0	.C....BC.P..BAAPT.YYY.TU...OTU.KKO.U T99 U98 O99 K98 
4 4 0	.C....BC.P..BAAPT.YYY.TU...OTUKK.O.U T99 U98 O99 K97 
4 4 0	.C...UBC.P.UBAAPTUYYY.T....OT..KKO.. T99 U99 O99 K98 
4 4 0	.C...UBC.P.UBAAPTUYYY.T....OT.KK.O.. T99 U99 O99 K97 
4 4 0	.C...UBC.P.UBAAPTUYYY.T....OT....OKK T99 U99 O99 K99 
4 4 0	.C....BC...UBAAPTUYYYPTU...OT..KKO.. P99 T99 O99 K98 
4 4 0	.C....BC.P.UBAAPTU.YYYTU...OT..KKO.. T99 Y99 O99 K98 
4 4 0	.C....BC...UBAAPTUYYYPTU...OT.KK.O.. P99 T99 O99 K97 
4 4 0	.C....BC.P.UBAAPTU.YYYTU...OT.KK.O.. T99 Y99 O99 K97 
4 4 0	.C....BC...UBAAPTUYYYPTU...OT....OKK P99 T99 O99 K99 
4 4 0	.C....BC.P.UBAAPTU.YYYTU...OT....OKK T99 Y99 O99 K99 
4 4 0	.C..T.BC.PT.BAAPTUYYY..U...O.U.KKO.. T99 U99 O99 K98 
4 4 0	.C..T.BC.PT.BAAPTUYYY..U...O.UKK.O.. T99 U99 O99 K97 
4 4 0	.C..T.BC.PT.BAAPTUYYY..U...O.U...OKK T99 U99 O99 K99 
4 4 0	.C..T.BC.PT.BAAPT.YYY..U...O.U.KKO.U T99 U98 O99 K98 
4 4 0	.C..T.BC.PT.BAAPT.YYY..U...O.UKK.O.U T99 U98 O99 K97 
4 4 0	.C..TUBC.PTUBAAPTUYYY......O...KKO.. T99 U99 O99 K98 
4 4 0	.C..TUBC.PTUBAAPTUYYY......O..KK.O.. T99 U99 O99 K97 
4 4 0	.C..TUBC.PTUBAAPTUYYY......O.....OKK T99 U99 O99 K99 
4 4 0	.C..T.BC..TUBAAPTUYYYP.U...O...KKO.. P99 T99 O99 K98 
4 4 0	.C..T.BC.PTUBAAPTU.YYY.U...O...KKO.. T99 Y99 O99 K98 
4 4 0	.C..T.BC.PTUBAAPTU..YYYU...O...KKO.. T99 Y98 O99 K98 
4 4 0	.C..T.BC..TUBAAPTUYYYP.U...O..KK.O.. P99 T99 O99 K97 
4 4 0	.C..T.BC.PTUBAAPTU.YYY.U...O..KK.O.. T99 Y99 O99 K97 
4 4 0	.C..T.BC.PTUBAAPTU..YYYU...O..KK.O.. T99 Y98 O99 K97 
4 4 0	.C..T.BC..TUBAAPTUYYYP.U...O.....OKK P99 T99 O99 K99 
4 4 0	.C..T.BC.PTUBAAPTU.YYY.U...O.....OKK T99 Y99 O99 K99 
4 4 0	.C..T.BC.PTUBAAPTU..YYYU...O.....OKK T99 Y98 O99 K99 
4 4 0	.C....BC.P..BAAP.UYYY.TU...OTU.KKOT. T98 U99 O99 K98 
4 4 0	.C....BC..T.BAAPTUYYYPTU...O.U.KKO.. P99 U99 O99 K98 
4 4 0	.C....BC.PT.BAAPTU.YYYTU...O.U.KKO.. U99 Y99 O99 K98 
4 4 0	.C....BC.P..BAAP.UYYY.TU...OTUKK.OT. T98 U99 O99 K97 
4 4 0	.C....BC..T.BAAPTUYYYPTU...O.UKK.O.. P99 U99 O99 K97 
4 4 0	.C....BC.PT.BAAPTU.YYYTU...O.UKK.O.. U99 Y99 O99 K97 
4 4 0	.C....BC..T.BAAPTUYYYPTU...O.U...OKK P99 U99 O99 K99 
4 4 0	.C....BC.PT.BAAPTU.YYYTU...O.U...OKK U99 Y99 O99 K99 
4 4 0	.C....BC.P..BAAP..YYY.TU...OTU.KKOTU T98 U98 O99 K98 
4 4 0	.C....BC..T.BAAPT.YYYPTU...O.U.KKO.U P99 U98 O99 K98 
4 4 0	.C....BC.PT.BAAPT..YYYTU...O.U.KKO.U U98 Y99 O99 K98 
4 4 0	.C....BC.P..BAAP..YYY.TU...OTUKK.OTU T98 U98 O99 K97 
4 4 0	.C....BC..T.BAAPT.YYYPTU...O.UKK.O.U P99 U98 O99 K97 
4 4 0	.C....BC.PT.BAAPT..YYYTU...O.UKK.O.U U98 Y99 O99 K97 
4 4 0	.C...UBC.P.UBAAP.UYYY.T....OT..KKOT. T98 U99 O99 K98 
4 4 0	.C...UBC..TUBAAPTUYYYPT....O...KKO.. P99 U99 O99 K98 
4 4 0	.C...UBC.PTUBAAPTU.YYYT....O...KKO.. U99 Y99 O99 K98 
4 4 0	.C...UBC.P.UBAAP.UYYY.T....OT.KK.OT. T98 U99 O99 K97 
4 4 0	.C...UBC..TUBAAPTUYYYPT....O..KK.O.. P99 U99 O99 K97 
4 4 0	.C...UBC.PTUBAAPTU.YYYT....O..KK.O.. U99 Y99 O99 K97 
4 4 0	.C...UBC..TUBAAPTUYYYPT....O.....OKK P99 U99 O99 K99 
4 4 0	.C...UBC.PTUBAAPTU.YYYT....O.....OKK U99 Y99 O99 K99 
4 4 0	.C....BC...UBAAP.UYYYPTU...OT..KKOT. P99 T98 O99 K98 
4 4 0	.C....BC.P.UBAAP.U.YYYTU...OT..KKOT. T98 Y99 O99 K98 
4 4 0	.C.....C.PTUBAAPTUBYYYTU...O...KKO.. B99 Y99 O99 K98 
4 4 0	.C.....C.PTU.AAPTUBYYYTUB..O...KKO.. B98 Y99 O99 K98 
4 4 0	.C.....C.PTU.AAPTU.YYYTUB..O..BKKO.. B97 Y99 O99 K98 
4 4 0	.C....BC...UBAAP.UYYYPTU...OT.KK.OT. P99 T98 O99 K97 
4 4 0	.C....BC.P.UBAAP.U.YYYTU...OT.KK.OT. T98 Y99 O99 K97 
4 4 0	.C.....C.PTUBAAPTUBYYYTU...O..KK.O.. B99 Y99 O99 K97 
4 4 0	.C.....C.PTU.AAPTUBYYYTUB..O..KK.O.. B98 Y99 O99 K97 
4 4 0	.C.....C.PTUBAAPTUBYYYTU...O.....OKK B99 Y99 O99 K99 
4 4 0	.C.....C.PTU.AAPTUBYYYTUB..O.....OKK B98 Y99 O99 K99 
4 4 0	.C.....C.PTU.AAPTU.YYYTUB..O..B..OKK B97 Y99 O99 K99 
5 5 0	BC.P..BC.P..AA..TUYYYOTU...OTU...KK. B99 P99 T99 U99 A99 
5 5 0	BC.P..BC.P....AATUYYYOTU...OTU...KK. B99 P99 T99 U99 A99 
5 5 0	BC.P..BC.P...AAOTUYYYOTU....TU...KK. B99 P99 T99 U99 O99 
5 5 0	BC.P..BC.P...AA.TUYYYOTU...OTU..KK.. B99 P99 T99 U99 K99 
5 5 0	BC.P..BC.P...AA.TUYYYOTU...OTU.KK... B99 P99 T99 U99 K98 
5 5 0	BC.P..BC.P...AA.TUYYYOTU...OTUKK.... B99 P99 T99 U99 K97 
5 5 0	BC.P..BC.P...AA.TUYYYOTU...OTU....KK B99 P99 T99 U99 K99 
5 5 0	BC.P..BC.P..AA..T.YYYOTU...OTU...KKU B99 P99 T99 U98 A99 
5 5 0	BC.P..BC.P....AAT.YYYOTU...OTU...KKU B99 P99 T99 U98 A99 
5 5 0	BC.P..BC.P...AAOT.YYYOTU....TU...KKU B99 P99 T99 U98 O99 
5 5 0	BC.P..BC.P...AA.T.YYYOTU...OTU..KK.U B99 P99 T99 U98 K99 
5 5 0	BC.P..BC.P...AA.T.YYYOTU...OTU.KK..U B99 P99 T99 U98 K98 
5 5 0	BC.P..BC.P...AA.T.YYYOTU...OTUKK...U B99 P99 T99 U98 K97 
5 5 0	BC.P.UBC.P.UAA..TUYYYOT....OT....KK. B99 P99 T99 U99 A99 
5 5 0	BC.P.UBC.P.U..AATUYYYOT....OT....KK. B99 P99 T99 U99 A99 
5 5 0	BC.P.UBC.P.U.AAOTUYYYOT.....T....KK. B99 P99 T99 U99 O99 
5 5 0	BC.P.UBC.P.U.AA.TUYYYOT....OT...KK.. B99 P99 T99 U99 K99 
5 5 0	BC.P.UBC.P.U.AA.TUYYYOT....OT..KK... B99 P99 T99 U99 K98 
5 5 0	BC.P.UBC.P.U.AA.TUYYYOT....OT.KK.... B99 P99 T99 U99 K97 
5 5 0	BC.P.UBC.P.U.AA.TUYYYOT....OT.....KK B99 P99 T99 U99 K99 
5 5 0	BC.P..BC.P.UAA.OTUYYYOTU....T....KK. B99 P99 T99 A99 O99 
5 5 0	BC.P..BC.P.UAA..TUYYYOTU...OT...KK.. B99 P99 T99 A99 K99 
5 5 0	BC.P..BC.P.UAA..TUYYYOTU...OT..KK... B99 P99 T99 A99 K98 
5 5 0	BC.P..BC.P.UAA..TUYYYOTU...OT.KK.... B99 P99 T99 A99 K97 
5 5 0	BC.P..BC.P.UAA..TUYYYOTU...OT.....KK B99 P99 T99 A99 K99 
5 5 0	B..P..BC.P.U.CAATUYYYOTU...OT....KK. C99 B99 P99 T99 A99 
5 5 0	BC.P..BC.P.U..AATUYYYOTU...OT...KK.. B99 P99 T99 A99 K99 
5 5 0	BC.P..BC.P.U..AATUYYYOTU...OT..KK... B99 P99 T99 A99 K98 
5 5 0	BC.P..BC.P.U..AATUYYYOTU...OT.KK.... B99 P99 T99 A99 K97 
5 5 0	BC.P..BC.P.U..AATUYYYOTU...OT.....KK B99 P99 T99 A99 K99 
5 5 0	BC.P..BC.P.U.AAOTUYYYOTU....T...KK.. B99 P99 T99 O99 K99 
5 5 0	BC.P..BC.P.U.AAOTUYYYOTU....T..KK... B99 P99 T99 O99 K98 
5 5 0	BC.P..BC.P.U.AAOTUYYYOTU....T.KK.... B99 P99 T99 O99 K97 
5 5 0	BC.P..BC.P.U.AAOTUYYYOTU....T.....KK B99 P99 T99 O99 K99 
5 5 0	BC.P..BC.P.U.AA.TUYYY.TU...OT..KKO.. B99 P99 T99 O99 K98 
5 5 0	BC.P..BC.P.U.AA.TUYYY.TU...OT.KK.O.. B99 P99 T99 O99 K97 
5 5 0	BC.P..BC.P.U.AA.TUYYY.TU...OT....OKK B99 P99 T99 O99 K99 
5 5 0	BC.PT.BC.PT.AA..TUYYYO.U...O.U...KK. B99 P99 T99 U99 A99 
5 5 0	BC.PT.BC.PT...AATUYYYO.U...O.U...KK. B99 P99 T99 U99 A99 
5 5 0	BC.PT.BC.PT..AAOTUYYYO.U.....U...KK. B99 P99 T99 U99 O99 
5 5 0	BC.PT.BC.PT..AA.TUYYYO.U...O.U..KK.. B99 P99 T99 U99 K99 
