3 0 3	.CCBBBHH.FL..AAFLY...FLYG.DUU.G.DEE. C99 
8 5 3	CCBBB..HHFL.GAAFLYG.DFLY..DUU....EE. C99 B99 H99 G98 D99 
8 6 2	CC.BBBHH..L...AALY..DFLYG.DFUUG..FEE C99 A99 F98 D99 U99 E99 
8 6 2	CC.BBB..HHL.GAA.LYG..FLY..DFUU..DFEE C99 H98 F98 G98 U99 E99 
8 7 1	CCDBBBHHD.L.AA..L....FLYGUUF.YG..FEE C99 F98 A99 Y99 D96 U98 E99 
8 4 4	CCBBB.HHDFL.AADFLY...FLYG..UU.G..EE. C99 B99 A99 D97 
8 5 3	.CCBBBHH.FLY.AAFLYG.DFL.G.DUU.....EE Y97 G99 D99 E99 
8 6 2	CC.BBB..HHL..AA.LYG..FLYG.DFUU..DFEE C99 H98 F98 G99 U99 E99 
8 6 2	CC.BBB..HHLY.AA.LY...FL.G.DFUUG.DFEE C99 H98 Y99 F98 U99 E99 
8 5 3	.CCBBBGHHFL.GAAFLY..DFLY..D.UU....EE H99 G97 D99 U99 E99 
8 4 4	.CCBBBHH.FL.AADFLY..DFLYG...UUG...EE A99 D98 U99 E99 
8 6 2	CC.BBB..HHL...AALY...FLYG.DFUUG.DFEE C99 H98 A99 F98 U99 E99 
8 6 2	CC.BBB..HHL.AA..LY...FLYG.DFUUG.DFEE C99 H98 A99 F98 U99 E99 
8 6 2	.CCBBBHH..L...AALYG.DFLYG.DFUU...FEE F98 A99 G99 D99 U99 E99 
8 6 2	.CCBBBHH..L.AA..LYG.DFLYG.DFUU...FEE F98 A99 G99 D99 U99 E99 
8 6 2	.CCBBB..HHL..AA.LYG.DFLYG.DFUU...FEE H98 F98 G99 D99 U99 E99 
8 5 3	CCBBB..HHFL..AAFLYG..FLYG.D.UU..DEE. C99 B99 H99 G99 U99 
8 6 2	.CCBBB.HH.L..AA.LYG.DFLYG.DFUU...FEE H99 F98 G99 D99 U99 E99 
8 5 3	CCBBB.HH.FLYGAAFLYG..FL...DUU...DEE. C99 B99 G98 Y95 
8 6 2	CC.BBBHH..L..AA.LYG.DFLYG.DFUU...FEE C99 G99 D99 F98 U99 E99 
8 5 3	CC.BBBHH.FLY.AAFLY..DFL.G.D.UUG...EE C99 Y99 D99 U99 E99 
8 6 2	CC.BBBGHHFL.GAAFL...DFL...DUUY.EE..Y C99 G97 H99 D99 Y98 E98 
8 5 3	.CCBBBHH..LY.AAFLY...FL.G.DFUUG.D.EE F97 Y99 U99 E99 
8 6 2	.CCBBBG.HHLYGAA.LY...FL...DFUU..DFEE H98 F98 Y99 G97 U99 E99 
8 6 2	.CCBBBG.HHL.G.AALY...FLY..DFUU..DFEE H98 F98 A99 G97 U99 E99 
8 6 2	CC.BBBG.HHL.GAA.LY...FLY..DFUU..DFEE C99 G97 H98 F98 U99 E99 
8 5 3	.CCBBB.HHFLYAA.FLY..DFL.G.DUU.G...EE H99 A99 Y99 D99 E99 
8 6 2	.CCBBBHH..LY..AALY..DFL.G.DFUUG..FEE F98 A99 Y99 D99 U99 E99 
8 5 3	CCDBBBHHDFL.AA.FLY...FLYG...UUG...EE C99 A99 D96 U99 E99 
8 6 2	.CCBBBHH..LYAA..LY..DFL.G.DFUUG..FEE F98 A99 Y99 D99 U99 E99 
8 6 2	.CCBBB..HHLY.AA.LY..DFL.G.DFUUG..FEE H98 F98 Y99 D99 U99 E99 
8 6 2	CC.BBBHH..LY.AA.LYG..FL.G.DFUU..DFEE C99 Y99 F98 G99 U99 E99 
8 6 2	.CCBBB.HH.LY.AA.LY..DFL.G.DFUUG..FEE H99 F98 Y99 D99 U99 E99 
8 4 4	.CCBBBHH.FL.AADFLY..DFLYGUU...G...EE A99 D98 U98 E99 
8 6 2	.CCBBBHH..LYG.AALYG..FL...DFUU..DFEE F98 A99 Y99 G98 U99 E99 
8 6 2	CC.BBBHH..LY.AA.LY..DFL.G.DFUUG..FEE C99 Y99 D99 F98 U99 E99 
8 5 3	CCBBB.HH.FL..AAFLYG.DFLYG.DUU..EE... C99 B99 G99 D99 E98 
8 4 4	.CCBBBHH.FL.AADFLYG.DFLYGUU......EE. A99 G99 D98 U98 
8 5 3	CCBBB..HHFL..AAFLY..DFLYG.DUU.GEE... C99 B99 H99 D99 E98 
8 6 2	CC.BBB.HH.L.GAA.LYG..FLY..DFUU..DFEE C99 H99 F98 G98 U99 E99 
8 5 3	.CCBBBHH.FLYAA.FLY..DFL.G.D.UUGEE... A99 Y99 D99 U99 E98 
8 6 2	CC.BBB.HH.L..AA.LYG..FLYG.DFUU..DFEE C99 H99 F98 G99 U99 E99 
8 6 2	CC.BBB.HH.LY.AA.LY...FL.G.DFUUG.DFEE C99 H99 Y99 F98 U99 E99 
8 5 3	GCCBBBGHHFL..AAFLY..DFLY..D.UU....EE H99 G96 D99 U99 E99 
8 6 2	CC.BBB.HH.L...AALY...FLYG.DFUUG.DFEE C99 H99 A99 F98 U99 E99 
8 5 3	.CCBBBHH..L.AAD.LY..DFLYGUUF..G..FEE F98 A99 D98 U98 E99 
8 6 2	CC.BBB.HH.L.AA..LY...FLYG.DFUUG.DFEE C99 H99 A99 F98 U99 E99 
8 5 3	CC.BBBHH.FLYAA.FLY..DFL.G.DUU.G...EE C99 Y99 A99 D99 E99 
8 6 2	GCCBBBG.HHLY.AA.LY...FL...DFUU..DFEE H98 F98 Y99 G96 U99 E99 
8 6 2	.CCBBB.HH.LYGAA.LYG..FL...DFUU..DFEE H99 F98 Y99 G98 U99 E99 
8 6 2	GCCBBBG.HHL...AALY...FLY..DFUU..DFEE H98 F98 A99 G96 U99 E99 
8 5 3	.CCBBBHH.FLY.AAFLYG.DFL.G.DUU.EE.... Y95 G99 D99 E97 
8 5 3	.CCBBBHH.FLYGAAFLYG.DFL...DUU..EE... Y95 G98 D99 E98 
8 6 2	GCCBBBG.HHL.AA..LY...FLY..DFUU..DFEE H98 F98 A99 G96 U99 E99 
8 5 3	GCCBBBGHHFL.AADFL...DFLY...UUY...EE. H99 A99 Y99 G96 D98 
8 6 2	.CCBBBGHH.LYGAA.LY...FL...DFUU..DFEE H99 F98 Y99 G97 U99 E99 
8 6 2	.CCBBBGHH.L.G.AALY...FLY..DFUU..DFEE H99 F98 A99 G97 U99 E99 
8 5 3	CC.BBB.HHFLY.AAFLYG..FL.G.D.UU..DEE. C99 H99 Y99 G99 U99 
8 6 2	CC.BBBGHH.L.GAA.LY...FLY..DFUU..DFEE C99 G97 H99 F98 U99 E99 
8 6 2	.CCBBB.HH.LY.AA.LYG..FL.G.DFUU..DFEE H99 F98 Y99 G99 U99 E99 
8 5 3	.CCBBBHH..L.GAAFLYG..FLY..DFUU..D.EE F97 G98 U99 E99 
8 6 2	CC.BBB.HHFL.AA.FL.G.DFL.G.DUUY...EEY C99 H99 A99 G99 D99 Y98 
8 6 2	GCCBBBGHH.LY.AA.LY...FL...DFUU..DFEE H99 F98 Y99 G96 U99 E99 
8 6 2	GCCBBBGHH.L...AALY...FLY..DFUU..DFEE H99 F98 A99 G96 U99 E99 
8 6 2	CC.BBBHH.FL.GAAFL.G..FLY..DUUYEED... C99 Y99 G98 D98 E97 
8 6 2	GCCBBBGHH.L.AA..LY...FLY..DFUU..DFEE H99 F98 A99 G96 U99 E99 
8 5 3	CCBBB.GHHFL.GAAFLY...FLY..D.UU..DEE. C99 B99 H99 G97 U99 
8 6 2	CCBBB.HH.FL.AA.FL.G..FLYG.DUUY..D.EE C99 B99 A99 Y99 G99 E99 
8 5 3	CCBBB.GHHFL.GAAFLY..DFLY..DUU....EE. C99 B99 H99 G97 D99 
8 5 3	CCBBB.HH.FL.AA.FLY..DFLYG.DUU.G...EE C99 B99 A99 D99 E99 
8 6 2	CCBBB..HHFL.AA.FL....FLYG.DUUYG.D.EE C99 B99 H99 A99 Y99 E99 
8 5 3	CCBBB.HH.FLYGAAFLYG..FL...D.UU..DEE. C99 B99 Y99 G98 U99 
8 5 3	CCBBB.GHHFLYGAAFLY...FL...DUU...DEE. C99 B99 H99 Y99 G97 
8 5 3	CCBBB.HH.FLY.AAFLYG..FL.G.D.UU..DEE. C99 B99 Y99 G99 U99 
8 5 3	CCBBB.HH.FLYAA.FLY...FL.G.D.UUG.DEE. C99 B99 A99 Y99 U99 
8 6 2	CCBBB..HHFL.AA.FL.G..FLYG.DUUY..DEE. C99 B99 H99 A99 G99 Y99 
8 6 2	CC.BBBHH.FL.AA.FL.G.DFL.G.DUUY.EE..Y C99 A99 D99 G99 Y98 E98 
8 4 4	.CCBBBHHDFL.AADFLY...FLYG.UU..G...EE A99 D97 U99 E99 
8 5 3	CCBBB.HH..LY.AAFLY...FL.G.DFUUG.DEE. C99 B99 F99 Y99 U99 
8 5 3	CC.BBB.HHFL.AADFL...DFL.G..UUYG..EEY C99 H99 A99 D98 Y98 
8 5 3	CCBBB..HHFLY.AAFLY...FL.G.D.UUG.DEE. C99 B99 H99 Y99 U99 
8 5 3	CC.BBB.HHFLY.AAFLY...FL.G.D.UUG.D.EE C99 H99 Y99 U99 E99 
8 6 2	CC.BBB.HHFL.AA.FL.G..FLYG.DUUY..D.EE C99 H99 A99 G99 Y99 E99 
8 5 3	CCBBB.HH.FL.AA.FLY..DFLYG.DUU.G.EE.. C99 B99 A99 D99 E99 
8 6 2	CCBBB..HHFL.AA.FL.G..FL.G.DUUY..DEEY C99 B99 H99 A99 G99 Y98 
8 4 4	.CCBBBHHDFL.AADFLY...FLYGUU...G...EE A99 D97 U98 E99 
8 6 2	CCBBB.HH..L.GAA.LYG..FLY..DFUU..DFEE C99 B99 F98 G98 U99 E99 
8 5 3	CCBBB.HH.FL.AA.FLY..DFLYG.D.UUG..EE. C99 B99 A99 D99 U99 
8 6 2	CCBBB.HH..L..AA.LYG..FLYG.DFUU..DFEE C99 B99 F98 G99 U99 E99 
8 5 3	CCBBB.HH.FL.AA.FLYG.DFLYG.DUU....EE. C99 B99 A99 G99 D99 
8 6 2	CCBBBYHH..LY.AAFL....FL.G.DFUUG.D.EE C99 B99 F99 Y98 U99 E99 
8 6 2	CCBBB.HH..LY.AA.LY...FL.G.DFUUG.DFEE C99 B99 Y99 F98 U99 E99 
8 6 2	CCBBB.HH..L...AALY...FLYG.DFUUG.DFEE C99 B99 A99 F98 U99 E99 
8 6 2	CCBBB.HH..L.AA..LY...FLYG.DFUUG.DFEE C99 B99 A99 F98 U99 E99 
8 6 2	CCBBB..HHFL.GAAFL.G..FLY..DUUY..D.EE C99 B99 H99 Y99 G98 E99 
8 6 2	CCBBB...HHL..AA.LY...FLYG.DFUUG.DFEE C99 B99 H98 F98 U99 E99 
8 6 2	CCBBB..HH.L..AA.LY...FLYG.DFUUG.DFEE C99 B99 H99 F98 U99 E99 
8 6 2	CCDBBBHHDFL.AA.FL.G..FL.G..UUY.EE..Y C99 A99 G99 D96 Y98 E98 
8 6 2	CCDBBBHHDFL.AA.FL.G..FL.G..UUY..EE.Y C99 A99 G99 D96 Y98 E99 
8 4 4	.CCBBBHH.FLYAADFLYG.DFL.G..UU....EE. A99 Y99 G99 D98 
8 5 3	CCBBB.HH..L..AAFLY..DFLYG.DFUUG..EE. C99 B99 F99 D99 U99 
8 4 4	.CCBBBHHDFL.AADFLYG..FLYGUU......EE. A99 G99 D97 U98 
8 6 2	CCDBBBHHDFL.AA.FL.G..FL.GUU..Y...EEY C99 A99 G99 D96 U98 Y98 
8 7 1	CCBBBYHH..LY.AA.L...DFL.G.DFUUG..FEE C99 B99 Y98 F98 D99 U99 E99 
8 5 3	.CCBBB.HHFL.AADFL.G.DFL.G..UUY...EEY H99 A99 Y98 G99 D98 
8 6 2	CCDBBBHHDFL.AA.FL.G..FL.G.UU.Y...EEY C99 A99 G99 D96 U99 Y98 
8 6 2	CCDBBBHHDFL..AAFL.G..FL.G..UUY...EEY C99 A98 G99 D96 Y98 
8 4 4	.CCBBBHH.FL.AADFLY..DFLYG.UU..GEE... A99 D98 U99 E98 
8 4 4	.CCBBB.HHFLYAADFLY..DFL.G..UU.G..EE. H99 A99 Y99 D98 
8 5 3	.CCBBBHH.F..AADF.Y..DFLYGUU.L.GEE.L. L98 A99 D98 U98 E98 
8 5 3	.CCBBBHH..L.AAD.LY..DFLYGUUF..GEEF.. F98 A99 D98 U98 E98 
8 5 3	.CCBBBHH.F..AADF.Y..DFLYG.UUL.GEE.L. L98 A99 D98 U99 E98 
8 4 4	.CCBBBHH.FL.AADFLYG.DFLYG.UU.....EE. A99 G99 D98 U99 
8 6 2	.CCBBBHH....AAD..Y..DFLYGUUFL.GEEFL. F98 L98 A99 D98 U98 E98 
8 6 2	.CCBBBHH.F..AADF....DFLYGUU.LYGEE.L. L98 A99 Y99 D98 U98 E98 
8 6 2	.CCBBBHH.F..AADF....DFL.GUU.LYGEE.LY L98 A99 Y98 D98 U98 E98 
8 6 2	.CCBBBHH..L.AAD.L...DFLYGUUF.YGEEF.. F98 A99 Y99 D98 U98 E98 
8 6 2	.CCBBBHH.F..AADF....DFLYG.UULYGEE.L. L98 A99 Y99 D98 U99 E98 
8 6 2	.CCBBBHH..L.AAD.L...DFL.GUUF.YGEEF.Y F98 A99 Y98 D98 U98 E98 
8 7 1	.CCBBBHH....AAD.....DFLYGUUFLYGEEFL. F98 L98 A99 Y99 D98 U98 E98 
8 7 1	.CCBBBHH....AAD.....DFL.GUUFLYGEEFLY F98 L98 A99 Y98 D98 U98 E98 
8 4 4	.CCBBBHH.FLYAADFLY..DFL.G.UU..G..EE. A99 Y99 D98 U99 
8 4 4	.CCBBBHH.F..AADFLY..DFLYG.UUL.G..EE. L99 A99 D98 U99 
8 6 2	CC.BBB.HHFL.GAAFL.G.DFL...DUUY.EE..Y C99 H99 G98 D99 Y98 E98 
8 4 4	.CCBBBHHDFL.AADFLYG..FLYG..UU...EE.. A99 G99 D97 E99 
8 4 4	.CCBBB.HHFL.AADFLY..DFLYG.UU..G..EE. H99 A99 D98 U99 
8 5 3	CCBBB.HH..L.GAAFLYG..FLY..DFUU..DEE. C99 B99 F99 G98 U99 
8 4 4	CC.BBBHH.FL.AADFLY..DFLYG.UU..G..EE. C99 A99 D98 U99 
8 5 3	CCBBB..HHFL.AA.FLY..DFLYG.DUU.G..EE. C99 B99 H99 A99 D99 
8 5 3	CC.BBB.HHFL..AAFLYG.DFLYG.DUU..EE... C99 H99 G99 D99 E98 
8 4 4	.CCBBBHHDFL.AADFLYG..FLYG..UU.EE.... A99 G99 D97 E97 
8 5 3	CCBBB..HHFL.AA.FLYG..FLYG.DUU...DEE. C99 B99 H99 A99 G99 
8 5 3	CCBBB..HHFL..AAFLY..DFLYG.D.UUG..EE. C99 B99 H99 D99 U99 
8 5 3	CCBBB..HHFLYAA.FLY...FL.G.DUU.G.DEE. C99 B99 H99 A99 Y99 
8 5 3	.CCBBBGHHFLYGAAFLY...FL...DUU...D.EE H99 Y97 G97 E99 
8 5 3	.CCBBBHH.FL.AADFL...DFL.G..UUYGEE..Y A99 Y98 D98 E98 
8 5 3	CC.BBBHH.FLYAA.FLY..DFL.G.DUU.GEE... C99 A99 Y99 D99 E98 
8 6 2	CCBBB.HH.FL.GAAFL.G.DFL...DUUY..EE.Y C99 B99 G98 D99 Y98 E99 
8 5 3	CCBBB.HH.FL.AA.FLY..DFLYG.DUU.GEE... C99 B99 A99 D99 E98 
8 5 3	CCBBB.HHDFL.AADFL....FL.G..UUYG..EEY C99 B99 A99 D97 Y98 
8 4 4	.CCBBBHH.FL.AADFLY..DFLYG.UU..G.EE.. A99 D98 U99 E99 
8 4 4	.CCBBBHH.FL.AADFLYG.DFLYG..UU...EE.. A99 G99 D98 E99 
8 5 3	CCBBB.HH.FL.AADFL...DFL.G..UUYG..EEY C99 B99 A99 D98 Y98 
8 4 4	.CCBBB.HHFL.AADFLY..DFLYG..UU.G.EE.. H99 A99 D98 E99 
8 4 4	.CCBBBHHDFL.AADFLYG..FLYG.UU.....EE. A99 G99 D97 U99 
8 4 4	CC.BBBHH.FL.AADFLY..DFLYG..UU.G.EE.. C99 A99 D98 E99 
8 5 3	.CCBBBHHDFL.AADFL....FL.G..UUYGEE..Y A99 Y98 D97 E98 
8 5 3	.CCBBBHH.FL.AADFL...DFLYG.UU.YG...EE A99 Y99 D98 U99 E99 
8 5 3	.CCBBBHH.FLYAA.FLYG.DFL.G.DUU..EE... A99 Y99 G99 D99 E98 
8 4 4	.CCBBBHHDFLYAADFLYG..FL.G..UU....EE. A99 Y99 G99 D97 
8 5 3	CCBBB.HH..L..AAFLYG..FLYG.DFUU..DEE. C99 B99 F99 G99 U99 
8 5 3	.CCBBB.HHFLY.AAFLYG.DFL.G.D.UU...EE. H99 Y99 G99 D99 U99 
8 5 3	CC.BBBHH.FL.AA.FLYG.DFLYG.DUU..EE... C99 A99 G99 D99 E98 
8 5 3	.CCBBBHH.F..AADF.Y..DFLYGUU.L.G.EEL. L98 A99 D98 U98 E99 
8 5 3	CC.BBBHHDFL.AADFL.G..FL.G..UUY...EEY C99 A99 G99 D97 Y98 
8 6 2	CC.BBB.HHFL.GAAFL.G.DFLY..DUUYEE.... C99 H99 G98 D99 Y99 E97 
8 5 3	CC.BBBHH.FL.AADFL.G.DFL.G..UUY...EEY C99 A99 G99 D98 Y98 
8 6 2	CC.BBB.HHFL.GAAFL.G.DFLY..DUUY.EE... C99 H99 D99 Y99 G98 E98 
8 5 3	CCBBB.HH.FL.GAAFLYG.DFLY..DUU.....EE C99 B99 G98 D99 E99 
8 6 2	.CCBBBHH..L.AAD.L...DFLYGUUF.YG..FEE F98 A99 Y99 D98 U98 E99 
8 5 3	.CCBBBHH.FLYAA.FLY..DFL.G.DUU.G.EE.. A99 Y95 D99 E99 
8 5 3	CC.BBBHH.FL.AADFL...DFL.GUU..YG..EEY C99 A99 D98 U98 Y98 
8 5 3	CC.BBBHH.FL.AADFL...DFL.G.UU.YG..EEY C99 A99 D98 U99 Y98 
8 5 3	CCBBBYHHDFLYAADFL....FL.G..UU.G..EE. C99 B99 A99 Y98 D97 
8 5 3	GCCBBBGHHFLY.AAFLY..DFL...DUU...EE.. H99 Y99 G96 D99 E99 
8 5 3	CC.BBBHH.FLYGAAFLYG.DFL...D.UU...EE. C99 G98 Y99 D99 U99 
8 5 3	.CCBBB.HHFL.GAAFLYG..FLY..DUU.EED... H99 G98 D98 E97 
8 5 3	CCDBBBHHDFL.AA.FLYG..FLYG..UU.EE.... C99 A99 G99 D96 E97 
8 6 2	CCBBBY..HHLY.AAFL....FL.G.DFUUG.DEE. C99 B99 H98 F99 Y98 U99 
8 5 3	GCCBBBGHHFL.AA.FLY..DFLY..DUU...EE.. H99 A99 G96 D99 E99 
8 5 3	.CCBBBHH.FLYAA.FLYG..FL.G.D.UU..D.EE A99 Y99 G99 U99 E99 
8 6 2	GCCBBBGHHFL.AA.FL...DFL...DUUY.EE..Y H99 A99 Y98 G96 D99 E98 
8 5 3	.CCBBBHH..LY.AAFLYG..FL.G.DFUU..D.EE F99 Y99 G99 U99 E99 
8 5 3	CC.BBBHHDFL.AADFL....FL.GUU..YG..EEY C99 A99 D97 U98 Y98 
8 5 3	CCBBB.HH.FL.AA.FLYG..FLYG.D.UU..DEE. C99 B99 A99 G99 U99 
8 5 3	CC.BBBHHDFL.AADFL....FL.G.UU.YG..EEY C99 A99 D97 U99 Y98 
8 5 3	.CCBBBHHDFL.AADFL....FLYGUU..YG...EE A99 Y99 D97 U98 E99 
8 5 3	CCDBBBHHDFL.AA.FLY...FLYG.UU..G...EE C99 A99 D96 U99 E99 
8 6 2	CCBBB.HH.FL.GAAFL.G.DFLY..DUUYEE.... C99 B99 Y99 G98 D99 E97 
8 6 2	CCBBB.HH.FL.GAAFL.G.DFLY..DUUY.EE... C99 B99 Y99 G98 D99 E98 
8 5 3	.CCBBBHH..LY.AAFLY..DFL.G.DFUUG.EE.. F99 Y99 D99 U99 E99 
8 5 3	.CCBBBHH.FL.AADFL.G.DFLYG..UUY..EE.. A99 Y99 G99 D98 E99 
8 5 3	.CCBBBG.HHL.GAAFLY..DFLY..DFUU...EE. H98 F99 G97 D99 U99 
8 5 3	CC.BBBHH.FLY.AAFLY..DFL.G.DUU.GEE... C99 D99 Y97 E98 
8 5 3	.CCBBB.HHFL.AADFL...DFLYG..UUYG.EE.. H99 A99 Y99 D98 E99 
8 6 2	CC.BBB.HHFL..AAFL.G.DFL.G.DUUYEE...Y C99 H99 G99 D99 Y98 E97 
8 6 2	GCCBBBGHHFL.AA.FL...DFLY..DUUY.EE... H99 A99 Y99 G96 D99 E98 
8 4 4	.CCBBBHH.FL.AADFLYG.DFLYG..UU.EE.... A99 G99 D98 E97 
8 5 3	.CCBBBHHDFL.AADFL.G..FLYG..UUY..EE.. A99 Y99 G99 D97 E99 
8 5 3	.CCBBBGHHFLYGAAFLY..DFL...DUU...EE.. H99 Y99 G97 D99 E99 
8 5 3	CC.BBB.HHFL..AAFLYG.DFLYG.DUU...EE.. C99 H99 G99 D99 E99 
8 6 2	.CCBBB.HHFL..AAFL.G..FL.G.DUUYEED..Y H99 Y98 G99 D98 E97 
8 6 2	CC.BBBHH.FL..AAFL.G..FL.G.DUUYEED..Y C99 G99 D98 Y98 E97 
8 6 2	.CCBBBHH.FL.AA.FL.G..FL.G.DUUYEED..Y A99 Y98 G99 D98 E97 
8 5 3	.CCBBBHHDFL.AADFL.G..FLYG..UUY.EE... A99 Y99 G99 D97 E98 
8 6 2	.CCBBB.HHFL.AA.FL.G.DFL.G.DUUYEE...Y H99 A99 Y98 G99 D99 E97 
8 5 3	.CCBBBHHDFL.AADFL.G..FLYG..UUYEE.... A99 Y99 G99 D97 E97 
8 6 2	CC.BBBHH.FL.AA.FL.G.DFL.G.DUUYEE...Y C99 A99 G99 D99 Y98 E97 
8 6 2	CCBBB.HH.FL.AA.FL...DFLYG.DUUYGEE... C99 B99 A99 Y99 D99 E98 
8 5 3	.CCBBBHH.FL.AADFL.G.DFLYG..UUYEE.... A99 Y99 G99 D98 E97 
8 5 3	.CCBBBHH.FL.AADFL.G.DFLYGUU..Y...EE. A99 Y99 G99 D98 U98 
8 5 3	CC.BBB.HHFL.GAAFLYG.DFLY..DUU...EE.. C99 H99 G98 D99 E99 
8 6 2	CCBBB..HHFL..AAFL...DFLYG.DUUYGEE... C99 B99 H99 Y99 D99 E98 
8 6 2	CCBBB.GHHFL.GAAFL...DFLY..DUUY...EE. C99 B99 H99 Y99 G97 D99 
8 5 3	.CCBBBHH.FL.AADFL.G.DFLYG..UUY.EE... A99 Y99 G99 D98 E98 
8 6 2	CCBBB..HHFL.GAAFL.G.DFLY..DUUY...EE. C99 B99 H99 Y99 G98 D99 
8 6 2	CCBBB..HHFL.AA.FL...DFLYG.DUUYG..EE. C99 B99 H99 A99 Y99 D99 
8 5 3	.CCBBBHH.FL.AADFL.G.DFLYG.UU.Y...EE. A99 Y99 G99 D98 U99 
8 5 3	.CCBBB.HHFL..AAFLYG.DFLYG.D.UU..EE.. H99 G99 D99 U99 E99 
8 6 2	.CCBBBHHDF..AADF.....FLYGUU.LYG.EEL. L98 A99 Y99 D97 U98 E99 
8 5 3	CC.BBBHH.FLYGAAFLYG.DFL...DUU...EE.. C99 Y99 D99 G98 E99 
8 5 3	CC.BBBHH.FLY.AAFLYG.DFL.G.DUU...EE.. C99 Y99 D99 G99 E99 
8 5 3	CC.BBBGHHFL.GAAFLY..DFLY..DUU...EE.. C99 G97 H99 D99 E99 
8 6 2	CC.BBBGHHFL.GAAFL...DFLY..DUUY.EE... C99 G97 H99 D99 Y99 E98 
8 7 1	CCDBBBHHDF..AA.F.....FLYG.UULYG.EEL. C99 L98 A99 Y99 D96 U99 E99 
8 5 3	.CCBBBHHDFL.AADFL.G..FLYG..UUY....EE A99 Y99 G99 D97 E99 
8 4 4	.CCBBBHHDFL.AADFLYG..FLYG..UU.....EE A99 G99 D97 E99 
8 5 3	.CCBBBHH..L.GAAFLYG.DFLY..DFUU..EE.. F99 G98 D99 U99 E99 
8 6 2	GCCBBBGHHFL.AA.FL...DFL...DUUY..EE.Y H99 A99 Y98 G96 D99 E99 
8 5 3	.CCBBBHH.FL.AADFL...DFLYGUU..YGEE... A99 Y99 D98 U98 E98 
8 5 3	.CCBBB.HHFL.GAAFLYG.DFLY..D.UU..EE.. H99 G98 D99 U99 E99 
8 6 2	.CCBBBHHDF..AADF.....FLYGUU.LYGEE.L. L98 A99 Y99 D97 U98 E98 
8 5 3	.CCBBB.HHFLY.AAFLY..DFL.G.DUU.GEE... H99 Y97 D99 E98 
8 5 3	CC.BBBHH.FL.GAAFLYG.DFLY..D.UU..EE.. C99 G98 D99 U99 E99 
8 6 2	.CCBBBHHD.L.AAD.L....FLYGUUF.YGEEF.. F98 A99 Y99 D97 U98 E98 
8 5 3	.CCBBBHH.FLYGAAFLYG.DFL...D.UUEE.... Y99 G98 D99 U99 E97 
8 4 4	.CCBBB.HHFL.AADFLY..DFLYG..UU.G...EE H99 A99 D98 E99 
8 5 3	CCBBB.HH.FL.GAAFLYG.DFLY..DUU...EE.. C99 B99 D99 G98 E99 
8 5 3	.CCBBBHH..L.GAAFLYG.DFLY..DFUUEE.... F99 G98 D99 U99 E97 
8 5 3	.CCBBB.HHFL.GAAFLYG.DFLY..D.UUEE.... H99 G98 D99 U99 E97 
8 5 3	CCBBB.HH.FL.GAAFLYG.DFLY..DUU.EE.... C99 B99 G98 D99 E97 
8 5 3	CC.BBBHH.FL.GAAFLYG.DFLY..D.UUEE.... C99 G98 D99 U99 E97 
8 6 2	CCBBB.HH.FL..AAFL.G.DFLYG.DUUYEE.... C99 B99 Y99 G99 D99 E97 
8 6 2	CCBBB.HH.FL..AAFL.G.DFLYG.DUUY.EE... C99 B99 Y99 G99 D99 E98 
8 6 2	.CCBBBHH.F..AADF....DFLYGUU.LYG.EEL. L98 A99 Y99 D98 U98 E99 
8 5 3	.CCBBBHH.FL.AA.FLYG.DFLYG.D.UU....EE A99 G99 D99 U99 E99 
8 6 2	CCBBB.HH.FL..AAFL.G.DFLYG.DUUY..EE.. C99 B99 Y99 G99 D99 E99 
8 5 3	CCBBB.HH.FLY.AAFLY..DFL.G.DUU.G..EE. C99 B99 D99 Y95 
8 6 2	CCBBB.HH.FL.AA.FL.G.DFLYG.DUUY...EE. C99 B99 A99 Y99 G99 D99 
8 5 3	CC.BBBHH..LY.AAFLY..DFL.G.DFUUG..EE. C99 F99 Y99 D99 U99 
8 6 2	CCBBB..HHFL..AAFL.G.DFLYG.DUUY...EE. C99 B99 H99 Y99 G99 D99 
8 5 3	CC.BBBHH.FLY.AAFLY..DFL.G.D.UUGEE... C99 Y99 D99 U99 E98 
8 6 2	CCDBBBHHDF..AA.F.Y...FLYG.UUL.GEE.L. C99 L98 A99 D96 U99 E98 
8 6 2	CC.BBB.HHFL..AAFL.G.DFLYG.DUUY.EE... C99 H99 D99 Y99 G99 E98 
8 7 1	CCDBBBHHDF..AA.F.....FL.G.UULYGEE.LY C99 L98 A99 Y98 D96 U99 E98 
8 5 3	.CCBBBHHDFL.AADFL....FLYG..UUYGEE... A99 Y99 D97 E98 
8 5 3	CC.BBBHH.FL.AA.FLY..DFLYG.D.UUGEE... C99 A99 D99 U99 E98 
8 5 3	.CCBBBHH.FL.AADFL...DFLYG.UU.YGEE... A99 Y99 D98 U99 E98 
8 5 3	.CCBBB.HHFLYGAAFLYG.DFL...D.UU...EE. H99 Y99 G98 D99 U99 
8 6 2	CCBBBYHH.FLY.AAFL...DFL.G.D.UUG.EE.. C99 B99 Y98 D99 U99 E99 
8 5 3	CCBBB.HH.FL..AAFLY..DFLYG.D.UUGEE... C99 B99 D99 U99 E98 
8 5 3	.CCBBBHH.FL.AADFL...DFLYG..UUYGEE... A99 Y99 D98 E98 
