9 0 9	.B....SB.CDESAACDEHHHGDE..VG....VWW. 
12 6 6	...CD.SB.CD.SBAADEHHHG.E..VG.E..VWW. B99 C99 D99 A99 E97 
13 7 6	S..CD.SB.CD..BAADEHHHG.E..VG.E..VWW. B99 C99 D99 S99 A99 E97 
13 7 6	...CDESB.CDESBAADEHHH.....VG....VGWW B99 C99 D99 E99 A99 G99 W99 
13 7 6	SB.C..SB.C...AA.DE.HHHDE..VGDE..VGWW S99 C99 D99 E99 H99 G99 W99 
13 7 6	SB.CDESB.CDE.AA.DE.HHH....VG....VGWW S99 C99 D99 E99 H99 G99 W99 
13 7 6	SB.C.ESB.CDE..AADE.HHHD...VG....VGWW S99 C99 E99 A99 H99 G99 W99 
13 7 6	SB.C..SB.C.EAA..DE.HHHDE..VGD...VGWW S99 C99 D99 A99 H99 G99 W99 
13 7 6	SB.C.ESB.CDEAA..DE.HHHD...VG....VGWW S99 C99 E99 A99 H99 G99 W99 
13 7 6	SB.C..SB.CD.AA..DE.HHHDE..VG.E..VGWW S99 C99 E99 A99 H99 G99 W99 
13 7 6	.B.C...B.C...AA.DE.HHHDES.VGDES.VGWW S97 C99 D99 E99 H99 G99 W99 
13 7 6	SB.C.ESB.C.E.AA.DE.HHHD...VGD...VGWW S99 C99 D99 E99 H99 G99 W99 
13 7 6	.B.C...B.C...AA.DESHHHDES.VGDE..VGWW S98 C99 D99 E99 H99 G99 W99 
13 7 6	.B.CD.SB.CD.S.AADE.HHH.E..VG.E..VGWW C99 D99 E99 A99 H99 G99 W99 
13 7 6	SB.CD.SB.CD..AA.DE.HHH.E..VG.E..VGWW S99 C99 D99 E99 H99 G99 W99 
13 7 6	.B.CD..B.CD..AA.DESHHH.ES.VG.E..VGWW S98 C99 D99 E99 H99 G99 W99 
13 7 6	SB.CD.SB.CD..AA.DE..HHHE..VG.E..VGWW S99 C99 D99 E99 H98 G99 W99 
13 7 6	SB.CD.SB.CD.AA..DEHHH..E..VG.E..VGWW S99 C99 D99 E99 A99 G99 W99 
13 7 6	SB.CD.SB.CD...AADEHHH..E..VG.E..VGWW S99 C99 D99 E99 A99 G99 W99 
13 4 9	.B...ESB.CDESAACDEHHHGD...VG....V.WW C98 E99 W99 
13 4 9	.B.C.ESB.CDESAAGDEHHHGD...V.....V.WW C99 E99 G99 W99 
13 7 6	.B.C.E.B.CDES.AADESHHHD...VG....VGWW S99 C99 E99 A99 H99 G99 W99 
13 7 6	SB.C..SB.CD...AADE.HHHDE..VG.E..VGWW S99 C99 E99 A99 H99 G99 W99 
13 7 6	.B.C..SB.C..S.AADE.HHHDE..VGDE..VGWW C99 D99 E99 A99 H99 G99 W99 
13 7 6	SB.CDESB.CDE..AADEHHH.....VG....VGWW S99 C99 D99 E99 A99 G99 W99 
13 7 6	.B.C...B.CD...AADE.HHHDES.VG.ES.VGWW S97 C99 E99 A99 H99 G99 W99 
13 7 6	...C..SB.CD.SBAADE.HHHDE..VG.E..VGWW B99 C99 A99 E99 H99 G99 W99 
13 4 9	.B....SB.CD.SAACDEHHHGDE..VG.E..V.WW C98 E99 W99 
13 4 9	.B.C..SB.CD.SAAGDEHHHGDE..V..E..V.WW C99 E99 G99 W99 
13 7 6	.B.CD..B.CDES.AADESHHH.E..VG....VGWW S99 C99 D99 A99 H99 G99 W99 
13 7 6	.B.C...B.C.ES.AADESHHHDE..VGD...VGWW S99 C99 D99 A99 H99 G99 W99 
13 7 6	S..C..SB.C.E.BAADEHHHGDE..VGD...VWW. B99 C99 S99 A99 D99 E96 
13 7 6	...C...B.CDESBAADESHHHDE..VG....VGWW B99 C99 S99 A99 H99 G99 W99 
13 7 6	.B.CD..B.CD.SAA.DESHHH.E..VG.E..VGWW S99 C99 D99 E99 H99 G99 W99 
13 7 6	.B.CD..B.CDE..AADESHHH.ES.VG....VGWW S98 C99 D99 A99 H99 G99 W99 
13 7 6	.B.C.E.B.CDE..AADESHHHD.S.VG....VGWW S98 C99 E99 A99 H99 G99 W99 
13 7 6	.B.C...B.C..SAA.DESHHHDE..VGDE..VGWW S99 C99 D99 E99 H99 G99 W99 
13 7 6	.B.C...B.CD...AADESHHHDES.VG.E..VGWW S98 C99 E99 A99 H99 G99 W99 
13 4 9	SB..DESB.CDEAA.CDEHHHG....VG....VWW. S99 D99 E99 A99 
13 7 6	.B.C...B.C.E..AADESHHHDES.VGD...VGWW S98 C99 D99 A99 H99 G99 W99 
13 7 6	.B.C...B.CD.S.AADESHHHDE..VG.E..VGWW S99 C99 E99 A99 H99 G99 W99 
13 7 6	...C...B.CDE.BAADESHHHDES.VG....VGWW B99 C99 A99 S98 H99 G99 W99 
13 4 9	SB..D.SB.CD.AA.CDEHHHG.E..VG.E..VWW. S99 D99 E99 A99 
13 7 6	S..CDESB.CDE.BAADEHHHG....VG....V.WW B99 C99 D99 E99 S99 A99 W99 
13 7 6	.B.CD..B.CD..AA.DE.HHH.ES.VG.ES.VGWW S97 C99 D99 E99 H99 G99 W99 
13 4 9	.B....SB..DESAACDEHHHCDE..VG....VGWW C97 G99 W99 
13 7 6	SB.CD.SB.CDEAA..DE.HHH.E..VG....VGWW S99 C99 D99 A99 H99 G99 W99 
13 7 6	SB.C.ESB.C.E..AADEHHH.D...VGD...VGWW S99 C99 D99 E99 A99 G99 W99 
13 7 6	S..CD.SB.CDE.BAADEHHH..E..VG....VGWW B99 S99 C99 D99 A99 G99 W99 
13 7 6	S..C..SB.CD..BAADEHHH.DE..VG.E..VGWW B99 S99 C99 E99 A99 G99 W99 
13 7 6	S..C.ESB.C.E.BAADEHHHGD...VGD...V.WW B99 S99 C99 D99 E99 A99 W99 
13 7 6	.B.CD.SB.CD.S.AADE..HHHE..VG.E..VGWW C99 D99 E99 A99 H98 G99 W99 
13 7 6	.B.CD..B.CDES.AADES.HHHE..VG....VGWW S99 C99 D99 A99 H98 G99 W99 
13 4 9	.B....SB.C.ESAACDEHHHGDE..VGD...V.WW C98 D99 W99 
13 7 6	SB.CD.SB.CDE..AADE..HHHE..VG....VGWW S99 C99 D99 A99 H98 G99 W99 
13 7 6	S..C.ESB.C.E.BAADEHHHGD...VGD...VWW. B99 C99 S99 A99 D99 E95 
13 7 6	...CD.SB.CD.SBAADEHHH..E..VG.E..VGWW B99 C99 D99 E99 A99 G99 W99 
13 7 6	...C.ESB.C.ESBAADEHHH.D...VGD...VGWW B99 C99 D99 E99 A99 G99 W99 
13 7 6	.B.CDESB.CDESAA.DE..VHHH..VG.....GWW C99 D99 E99 H97 G99 V99 W99 
13 7 6	.B.C...B.CDE.AA.DEHHHGDES.VG..S.V.WW S97 C99 H98 G98 W99 
13 7 6	S..CDESB.CDE.BAADEHHHG....VG....VWW. B99 C99 D99 S99 A99 E95 
13 7 6	S..CD.SB.CDE.BAADEHHHG.E..VG....VWW. B99 C99 D99 S99 A99 E96 
13 7 6	S..C..SB.C.E.BAADEHHH.DE..VGD...VGWW B99 C99 S99 D99 A99 G99 W99 
13 7 6	...CD.S..CDES.AADE..HHHE.BVG...BVGWW B96 C99 D99 A99 H98 G99 W99 
13 4 9	SB....SB.C..AA.CDEHHHGDE..VGDE..VWW. S99 D99 E99 A99 
13 7 6	.B.CDESB.CDES.AADE.HHH....VG....VGWW C99 D99 E99 A99 H99 G99 W99 
13 7 6	.B.CDE.B.CDE.AA.DE.HHH..S.VG..S.VGWW S97 C99 D99 E99 H99 G99 W99 
13 7 6	.B.C.E.B.CDE..AADE.HHHD.S.VG..S.VGWW S97 C99 E99 A99 H99 G99 W99 
13 7 6	.B.C.E.B.CDEAA..DE.HHHD.S.VG..S.VGWW S97 C99 E99 A99 H99 G99 W99 
13 7 6	.B.C...B.CDEAA..DEHHH.DES.VG..S.VGWW S97 C99 A99 H98 G99 W99 
13 7 6	.B.C...B.CD.AA..DE.HHHDES.VG.ES.VGWW S97 C99 E99 A99 H99 G99 W99 
13 7 6	.B.CD..B.CDEAA..DE.HHH.ES.VG..S.VGWW S97 C99 D99 A99 H99 G99 W99 
13 7 6	.B.C...B.CD.AA..DESHHHDES.VG.E..VGWW S98 C99 E99 A99 H99 G99 W99 
13 4 9	SB....SB.CDE.AACDEHHHGDE..VG....V.WW S99 C98 W99 
13 7 6	.B.CD..B.CDEAA..DESHHH.ES.VG....VGWW S98 C99 D99 A99 H99 G99 W99 
13 7 6	.B.C...B.C.EAA..DESHHHDES.VGD...VGWW S98 C99 D99 A99 H99 G99 W99 
13 7 6	.B.C...B.C.E..AADE.HHHDES.VGD.S.VGWW S97 C99 D99 A99 H99 G99 W99 
13 7 6	.B.C.E.B.CDEAA..DESHHHD.S.VG....VGWW S98 C99 E99 A99 H99 G99 W99 
13 4 9	SB.C..SB.CDE.AAGDEHHHGDE..V.....V.WW S99 C99 G99 W99 
13 7 6	.B.C...B.C.EAA..DE.HHHDES.VGD.S.VGWW S97 C99 D99 A99 H99 G99 W99 
13 7 6	.B.CD..B.CDE..AADE.HHH.ES.VG..S.VGWW S97 C99 D99 A99 H99 G99 W99 
13 7 6	.B.C...B.CDE..AADEHHH.DES.VG..S.VGWW S97 C99 A99 H98 G99 W99 
13 7 6	.B.C.E.B.CDE.AA.DEHHH.D.S.VG..S.VGWW S97 C99 E99 H98 G99 W99 
13 7 6	...C...B.CDE.BAADE.HHHDES.VG..S.VGWW B99 C99 S97 A99 H99 G99 W99 
13 7 6	.B.C...B.C.E.AA.DEHHH.DES.VGD.S.VGWW S97 C99 D99 H98 G99 W99 
13 7 6	.B.C...B.CD..AA.DEHHH.DES.VG.ES.VGWW S97 C99 E99 H98 G99 W99 
13 7 6	SB.CD.SB.CDE..AADE.HHH.E..VG....VGWW S99 C99 D99 A99 H99 G99 W99 
13 7 6	.B.CDE.B.CDE.AA.DESHHH..S.VG....VGWW S98 C99 D99 E99 H99 G99 W99 
13 7 6	.B.CDESB.CDES.AADE...HHH..VG....VGWW C99 D99 E99 A99 H97 G99 W99 
13 4 9	.B.C..SB.C.ESAAGDEHHHGDE..V.D...V.WW C99 D99 G99 W99 
13 7 6	.B.CDESB.CDES.AADE..HHH...VG....VGWW C99 D99 E99 A99 H98 G99 W99 
13 7 6	.B.CDE.B.CDE.AA.DE...HHHS.VG..S.VGWW S97 C99 D99 E99 H97 G99 W99 
13 7 6	SB.CDESB.CDE.AA.DE...HHH..VG....VGWW S99 C99 D99 E99 H97 G99 W99 
13 7 6	...C..SB.C..SBAADEHHH.DE..VGDE..VGWW B99 C99 D99 E99 A99 G99 W99 
13 7 6	...C.ESB.CDESBAADE.HHHD...VG....VGWW B99 C99 E99 A99 H99 G99 W99 
13 7 6	...CD.S..CDES.AADE.BHHHE.BVG....VGWW B97 C99 D99 A99 H98 G99 W99 
13 7 6	...CD.SB.CDESBAADE..HHHE..VG....VGWW B99 C99 D99 A99 H98 G99 W99 
13 4 9	.B.CD.SB.CDESAAGDEHHHG.E..V.....V.WW C99 D99 G99 W99 
13 4 9	.B....SB.CDESAACDEHHH.DE..VG....VGWW C98 G99 W99 
13 7 6	...CD.SB.CDESBAADE.HHH.E..VG....VGWW B99 C99 D99 A99 H99 G99 W99 
13 7 6	.B.CD..B.CDE..AADES.HHHES.VG....VGWW S98 C99 D99 A99 H98 G99 W99 
13 7 6	.B.CDE.B.CDE.AA.DES.HHH.S.VG....VGWW S98 C99 D99 E99 H98 G99 W99 
13 7 6	.B.CD..B.CDEAA..DES.HHHES.VG....VGWW S98 C99 D99 A99 H98 G99 W99 
13 7 6	.B.CDE.B.CDESAA.DES.HHH...VG....VGWW S99 C99 D99 E99 H98 G99 W99 
13 7 6	.B.CD..B.CDE..AADE..HHHES.VG..S.VGWW S97 C99 D99 A99 H98 G99 W99 
13 7 6	SB.CDESB.CDE.AA.DE..HHH...VG....VGWW S99 C99 D99 E99 H98 G99 W99 
13 7 6	.B.CDE.B.CDESAA.DESHHH....VG....VGWW S99 C99 D99 E99 H99 G99 W99 
13 7 6	.B.CDE.B.CDESAA.DES..HHH..VG....VGWW S99 C99 D99 E99 H97 G99 W99 
13 7 6	S..C..SB.CDE.BAADE.HHHDE..VG....VGWW B99 C99 S99 A99 H99 G99 W99 
13 7 6	.B.CD..B.CDE.AA.DEHHH..ES.VG..S.VGWW S97 C99 D99 H96 G99 W99 
13 7 6	S..C..SB.C...BAADEHHHGDE..VGDE..VWW. B99 C99 S99 A99 D99 E97 
13 7 6	.B.CDE.B.CDE.AA.DE..HHH.S.VG..S.VGWW S97 C99 D99 E99 H98 G99 W99 
13 7 6	.B.CD..B.CDEAA..DE..HHHES.VG..S.VGWW S97 C99 D99 A99 H98 G99 W99 
13 4 9	SB...ESB.C.EAA.CDEHHHGD...VGD...VWW. S99 D99 E99 A99 
13 7 6	.B.CD..B.CD.SAA.DES.HHHE..VG.E..VGWW S99 C99 D99 E99 H98 G99 W99 
13 7 6	.B.CD..B.CD..AA.DE..HHHES.VG.ES.VGWW S97 C99 D99 E99 H98 G99 W99 
13 7 6	.B.CDE.B.CDE.AA.DES..HHHS.VG....VGWW S98 C99 D99 E99 H97 G99 W99 
13 7 6	.B.CD..B.CD..AA.DES.HHHES.VG.E..VGWW S98 C99 D99 E99 H98 G99 W99 
13 7 6	SB.C..SB.C....AADEHHH.DE..VGDE..VGWW S99 C99 D99 E99 A99 G99 W99 
13 7 6	SB.CD.SB.CDEAA..DE..HHHE..VG....VGWW S99 C99 D99 A99 H98 G99 W99 
13 7 6	S..C..SB.C...BAADEHHHGDE..VGDE..V.WW B99 S99 C99 D99 E99 A99 W99 
13 4 9	.B..D.SB.CDESAACDEHHHG.E..VG....V.WW C98 D99 W99 
13 7 6	SB.C..SB.C..AA..DEHHH.DE..VGDE..VGWW S99 C99 D99 E99 A99 G99 W99 
13 7 6	S..CD.SB.CD..BAADEHHHG.E..VG.E..V.WW B99 S99 C99 D99 E99 A99 W99 
13 7 6	SB.CDESB.CDEAA..DEHHH.....VG....VGWW S99 C99 D99 E99 A99 G99 W99 
13 7 6	SB.C.ESB.C.EAA..DEHHH.D...VGD...VGWW S99 C99 D99 E99 A99 G99 W99 
13 7 6	.B.C.ESB.C.ES.AADE.HHHD...VGD...VGWW C99 D99 E99 A99 H99 G99 W99 
13 7 6	SB.C..SB.C.E..AADE.HHHDE..VGD...VGWW S99 C99 D99 A99 H99 G99 W99 
13 7 6	S..C.ESB.CDE.BAADEHHH.D...VG....VGWW B99 S99 C99 E99 A99 G99 W99 
13 7 6	...C..SB.C.ESBAADE.HHHDE..VGD...VGWW B99 C99 D99 A99 H99 G99 W99 
13 7 6	.B.C.E.B.C.E.AA.DE.HHHD.S.VGD.S.VGWW S97 C99 D99 E99 H99 G99 W99 
13 7 6	...CD.S..CDESBAADE.BHHHE..VG....VGWW B98 C99 D99 A99 H98 G99 W99 
13 7 6	.B.C.E.B.C.E.AA.DESHHHD.S.VGD...VGWW S98 C99 D99 E99 H99 G99 W99 
13 7 6	.B.C.E.B.C.ESAA.DESHHHD...VGD...VGWW S99 C99 D99 E99 H99 G99 W99 
14 5 9	SB....SB.CDE.AACDEHHH.DE..VG....VGWW S99 C98 G99 W99 
14 5 9	.B...ESB.CDESAACDEHHH.D...VG....VGWW C98 E99 G99 W99 
14 8 6	SB.C.ESB.C.EAA..DE.HHHD...VGD...VGWW S99 C99 D99 E99 A99 H99 G99 W99 
14 5 9	.B....SB.C.ESAACDEHHH.DE..VGD...VGWW C98 D99 G99 W99 
14 5 9	.B....SB.C..SAACDEHHHGDE..VGDE..V.WW C98 D99 E99 W99 
14 8 6	.B.C.E.B.C.ES.AADESHHHD...VGD...VGWW S99 C99 D99 E99 A99 H99 G99 W99 
14 8 6	...CDESB.CDESBAADE...HHH..VG....VGWW B99 C99 D99 E99 A99 H97 G99 W99 
14 8 6	SB.C..SB.C....AADE.HHHDE..VGDE..VGWW S99 C99 D99 E99 A99 H99 G99 W99 
14 8 6	SB.C.ESB.C.E..AADE.HHHD...VGD...VGWW S99 C99 D99 E99 A99 H99 G99 W99 
14 8 6	...CDES..CDES.AADE.BHHH..BVG....VGWW B97 C99 D99 E99 A99 H98 G99 W99 
14 5 9	.B.C..SB.C..SAAGDEHHHGDE..V.DE..V.WW C99 D99 E99 G99 W99 
14 8 6	SB.CDESB.CDE..AADE.HHH....VG....VGWW S99 C99 D99 E99 A99 H99 G99 W99 
14 8 6	...CDES..CDES.AADE...HHH.BVG...BVGWW B96 C99 D99 E99 A99 H97 G99 W99 
14 8 6	SB.CD.SB.CD.AA..DE.HHH.E..VG.E..VGWW S99 C99 D99 E99 A99 H99 G99 W99 
14 8 6	.B.C...B.C...AA.DEHHH.DES.VGDES.VGWW S97 C99 D99 E99 H98 G99 W99 
14 8 6	SB.CD.SB.CD...AADE.HHH.E..VG.E..VGWW S99 C99 D99 E99 A99 H99 G99 W99 
14 5 9	SB.C..SB.C.E.AAGDEHHHGDE..V.D...V.WW S99 C99 D99 G99 W99 
14 8 6	.B.C...B.C....AADESHHHDES.VGDE..VGWW S98 C99 D99 E99 A99 H99 G99 W99 
14 5 9	SB....SB.C.E.AACDEHHHGDE..VGD...V.WW S99 C98 D99 W99 
14 8 6	.B.CD..B.CD.AA..DESHHH.ES.VG.E..VGWW S98 C99 D99 E99 A99 H99 G99 W99 
14 5 9	.B..D.SB.CD.SAACDEHHHG.E..VG.E..VWW. C98 D99 E97 
14 8 6	SB.CD.SB.CD.AA..DE..HHHE..VG.E..VGWW S99 C99 D99 E99 A99 H98 G99 W99 
14 8 6	...C...B.CD..BAADE.HHHDES.VG.ES.VGWW B99 C99 A99 E99 H99 S97 G99 W99 
14 8 6	...C...B.C.E.BAADESHHHDES.VGD...VGWW B99 C99 A99 D99 S98 H99 G99 W99 
14 8 6	S..CD.SB.CD..BAADEHHH..E..VG.E..VGWW B99 S99 C99 D99 E99 A99 G99 W99 
14 8 6	.B.CDE.B.CDES.AADESHHH....VG....VGWW S99 C99 D99 E99 A99 H99 G99 W99 
14 8 6	.B.C...B.C..S.AADESHHHDE..VGDE..VGWW S99 C99 D99 E99 A99 H99 G99 W99 
14 8 6	...C...B.CD.SBAADESHHHDE..VG.E..VGWW B99 C99 S99 A99 E99 H99 G99 W99 
14 8 6	S..C..SB.CD..BAADE.HHHDE..VG.E..VGWW B99 S99 C99 E99 A99 H99 G99 W99 
14 8 6	SB.CDESB.CDE..AADE...HHH..VG....VGWW S99 C99 D99 E99 A99 H97 G99 W99 
14 8 6	...C...B.CD..BAADESHHHDES.VG.E..VGWW B99 C99 S98 A99 E99 H99 G99 W99 
14 8 6	.B.C...B.CD...AADEHHH.DES.VG.ES.VGWW S97 C99 E99 A99 H98 G99 W99 
14 5 9	.B.C.ESB.C.ESAAGDEHHHGD...V.D...VWW. C99 D99 E95 G99 
14 8 6	...CD..B.CDESBAADESHHH.E..VG....VGWW B99 C99 D99 S99 A99 H99 G99 W99 
14 8 6	SB.CDESB.CDE..AADE..HHH...VG....VGWW S99 C99 D99 E99 A99 H98 G99 W99 
14 8 6	...CD..B.CDE.BAADESHHH.ES.VG....VGWW B99 C99 D99 A99 S98 H99 G99 W99 
14 5 9	.B....SB.C..SAACDEHHHGDE..VGDE..VWW. C98 D99 E97 
14 8 6	...C...B.C.ESBAADESHHHDE..VGD...VGWW B99 C99 S99 A99 D99 H99 G99 W99 
14 5 9	.B..DESB.CDESAACDEHHHG....VG....VWW. C98 D99 E95 
14 8 6	...C..SB.C..SBAADE.HHHDE..VGDE..VGWW B99 C99 A99 D99 E99 H99 G99 W99 
14 8 6	.B.CDE.B.CDE..AADESHHH..S.VG....VGWW S98 C99 D99 E99 A99 H99 G99 W99 
14 8 6	...C.E.B.CDE.BAADESHHHD.S.VG....VGWW B99 C99 E99 A99 S98 H99 G99 W99 
14 5 9	SB.CD.SB.CDE.AAGDEHHHG.E..V.....V.WW S99 C99 D99 G99 W99 
14 8 6	.B.C.E.B.C.E..AADESHHHD.S.VGD...VGWW S98 C99 D99 E99 A99 H99 G99 W99 
14 5 9	.B.CDESB.CDESAAGDEHHHG....V.....V.WW C99 D99 E99 G99 W99 
14 5 9	.B.CD.SB.CD.SAAGDEHHHG.E..V..E..VWW. C99 D99 E97 G99 
14 5 9	.B....SB...ESAACDEHHHCDE..VGD...VGWW C97 D99 G99 W99 
14 5 9	.B....SB.CDESAACDE.HHHDE..VG....VGWW C98 H99 G99 W99 
14 8 6	.B.CD..B.CD...AADE..HHHES.VG.ES.VGWW S97 C99 D99 E99 A99 H98 G99 W99 
14 5 9	.B..DESB.CDESAACDEHHHG....VG....V.WW C98 D99 E99 W99 
14 8 6	...C.E.B.CDESBAADESHHHD...VG....VGWW B99 C99 E99 S99 A99 H99 G99 W99 
14 5 9	.B..D.SB.CDESAACDEHHH..E..VG....VGWW C98 D99 G99 W99 
14 8 6	.B.CD..B.CD..AA.DEHHH..ES.VG.ES.VGWW S97 C99 D99 E99 H98 G99 W99 
14 8 6	.B.CD..B.CD.AA..DE.HHH.ES.VG.ES.VGWW S97 C99 D99 E99 A99 H99 G99 W99 
14 8 6	S..CD.SB.CDE.BAADE.HHH.E..VG....VGWW B99 S99 C99 D99 A99 H99 G99 W99 
14 5 9	SB.C.ESB.CDE.AAGDEHHHGD...V.....V.WW S99 C99 E99 G99 W99 
14 5 9	.B...ESB..DESAACDEHHHCD...VG....VGWW C97 E99 G99 W99 
14 5 9	SB.C.ESB.CDE.AAGDEHHHGD...V.....VWW. S99 C99 E95 G99 
14 5 9	SB.C..SB.CD..AAGDEHHHGDE..V..E..V.WW S99 C99 E99 G99 W99 
14 8 6	S..C..SB.C...BAADEHHH.DE..VGDE..VGWW B99 S99 C99 D99 E99 A99 G99 W99 
14 5 9	.B...ESB.C.ESAACDEHHHGD...VGD...V.WW C98 D99 E99 W99 
14 8 6	S..C.ESB.C.E.BAADEHHH.D...VGD...VGWW B99 S99 C99 D99 E99 A99 G99 W99 
14 8 6	S..CD.SB.CDE.BAADE..HHHE..VG....VGWW B99 S99 C99 D99 A99 H98 G99 W99 
14 8 6	S..CD.S..CDE..AADE..HHHE.BVG...BVGWW B96 S99 C99 D99 A99 H98 G99 W99 
14 8 6	.B.C...B.CDE.AA.DEHHHGDES.VG..S.VWW. S97 C99 H98 G98 W98 
12 9 3	.B.C...B.CD..AA.D.HHHGDES.VG.ES.VWWE S97 C99 E98 H98 G98 W98 
13 10 3	.B.C...B.C...AA.D.HHHGDES.VGDES.VWWE S97 C99 D99 E98 H98 G98 W98 
13 10 3	.B.CD..B.CD..AA.D.HHHG.ES.VG.ES.VWWE S97 C99 D99 E98 H98 G98 W98 
13 10 3	.B.C...B.CD.AA..D.HHHGDES.VG.ES.VWWE S97 C99 E98 A99 H98 G98 W98 
13 10 3	.B.C...B.CD...AAD.HHHGDES.VG.ES.VWWE S97 C99 E98 A99 H98 G98 W98 
14 8 6	S..C..SB.C.E.BAADE.HHHDE..VGD...VGWW B99 C99 S99 D99 A99 H99 G99 W99 
14 11 3	...C...B.CD..BAAD.HHHGDES.VG.ES.VWWE B99 C99 A99 H98 G98 E98 S97 W98 
14 8 6	.B.CDE.B.CDEAA..DESHHH..S.VG....VGWW S98 C99 D99 E99 A99 H99 G99 W99 
14 8 6	.B.CDE.B.CDE..AADES.HHH.S.VG....VGWW S98 C99 D99 E99 A99 H98 G99 W99 
14 11 3	.B.CD..B.CD.AA..D.HHHG.ES.VG.ES.VWWE S97 C99 D99 E98 A99 H98 G98 W98 
14 11 3	.B.CD..B.CD...AAD.HHHG.ES.VG.ES.VWWE S97 C99 D99 E98 A99 H98 G98 W98 
14 11 3	.B.C...B.C..AA..D.HHHGDES.VGDES.VWWE S97 C99 D99 E98 A99 H98 G98 W98 
14 11 3	.B.C...B.C....AAD.HHHGDES.VGDES.VWWE S97 C99 D99 E98 A99 H98 G98 W98 
14 8 6	.B.CDESB.CDES.AADE..VHHH..VG.....GWW C99 D99 E99 A99 H97 G99 V99 W99 
14 5 9	SB....SB..DE.AACDEHHHCDE..VG....VGWW S99 C97 G99 W99 
14 8 6	...C.ESB.C.ESBAADE.HHHD...VGD...VGWW B99 C99 D99 E99 A99 H99 G99 W99 
14 8 6	S..CD.S..CDE.BAADE.BHHHE..VG....VGWW B98 S99 C99 D99 A99 H98 G99 W99 
14 8 6	S..CD.S..CDE..AADE.BHHHE.BVG....VGWW B97 S99 C99 D99 A99 H98 G99 W99 
14 5 9	.B.C.ESB.C.ESAAGDEHHHGD...V.D...V.WW C99 D99 E99 G99 W99 
14 8 6	.B.C...B.CDEAA..DEHHHGDES.VG..S.V.WW S97 C99 A99 H98 G98 W99 
14 8 6	.B.CDE.B.CDEAA..DE..HHH.S.VG..S.VGWW S97 C99 D99 E99 A99 H98 G99 W99 
14 8 6	.B.CD..B.CD.AA..DE..HHHES.VG.ES.VGWW S97 C99 D99 E99 A99 H98 G99 W99 
14 8 6	.B.CDE.B.CDES.AADES..HHH..VG....VGWW S99 C99 D99 E99 A99 H97 G99 W99 
14 8 6	.B.CDE.B.CDE..AADE..HHH.S.VG..S.VGWW S97 C99 D99 E99 A99 H98 G99 W99 
14 8 6	SB.CDESB.CDEAA..DE...HHH..VG....VGWW S99 C99 D99 E99 A99 H97 G99 W99 
14 8 6	.B.CDE.B.CDEAA..DE...HHHS.VG..S.VGWW S97 C99 D99 E99 A99 H97 G99 W99 
14 8 6	.B.CDE.B.CDE..AADES..HHHS.VG....VGWW S98 C99 D99 E99 A99 H97 G99 W99 
14 8 6	.B.CDE.B.CDE..AADE...HHHS.VG..S.VGWW S97 C99 D99 E99 A99 H97 G99 W99 
14 8 6	...CDES..CDESBAADE.BHHH...VG....VGWW B98 C99 D99 E99 A99 H98 G99 W99 
14 5 9	SB.C..SB.CD..AAGDEHHHGDE..V..E..VWW. S99 C99 E97 G99 
14 8 6	.B.CDE.B.CDE.AA.DEHHH...S.VG..S.VGWW S97 C99 D99 E99 H98 G99 W99 
14 8 6	.B.C...B.CD.AA..DEHHH.DES.VG.ES.VGWW S97 C99 E99 A99 H98 G99 W99 
14 8 6	...CDES..CDESBAADE.B.HHH..VG....VGWW B98 C99 D99 E99 A99 H97 G99 W99 
14 8 6	...CDES..CDES.AADE.B.HHH.BVG....VGWW B97 C99 D99 E99 A99 H97 G99 W99 
14 8 6	.B.C...B.C.E..AADEHHH.DES.VGD.S.VGWW S97 C99 D99 A99 H98 G99 W99 
14 8 6	.B.C.E.B.C.E.AA.DEHHH.D.S.VGD.S.VGWW S97 C99 D99 E99 H98 G99 W99 
14 8 6	.B.CD..B.CDE..AADEHHH..ES.VG..S.VGWW S97 C99 D99 A99 H98 G99 W99 
14 5 9	SB.C..SB.CDEAA.GDEHHHGDE..V.....V.WW S99 C99 A99 G99 W99 
14 5 9	SB..D.SB.CDE.AACDEHHHG.E..VG....V.WW S99 C98 D99 W99 
14 8 6	.B.CDE.B.CDE..AADE.HHH..S.VG..S.VGWW S97 C99 D99 E99 A99 H99 G99 W99 
14 8 6	...CD..B.CDE.BAADE.HHH.ES.VG..S.VGWW B99 C99 D99 A99 H99 S97 G99 W99 
14 8 6	.B.CD..B.CDEAA..DEHHH..ES.VG..S.VGWW S97 C99 D99 A99 H98 G99 W99 
14 8 6	...CD.S..CDES.AADE.HHH.E.BVG...BVGWW B96 C99 D99 A99 H97 G99 W99 
14 8 6	.B.C...B.C.EAA..DEHHH.DES.VGD.S.VGWW S97 C99 D99 A99 H98 G99 W99 
14 8 6	.B.C.E.B.C.EAA..DE.HHHD.S.VGD.S.VGWW S97 C99 D99 E99 A99 H99 G99 W99 
14 8 6	...CD.S..CDES.AADEHHH..E.BVG...BVGWW B96 C99 D99 A99 H96 G99 W99 
14 8 6	.B.C.E.B.C.E..AADE.HHHD.S.VGD.S.VGWW S97 C99 D99 E99 A99 H99 G99 W99 
