2 0 2	CHH..YC....YCFAADE.F..DE..RITTBBRI.. 
6 5 1	C.HHDYC...DYCFRAAE.FR..E...ITT.BBI.. H99 A99 D98 R98 B99 
6 5 1	CHH.DYCF..DYCFRAAE..RI.E...ITTBB.... F99 A99 D98 R98 I99 
6 5 1	.HH.DY....DYCFRAAECFRI.EC..ITTBB.... C98 D98 A99 R98 I99 
6 5 1	CHH.DYCFR.DYCFRAAE...I.E...ITTBB.... F99 A99 D98 R97 I99 
6 5 1	.FHHDYCF..DYC..AAEC....E..RITTBBRI.. C99 F98 H99 D98 A99 
6 5 1	.HH.DY..R.DYCFRAAECF.I.EC..ITTBB.... C98 D98 A99 R97 I99 
6 5 1	CHH.DYC...DYCFAA.E.F.I.E..RITT..R.BB D98 R98 I99 B96 
6 5 1	CHH.DYC...DYC.AA.E..RI.E.FRITT.F..BB F98 D98 R99 I99 B96 
6 5 1	.HH.DY....DY.FAA.ECFRI.EC.RITTC...BB C97 D98 R99 I99 B96 
6 5 1	..HHDY....DYCF.AAECFR..EC.RITTBB.I.. C98 H99 D98 A99 R99 
6 5 1	.FHHDY.F..DYC..AAEC....EC.RITTBBRI.. C98 F98 H99 D98 A99 
6 5 1	CFHHDYCF..DYCAA..E..R..E..RITTBB.I.. H99 F98 A99 D98 R99 
6 5 1	.FHHDY.F..DYCAA..EC....EC.RITTBBRI.. C98 F98 H99 D98 A99 
6 5 1	HHR.DY..R.DYCF.AAECF...EC..ITTBB.I.. H99 D98 C98 A99 R96 
6 5 1	.FHHDYCF..DYCAA..EC....E..RITTBBRI.. C99 F98 H99 D98 A99 
6 5 1	CFHHDYCF..DYCAA..E...I.E..RITTBBR... H99 F98 A99 D98 I99 
6 5 1	C.HHDYC...DYC..AAE.FR..E.FRITTBB.I.. H99 F99 A99 D98 R99 
6 5 1	..HHDYCF..DYCFAA.EC..I.E..RITTBBR... C99 H99 D98 F99 I99 
6 5 1	CFHHDYCF..DYC..AAE..R..E..RITTBB.I.. H99 F98 A99 D98 R99 
6 5 1	C.HHDYCF..DYCF.AAE..R..E..RITTBB.I.. H99 F99 A99 D98 R99 
6 5 1	..HHDYC...DYC.AA.ECF.I.E.FRITTBBR... C99 H99 D98 F99 I99 
6 5 1	CHH.DYCF..DYCF.AAE..R..E..RITT.BBI.. F99 A99 D98 R99 B99 
6 5 1	HH..DY....DYCFRAAECFR..EC..ITTBB.I.. H99 D98 C98 A99 R98 
6 5 1	C.HHDYC...DYCFRAAE.FRI.E...ITTBB.... H99 A99 D98 R98 I99 
6 5 1	CHH.DYCFR.DYCFRAAE.....E...ITT.BBI.. F99 A99 D98 R97 B99 
6 5 1	.HH.DYC...DYCAA..ECF.I.E.FRITTBBR... C99 D98 F99 A99 I99 
6 5 1	CFHHDYCF..DYC..AAE...I.E..RITTBBR... H99 F98 A99 D98 I99 
6 5 1	CHH.DYC.R.DYC.RAAE.F...E.F.ITT.BBI.. F99 A99 D98 R97 B99 
6 5 1	C.HHDYCF..DYCF.AAE...I.E..RITTBBR... H99 F99 A99 D98 I99 
6 5 1	C.HHDYC...DYC..AAE.F.I.E.FRITTBBR... H99 F99 A99 D98 I99 
6 5 1	.HH.DY..R.DYC.RAAECF...ECF.ITTBB.I.. C98 D98 R97 A99 F99 
6 5 1	..HHDY....DYCF.AAECF.I.EC.RITTBBR... C98 H99 D98 A99 I99 
6 5 1	..HHDYC...DYCF.AAECF.I.E..RITTBBR... C99 H99 D98 A99 I99 
6 5 1	CHH.DYC.R.DYCFRAAE.F.I.E...ITT...BB. A99 D98 R97 I99 B97 
6 5 1	CHH.DYC...DYCAA..E.FRI.E.FRITTBB.... F99 A99 D98 R99 I99 
6 5 1	CHH.DYC...DYCFRAAE.FRI.E...ITT....BB A99 D98 R98 I99 B96 
6 5 1	.HH.DY....DYCF.AAECFRI.EC.RITTBB.... C98 D98 A99 R99 I99 
6 5 1	CHH.DYC...DYC..AAE.FRI.E.FRITTBB.... F99 A99 D98 R99 I99 
6 5 1	CHH.DYC...DYCFAA.E.F.I.E..RITT..RBB. D98 R98 I99 B97 
6 5 1	CHH.DYCF..DYCF.AAE..RI.E..RITTBB.... F99 A99 D98 R99 I99 
6 5 1	.HH.DYC...DYCF.AAECFRI.E..RITTBB.... C99 D98 A99 R99 I99 
6 5 1	CHH.DYCF..DYCFAA.E..RI.E..RITT...BB. F99 D98 R99 I99 B97 
6 5 1	CHH.DYC...DYCF.AAE.FRI.E..RITT...BB. A99 D98 R99 I99 B97 
6 5 1	CHH.DYC...DYC.AA.E.FRI.E.FRITT...BB. F99 D98 R99 I99 B97 
6 5 1	CHH.DYC...DYC.AA.E..RI.E.FRITT.F.BB. F98 D98 R99 I99 B97 
6 5 1	.HH.DY....DY.FAA.ECFRI.EC.RITTC..BB. C97 D98 R99 I99 B97 
6 5 1	.HH.DY....DYC.RAAECFR..ECF.ITTBB.I.. C98 D98 R98 A99 F99 
6 5 1	.HH.DY....DYCFAA.ECFRI.EC.RITT...BB. C98 D98 R99 I99 B97 
6 5 1	CHH.DYCF..DYCFAA.E..RI.E..RITT..BB.. F99 D98 R99 I99 B98 
6 5 1	.HH.DYC...DYCFAA.ECFRI.E..RITT...BB. C99 D98 R99 I99 B97 
6 5 1	CHH.DYC...DYC.AA.E.FRI.E.FRITT..BB.. F99 D98 R99 I99 B98 
6 5 1	CHH.DYC...DYC.AA.E..RI.E.FRITT.FBB.. F98 D98 R99 I99 B98 
6 5 1	CHHIDYC..IDYCAA..E.F...E.FRTT.BBR... F99 A99 D98 I96 T99 
6 6 0	CHHIDYC..IDYCAA....F...E.FRTTEBBR... F99 A99 D98 E99 I96 T99 
6 6 0	CHHIDYC..IDYCAA....F.....FRTTEBBR..E F99 A99 D98 E98 I96 T99 
6 5 1	.HH.DY....DY.FAA.ECFRI.EC.RITTC.BB.. C97 D98 R99 I99 B98 
6 5 1	HH..DYC...DYCAA..ECF...E.FRITTBBRI.. H99 D98 C99 A99 F99 
6 5 1	.HH.DY....DYCFAA.ECFRI.EC.RITT..BB.. C98 D98 R99 I99 B98 
6 5 1	.HH.DYC...DYC.AA.ECFRI.E.FRITTBB.... C99 D98 F99 R99 I99 
6 5 1	HH..DYC...DYCFAA.ECFRI.E..RITTBB.... H99 D98 C99 R99 I99 
6 5 1	.HH.DYC...DYCFAA.ECFRI.E..RITT..BB.. C99 D98 R99 I99 B98 
6 5 1	CHH.DYC...DYCAA..E.FR..E.FRITT.BBI.. F99 A99 D98 R99 B99 
6 5 1	.HH.DYC...DYCAA..ECFR..E.FRITTBB.I.. C99 D98 F99 A99 R99 
6 5 1	..HHDYC...DYC.AA.ECFR..E.FRITTBB.I.. C99 H99 D98 F99 R99 
6 5 1	HH..DYC...DYC.AA.ECFR..E.FRITTBB.I.. H99 D98 C99 F99 R99 
6 5 1	HH..DY....DYCF.AAECFR..EC.RITTBB.I.. H99 D98 C98 A99 R99 
6 5 1	..HHDYCF..DYCFAA.EC.R..E..RITTBB.I.. C99 H99 D98 F99 R99 
6 5 1	HH..DYCF..DYCFAA.EC.R..E..RITTBB.I.. H99 D98 C99 F99 R99 
6 5 1	.HH.DY.F..DYCF.AAEC..I.EC.RITTBBR... C98 D98 F99 A99 I99 
6 4 2	...HHY.F..DYCFAADEC....EC.RITTBBRI.. C98 H98 F99 D99 
6 4 2	HH...YC...DYC.AADECF...E.FRITTBBRI.. H99 C99 D99 F99 
6 4 2	.HH..Y....DYCFAADECF.I.EC.RITTBBR... C98 D97 I99 
6 4 2	CHH..YC...DYCFAADE.FRI.E..RITTBB.... D97 R99 I99 
6 4 2	HH...YC...DYCFAADECF...E..RITTBBRI.. H99 D97 C99 
6 4 2	.HH..Y....DYCFAADECFR..EC.RITTBB.I.. C98 D97 R99 
6 4 2	.HH..Y.F..DYCFAADEC....EC.RITTBBRI.. C98 D97 F99 
6 4 2	HH...Y....DYCFAADECF...EC.RITTBBRI.. H99 D97 C98 
6 4 2	.HH..YC....YCFAADECFR.DE..RITTBB.I.. C99 D96 R99 
6 4 2	.HH..YC...DYCFAADECFR..E..RITTBB.I.. C99 D97 R99 
6 4 2	CHH..YC...DYCFAADE.FR..E..RITT.BBI.. D97 R99 B99 
6 4 2	C.HH.YCF..DYCFAADE.....E..RITTBBRI.. H99 F99 D97 
6 4 2	HH...YC...DYCFAADECF.I.E..RITTBBR... H99 C99 D99 I99 
6 4 2	..HH.YC...DYCFAADECF...E..RITTBBRI.. C99 H99 D97 
6 4 2	CHH..YC....YCFAADE.FRIDE..RITTBB.... D96 R99 I99 
6 4 2	.HH..Y.F...YCFAADEC...DEC.RITTBBRI.. C98 F99 I98 
6 4 2	.HH..YC...DYC.AADECF...E.FRITTBBRI.. C99 D97 F99 
6 4 2	.HH..Y.F...YCFAADEC.RIDEC.RITTBB.... C98 F99 R99 I99 
6 4 2	C.HH.YC...DYC.AADE.F...E.FRITTBBRI.. H99 F99 D97 
6 4 2	...HHYC....YCFAADECF..DE..RITTBBRI.. C97 H98 
6 4 2	..HH.Y.....YC.AADECF.IDECFRITTBBR... C98 H99 F99 I99 
6 4 2	C.HH.YC....YCFAADE.F.IDE..RITTBBR... H99 D96 I99 
6 4 2	...HHYC...DYCFAADECFR..E..RITTBB.I.. C99 H98 D99 R99 
6 4 2	..HH.YC...DYCFAADECFR..E..RITTBB.I.. C99 H99 D99 R99 
6 4 2	...HHYC...DYCFAADECF.I.E..RITTBBR... C99 H98 D99 I99 
6 4 2	.HH..YC...DYCFAADECFRI.E..RITTBB.... C99 D99 R99 I99 
6 4 2	.HH..Y.F..DYCFAADEC.R..EC.RITTBB.I.. C98 F99 D99 R99 
6 4 2	...HHY.....YCFAADECFR.DEC.RITTBB.I.. C98 H98 R99 
6 4 2	..HH.YC....YC.AADECF..DE.FRITTBBRI.. C97 H99 F99 
6 4 2	.HH..Y.....YCFAADECFR.DEC.RITTBB.I.. H98 C98 R99 
6 4 2	.HH..Y.F..DYCFAADEC..I.EC.RITTBBR... C98 F99 D99 I99 
6 4 2	..HH.Y.....YCFAADECFR.DEC.RITT.BBI.. C98 H99 R99 B99 
6 4 2	.HH..YCF..DYCFAADEC.R..E..RITTBB.I.. C99 D99 F99 R99 
6 4 2	.HH..YC....YCFAADECF..DE..RITTBBRI.. H98 C97 
6 4 2	..HH.Y....DYCFAADECF.I.EC.RITTBBR... C98 H99 D99 I99 
6 4 2	HH...YC....YCFAADECF..DE..RITTBBRI.. H99 D96 C99 
6 4 2	CFHH.YCF..DYC.AADE.....E..RITTBBRI.. H99 F98 D97 
6 4 2	.HH..Y....DYC.AADECF...ECFRITTBBRI.. C98 D97 F99 
6 4 2	.HH..YC....YC.AADECF..DE.FRITTBBRI.. C99 D96 F99 
6 4 2	C.HH.YC....YCFAADE.FR.DE..RITTBB.I.. H99 D96 R99 
6 4 2	..HH.YC....YCFAADECF..DE..RITTBBRI.. C99 H99 D96 
6 4 2	CHH.DYC..IDYCAAI.E.F...E.FR.TTBBR... F99 A99 D98 I97 
6 4 2	CHH.DYC...DYCAAI.E.F.I.E.FR.TTBBR... F99 A99 D98 I98 
6 4 2	CHH..YC...DYCAA.DE.F...E.FRITTBBRI.. F99 A99 D97 
6 4 2	C.HH.YC...DYCFAADE.FR..E..RITTBB.I.. H99 D97 R99 
6 4 2	CHH..YC...DYC.AADE.FR..E.FRITTBB.I.. F99 D97 R99 
6 4 2	.HH..YCF..DYCFAADEC....E..RITTBBRI.. C99 D97 F99 
6 4 2	CHH..YC....YCFAADE.FR.DE..RITT.BBI.. D96 R99 B99 
7 7 0	CHHIDYC..IDYC...AA.F.....FRTTEBBR..E F99 A96 D98 E98 I96 T99 
