7 0 7	VVBC....BCDEAABCDEHJ..F.HJNNFI.KK.FI 
11 5 6	.VVC.E..BCDEAABCD.HJB.FIHJNNFIKK..F. V99 B99 E99 I99 K99 
11 7 4	..VVDE..BCDEAABC..HJBCFIHJNNFI..KKF. V98 B99 C99 D99 E99 I99 K99 
11 5 6	VV...E..BCDEAABCD..JBCFIHJNNFIHKK.F. B99 C99 E99 H99 I99 
11 5 6	VV...E..BCDEAABCD..JBCFIHJNNFIHKK.F. B99 C99 E99 H99 I99 
11 5 6	..VV.E..BCDEAABCD.HJBCFIHJNNFI.KK.F. V98 B99 C99 E99 I99 
11 7 4	..VVDE..BCDEAABC..HJBCFIHJNNFI.KK.F. V98 B99 C99 D99 E99 I99 
11 7 4	.VVCDE..BCDEAABC...JB.FIHJNNFIH.KKF. V99 B99 D99 E99 H99 I99 K99 
11 5 6	VV.CDE..BCDEAABCF..JB.F.HJNNFIHKK..I B99 D99 E99 H99 F99 
11 5 6	VV...E..BCDEAABCD..JBCFIHJNNFIHKK.F. B99 C99 E99 H99 I99 
11 7 4	..VVDE..BCDEAABC..HJBCFIHJNNFIKK..F. V98 B99 C99 D99 E99 I99 K99 
11 3 8	VVB.....BCD.AABCDEHJ.CFEHJNNFI..KKFI C99 E99 K99 
10 4 6	VVB.D...BCD.AABC.EHJ.CFEHJNNFI..KKFI C99 D99 E99 K99 
11 5 6	VVB.D...BCD.AABC.EH..CFEHJNNFI.JKKFI C99 D99 E99 J99 K99 
11 5 6	VVB.DE..BCDEAABCF.HJ.CF.HJNNFIKK...I C99 D99 E99 F99 K99 
11 5 6	.VVC.E..BCDEAABCD.HJB.F.HJNNFI.KK.FI V99 B99 E99 H98 
11 4 7	.VVCD...BCDEAABCFEHJB.F.HJNNFI.KK..I V99 B99 D99 F99 
11 5 6	VV..DE..BCDEAABCF.HJBCF.HJNNFI.KK..I B99 C99 D99 E99 F99 
11 5 6	.VVCDE..BCDEAABCF.HJB.F.HJNNFI.KK..I V99 B99 D99 E99 F99 
11 5 6	VVB.DE..BCDEAABC.I.J.CFIHJNNF.HKK.F. C99 D99 E99 H99 I98 
11 5 6	.VVCD...BCD.AABC.EHJB.FEHJNNFIKK..FI V99 B99 D99 E99 K99 
11 6 5	VVB.D...BCDEAABC.E.J.CF.HJNNFIH.KKFI C99 D99 E98 H99 K99 
11 5 6	.VV.D...BCD.AABC.EHJBCFEHJNNFI.KK.FI V99 B99 C99 D99 E99 
11 5 6	VVBCD...BCD.AABC.E.J..FEHJNNFIHKK.FI B98 D99 E99 H99 
11 7 4	VV.CDE..BCDEAABC....B.FIHJNNFIHJKKF. B99 D99 E99 H99 J99 I99 K99 
11 4 7	.VV.....BCDEAABCDEHJBCF.HJNNFIKK..FI V99 B99 C99 K99 
11 7 4	VV..DE..BCDEAABC....BCF.HJNNFIHJKKFI B99 C99 D99 E99 H99 J99 K99 
11 5 6	VVB..E..BCDEAABCD..J.CF.HJNNFIHKK.FI C99 D98 E99 H99 
11 3 8	VVB.....BCDEAABCDEHJ.CFIHJNNFI..KKF. C99 I99 K99 
11 3 8	VV.C....BCD.AABCDEHJB.FEHJNNFIKK..FI B99 E99 K99 
11 6 5	.VV.D...BCDEAABC.E.JBCF.HJNNFIH.KKFI V99 B99 C99 D99 H99 K99 
11 6 5	.VVCD...BCDEAABC.E..B.F.HJNNFIHJKKFI V99 B99 D99 H99 J99 K99 
11 6 5	..VVD...BCDEAABC.E.JBCF.HJNNFIH.KKFI V98 B99 C99 D99 H99 K99 
11 4 7	.VV.....BCDEAABCDE.JBCF.HJNNFIHKK.FI V99 B99 C99 H99 
11 4 7	VVB.D...BCDEAABCFE.J.CF.HJNNFIHKK..I C99 D99 H99 F99 
11 6 5	..VVD...BCDEAABC.EHJBCF.HJNNFI.KK.FI V98 B99 C99 D99 K98 
11 6 5	.VV.D...BCDEAABC.EHJBCF.HJNNFI.KK.FI V99 B99 C99 D99 K98 
11 5 6	VV.CD...BCDEAABC.EH.B.FIHJNNFI.JKKF. B99 D99 J99 I99 K99 
11 6 5	VV..D...BCDEAABC.E..BCF.HJNNFIHJKKFI B99 C99 D99 H99 J99 K99 
11 5 6	VV...E..BCDEAABCD.H.BCF.HJNNFI.JKKFI B99 C99 E99 J99 K99 
11 7 4	.VV.DE..BCDEAABC..HJBCF.HJNNFI.KK.FI V99 B99 C99 D99 E99 K98 
11 7 4	..VVDE..BCDEAABC..HJBCF.HJNNFI.KK.FI V98 B99 C99 D99 E99 H98 
11 3 8	VV.C....BCD.AABCDEHJB.FEHJNNFI..KKFI B99 E99 K99 
10 4 6	VV.CD...BCD.AABC.EHJB.FEHJNNFI..KKFI B99 D99 E99 K99 
11 4 7	VVBCD...BCDEAABCFEH...F.HJNNFI.JKK.I D99 J99 F99 K99 
11 7 4	.VVCDE..BCDEAABC..H.B.FIHJNNFI.JKKF. V99 B99 D99 E99 J99 I99 K99 
11 5 6	VV.CD...BCDEAABC.EHJB.FIHJNNFI.KK.F. B99 D99 H98 I99 
11 3 8	VV.C....BCDEAABCDEHJB.FIHJNNFI..KKF. B99 I99 K99 
11 7 4	.VVCDE..BCDEAABC....B.F.HJNNFIHJKKFI V99 B99 D99 E99 H99 J99 K99 
11 4 7	VV.C....BCDEAABCDE.JB.F.HJNNFIHKK.FI B99 D98 H99 
11 5 6	VV.CDE..BCDEAABCF.HJB.F.HJNNFI..KK.I B99 D99 E99 F99 K99 
11 5 6	VV.CD...BCD.AABC.EHJB.FEHJNNFI..KKFI B99 D99 E97 K99 
11 7 4	.VV.DE..BCDEAABC..HJBCFIHJNNFI..KKF. V99 B99 C99 D99 E99 I99 K99 
11 5 6	VVB.DE..BCDEAABC.IHJ.CFIHJNNF..KK.F. C99 D99 E99 I98 
11 7 4	.VV.DE..BCDEAABC...JBCF.HJNNFIH.KKFI V99 B99 C99 D99 E99 H99 K99 
11 7 4	.VV.DE..BCDEAABC..H.BCF.HJNNFI.JKKFI V99 B99 C99 D99 E99 J99 K99 
11 7 4	VV..DE..BCDEAABC...JBCFIHJNNFIH.KKF. B99 C99 D99 E99 H99 I99 K99 
11 7 4	VV..DE..BCDEAABC..HJBCFIHJNNFI.KK.F. B99 C99 D99 E99 H98 I99 
11 4 7	VVB.D...BCDEAABCFEHJ.CF.HJNNFI..KK.I C99 D99 F99 K99 
11 7 4	VV.CDE..BCDEAABC...JB.FIHJNNFIHKK.F. B99 C98 D99 E99 H99 I99 
11 7 4	VVB.DE..BCDEAABC...J.CFIHJNNFIHKK.F. B98 C99 D99 E99 H99 I99 
11 5 6	VV.CD...BCD.AABC.E.JB.FEHJNNFIH.KKFI B99 D99 E99 H99 K99 
11 3 8	VVBC....BCD.AABCDEHJ..FEHJNNFI.KK.FI E99 K98 
11 5 6	VVBCDE..BCDEAABCF.HJ..FIHJNNFI..KK.. D99 E99 F99 I99 K99 
11 7 4	.VV.DE..BCDEAABC...JBCFIHJNNFIHKK.F. V99 B99 C99 D99 E99 H99 I99 
11 5 6	VVBCDE..BCDEAABCF..J..F.HJNNFIH.KK.I D99 E99 H99 F99 K99 
11 5 6	VVBCD...BCDEAABC.E....FIHJNNFIHJKKF. D99 H99 J99 I99 K99 
11 5 6	VVBCDE..BCDEAABCF.H...F.HJNNFI.JKK.I D99 E99 J99 F99 K99 
11 5 6	VVBCD...BCD.AABC.E....FEHJNNFIHJKKFI D99 E99 H99 J99 K99 
11 5 6	.VVCD...BCD.AABC.EHJB.FEHJNNFIKK..FI V99 B99 D99 E99 K99 
11 5 6	VVBCDE..BCDEAABCF.HJ..FIHJNNFI....KK D99 E99 F99 I99 K97 
11 3 8	VVBC....BCD.AABCDE.J..FEHJNNFIH.KKFI E99 H99 K99 
11 3 8	VVBC....BCD.AABCDEHJ..FEHJNNFI..KKFI E97 K99 
11 5 6	VVBCDE..BCDEAABC.IH...FIHJNNF..JKKF. D99 E99 J99 I98 K99 
11 4 7	.VVC....BCDEAABCDEHJB.F.HJNNFI.KK.FI V99 B99 K98 
11 4 7	VV.CD...BCDEAABCFEHJB.F.HJNNFI..KK.I B99 D99 F99 K99 
11 5 6	VV.CD...BCD.AABC.EH.B.FEHJNNFI.JKKFI B99 D99 E99 J99 K99 
11 7 4	..VVDE..BCDEAABC...JBCFIHJNNFIHKK.F. V98 B99 C99 D99 E99 H99 I99 
11 5 6	.VVC.E..BCDEAABCD.HJB.FIHJNNFI..KKF. V99 B99 E99 I99 K99 
11 5 6	VVBCDE..BCDEAABC.I.J..FIHJNNF.H.KKF. D99 E99 H99 I98 K99 
11 4 7	VV.CD...BCDEAABCFEHJB.F.HJNNFIKK...I B99 D99 F99 K99 
11 5 6	VVBCD...BCD.AABC.EH...FEHJNNFI.JKKFI D99 E97 J99 K99 
11 5 6	VVB..E..BCDEAABCD.H..CFIHJNNFI.JKKF. C99 E99 J99 I99 K99 
11 4 7	VVBCD...BCDEAABCFE.J..F.HJNNFIH.KK.I D99 H99 F99 K99 
12 6 6	.VV..E..BCDEAABCD.HJBCFIHJNNFI..KKF. V99 B99 C99 E99 I99 K99 
12 6 6	VV.CD...BCDEAABC.EHJB.FIHJNNFI..KKF. B99 D99 H98 I99 K99 
12 6 6	VVBCDE..BCDEAABC.I....FIHJNNF.HJKKF. D99 E99 H99 J99 I98 K99 
12 6 6	..VVD...BCDEAABC.EHJBCFIHJNNFIKK..F. V98 B99 C99 D99 I99 K99 
12 6 6	..VV.E..BCDEAABCD.HJBCF.HJNNFI..KKFI V98 B99 C99 E99 K97 
12 6 6	..VVDE..BCDEAABCF.HJBCF.HJNNFI.KK..I V98 B99 C99 D99 E99 F99 
12 6 6	.VV.D...BCD.AABC.EHJBCFEHJNNFIKK..FI V99 B99 C99 D99 E99 K99 
12 5 7	VVBCD...BCDEAABCFE.J..F.HJNNFIH..KKI D99 H99 F99 K98 
12 8 4	.VV.DE..BCDEAABC..H.BCFIHJNNFI.JKKF. V99 B99 C99 D99 E99 J99 I99 K99 
12 6 6	.VV.DE..BCDEAABCF.HJBCF.HJNNFI.KK..I V99 B99 C99 D99 E99 F99 
12 6 6	VVB.D...BCD.AABC.E...CFEHJNNFIHJKKFI C99 D99 E99 H99 J99 K99 
12 5 7	VV......BCDEAABCDEH.BCF.HJNNFI.JKKFI B99 C99 J99 K97 
12 6 6	.VVC.E..BCDEAABCD..JB.FIHJNNFIH.KKF. V99 B99 E99 H99 I99 K99 
12 6 6	VV.C.E..BCDEAABCD..JB.F.HJNNFIH.KKFI B99 E99 H99 I98 K99 
12 6 6	VV...E..BCDEAABCD..JBCF.HJNNFIH.KKFI B99 C99 E99 H99 K97 
12 4 8	VV.C....BCDEAABCDE.JB.FIHJNNFIH.KKF. B99 H99 I99 K99 
12 6 6	VVBC.E..BCDEAABCD.....F.HJNNFIHJKKFI E99 H99 J99 I98 K99 
12 5 7	.VV.....BCDEAABCDEHJBCF.HJNNFI..KKFI V99 B99 C99 K97 
12 6 6	VV.C.E..BCDEAABCD...B.FIHJNNFIHJKKF. B99 E99 H99 J99 I99 K99 
12 6 6	.VVCD...BCDEAABC.EHJB.FIHJNNFI.KK.F. V99 B99 D99 E98 I99 
12 5 7	.VVCD...BCDEAABCFE.JB.F.HJNNFIHKK..I V99 B99 D99 H99 F99 
12 6 6	VV...E..BCDEAABCD..JBCFIHJNNFIH.KKF. B99 C99 E99 H99 I99 K99 
12 5 7	.VV.D...BCDEAABCFEHJBCF.HJNNFI.KK..I V99 B99 C99 D99 F99 
12 6 6	VV..DE..BCDEAABCF..JBCF.HJNNFIHKK..I B99 C99 D99 E99 H99 F99 
12 5 7	VV.CD...BCDEAABCFEH.B.F.HJNNFI.J.KKI B99 D99 J99 F99 K98 
12 5 7	VVBC....BCDEAABCDE....F.HJNNFIHJKKFI D98 H99 J99 K99 
12 6 6	VVB.D...BCDEAABC.E...CFIHJNNFIHJKKF. C99 D99 H99 J99 I99 K99 
11 7 4	VVB.DE..BCDEAABC.....CFIHJNNFIHJKKF. C99 D99 E99 H99 J99 I99 K99 
12 5 7	VV..D...BCDEAABCFEHJBCF.HJNNFI...KKI B99 C99 D99 F99 K98 
12 5 7	VV.CD...BCDEAABCFE.JB.F.HJNNFIH..KKI B99 D99 H99 F99 K98 
12 5 7	VV......BCDEAABCDE..BCF.HJNNFIHJKKFI B99 C99 H99 J99 K99 
12 5 7	.VVCD...BCDEAABCFEHJB.F.HJNNFI...KKI V99 B99 D99 F99 K98 
12 5 7	VV.CD...BCDEAABCFEH.B.F.HJNNFI.JKK.I B99 D99 J99 F99 K99 
12 5 7	..VV....BCDEAABCDEHJBCF.HJNNFI..KKFI V98 B99 C99 K97 
12 5 7	...VV...BCDEAABCDE.JBCF.HJNNFIH.KKFI V97 B99 C99 H99 K99 
12 6 6	.VV.D...BCD.AABC.E.JBCFEHJNNFIHKK.FI V99 B99 C99 D99 E99 H99 
12 4 8	VVBCD...BCDEAABCFEHJ..FIHJNNFIKK.... D99 F99 I99 K99 
12 5 7	VV..D...BCDEAABCFE.JBCF.HJNNFIHKK..I B99 C99 D99 H99 F99 
12 6 6	VVB.D...BCD.AABC.E...CFEHJNNFIHJKKFI C99 D99 E99 H99 J99 K99 
12 4 8	VVBC....BCDEAABCDEH...FIHJNNFI.JKKF. J99 I99 K97 
12 5 7	.VV.....BCDEAABCDE.JBCF.HJNNFIH.KKFI V99 B99 C99 H99 K99 
12 5 7	..VV....BCDEAABCDEHJBCF.HJNNFI.KK.FI V98 B99 C99 K98 
12 5 7	...VV...BCDEAABCDEHJBCF.HJNNFI.KK.FI V97 B99 C99 K98 
12 6 6	...VVE..BCDEAABCD..JBCF.HJNNFIH.KKFI V97 B99 C99 E99 H99 K99 
12 6 6	VVB.D...BCDEAABC.EHJ.CFIHJNNFIKK..F. B98 C99 D99 I99 K99 
12 6 6	VV.CDE..BCDEAABCF..JB.FIHJNNFIHKK... B99 D99 E99 H99 F99 I99 
12 6 6	VV..DE..BCDEAABC.I.JBCFIHJNNF.HKK.F. B99 C99 D99 E99 H99 I98 
12 5 7	.VV.....BCDEAABCDEHJBCF.HJNNFI.KK.FI V99 B99 C99 K98 
12 4 8	VVB.D...BCD.AABCFEHJ.CFEHJNNFI.KK..I C99 D99 E99 F99 
12 6 6	.VVC.E..BCDEAABCD.H.B.FIHJNNFI.JKKF. V99 B99 E99 J99 I99 K99 
12 6 6	VV.CD...BCDEAABC.EHJB.FIHJNNFIKK..F. B99 C98 D99 I99 K99 
12 6 6	..VV.E..BCDEAABCD..JBCF.HJNNFIHKK.FI V98 B99 C99 E99 H99 
12 5 7	.VVCD...BCDEAABCFEHJB.F.HJNNFI..KK.I V99 B99 D99 F99 K99 
12 6 6	.VVCDE..BCDEAABCF.HJB.F.HJNNFI...KKI V99 B99 D99 E99 F99 K98 
12 4 8	VVB..E..BCDEAABCDIHJ.CFIHJNNF.KK..F. C99 E99 I98 K99 
11 5 6	VVB.DE..BCDEAABC.IHJ.CFIHJNNF.KK..F. C99 D99 E99 I98 K99 
12 6 6	VVB.D...BCD.AABC.EHJ.CFEHJNNFI..KKFI C99 D99 E99 J98 K99 
12 6 6	VV.CDE..BCDEAABCF.HJB.FIHJNNFI...KK. B99 D99 E99 F99 I99 K98 
12 4 8	VVBCD...BCDEAABCFE.J..FIHJNNFIHKK... D99 H99 F99 I99 
12 6 6	..VV.E..BCDEAABCD.HJBCF.HJNNFI..KKFI V98 B99 C99 E99 K99 
12 6 6	...VVE..BCDEAABCD.HJBCF.HJNNFI..KKFI V97 B99 C99 E99 K99 
12 6 6	VV.CDE..BCDEAABCF..JB.F.HJNNFIH.KK.I B99 D99 E99 H99 F99 K99 
12 6 6	VVBCDE..BCDEAABCF.....F.HJNNFIHJ.KKI D99 E99 H99 J99 F99 K98 
12 8 4	VV..DE..BCDEAABC..H.BCF.HJNNFI.JKKFI V96 D99 E99 B99 C99 J99 K99 
12 6 6	VVBCDE..BCDEAABCF..J..FIHJNNFIH..KK. D99 E99 H99 F99 I99 K98 
12 4 8	VV......BCDEAABCDE.JBCFIHJNNFIHKK.F. B99 C99 H99 I99 
12 4 8	VV......BCDEAABCDEHJBCFIHJNNFI..KKF. B99 C99 I99 K99 
12 6 6	VVB.DE..BCDEAABCF..J.CF.HJNNFIH..KKI C99 D99 E99 H99 F99 K98 
12 6 6	VVB.DE..BCDEAABCF.H..CF.HJNNFI.J.KKI C99 D99 E99 J99 F99 K98 
12 6 6	...VVE..BCDEAABCD.HJBCFIHJNNFI..KKF. V97 B99 C99 E99 I99 K99 
12 6 6	VV..DE..BCDEAABCF.HJBCF.HJNNFI...KKI B99 C99 D99 E99 F99 K98 
12 6 6	.VV.D...BCDEAABC.EHJBCFIHJNNFI..KKF. V99 B99 C99 D99 I99 K99 
12 6 6	...VVE..BCDEAABCD.HJBCFIHJNNFIKK..F. V97 B99 C99 E99 I99 K99 
12 6 6	VV..DE..BCDEAABCF.HJBCFIHJNNFI.KK... B99 C99 D99 E99 F99 I99 
12 6 6	...VVE..BCDEAABCD.HJBCF.HJNNFI.KK.FI V97 B99 C99 E99 I98 
12 6 6	...VVE..BCDEAABCD..JBCFIHJNNFIHKK.F. V97 B99 C99 E99 H99 I99 
12 4 8	VV.C.E..BCDEAABCDIHJB.FIHJNNF.KK..F. B99 E99 I98 K99 
12 4 8	VVBCDE..BCDEAABCFIHJ..FIHJNNF..KK... D99 E99 F99 I98 
12 6 6	..BVVE..BCDEAABCD.HJ.CFIHJNNFI.KK.F. V97 B98 C99 E99 I99 
12 6 6	.VV..E..BCDEAABCD.HJBCFIHJNNFI.KK.F. V95 E99 B99 C99 I99 
12 6 6	VVB.D...BCDEAABC.E.J.CFIHJNNFIHKK.F. B98 C99 D99 H99 I99 
12 4 8	.VVC....BCDEAABCDEHJB.FIHJNNFIKK..F. V99 B99 I99 K99 
12 6 6	.VV.D...BCD.AABC.EHJBCFEHJNNFI..KKFI V99 B99 C99 D99 E99 K99 
12 4 8	.VVC....BCD.AABCDEHJB.FEHJNNFIKK..FI V99 B99 E99 K99 
12 6 6	VVB.D...BCD.AABC.E.J.CFEHJNNFIH.KKFI C99 D99 E97 H99 K99 
12 4 8	....VV..BCDEAABCDEHJBCFIHJNNFI.KK.F. V96 B99 C99 I99 
12 4 8	VV.C....BCDEAABCDEHJB.FIHJNNFI.KK.F. B99 C98 I99 
12 4 8	..VV....BCDEAABCDEHJBCFIHJNNFI.KK.F. V98 B99 C99 I99 
12 4 8	VVBC.E..BCDEAABCDI.J..FIHJNNF.HKK.F. E99 H99 I98 
11 5 6	VVBC.E..BCDEAABCD..J..F.HJNNFIHKK.FI E99 H99 I96 
12 8 4	..VVDE..BCDEAABC...JBCFIHJNNFIH.KKF. V98 B99 C99 D99 E99 H99 I99 K99 
12 6 6	VVB.DE..BCDEAABC.IHJ.CFIHJNNF...KKF. C99 D99 E99 I98 K99 
12 8 4	..VVDE..BCDEAABC....BCF.HJNNFIHJKKFI V98 B99 C99 D99 E99 H99 J99 K99 
12 6 6	VVB.DE..BCDEAABCF.HJ.CF.HJNNFI..KK.I C99 D99 E97 F99 K99 
12 4 8	VVBCD...BCDEAABCFEHJ..FIHJNNFI....KK D99 F99 I99 K97 
12 6 6	.VVC.E..BCDEAABCD...B.F.HJNNFIHJKKFI V99 B99 E99 H99 J99 K99 
12 6 6	.VV..E..BCDEAABCD.H.BCF.HJNNFI.JKKFI V99 B99 C99 E99 J99 K99 
12 6 6	VVB.DE..BCDEAABCF.HJ.CFIHJNNFIKK.... C99 D99 E99 F99 I99 K99 
12 5 7	VVB.D...BCDEAABCFEHJ.CF.HJNNFI...KKI C99 D99 F99 K96 
12 6 6	.VVCD...BCDEAABC.EHJB.FIHJNNFI..KKF. V99 B99 D99 I99 K97 
12 6 6	VVBCD...BCDEAABC.EH...FIHJNNFI.JKKF. D99 E98 J99 I99 K99 
12 6 6	VVBCDE..BCDEAABC.IHJ..FIHJNNF..KK.F. B98 D99 E99 I98 
12 6 6	VVB.DE..BCDEAABCF.HJ.CFIHJNNFI...KK. C99 D99 E99 F99 I99 K98 
12 6 6	.VV..E..BCDEAABCD.HJBCF.HJNNFI.KK.FI V99 B99 C99 E99 K98 
12 6 6	VVBCDE..BCDEAABCF.H...FIHJNNFI.J.KK. D99 E99 J99 F99 I99 K98 
12 6 6	VVBCD...BCD.AABC.E.J..FEHJNNFIH.KKFI D99 E99 H99 J98 K99 
12 6 6	VV..D...BCDEAABC.EH.BCFIHJNNFI.JKKF. B99 C99 D99 J99 I99 K99 
12 4 8	VVB..E..BCDEAABCDI.J.CFIHJNNF.HKK.F. C99 E99 H99 I98 
12 4 8	.VVC.E..BCDEAABCDIHJB.FIHJNNF..KK.F. V99 B99 E99 I98 
11 5 6	.VVCDE..BCDEAABC.IHJB.FIHJNNF..KK.F. V99 B99 D99 E99 I98 
12 5 7	VV......BCDEAABCDE.JBCF.HJNNFIHKK.FI B99 C99 H99 K98 
12 6 6	VV.C.E..BCDEAABCD.H.B.FIHJNNFI.JKKF. B99 E99 J99 I97 K99 
12 6 6	.VV..E..BCDEAABCD.HJBCFIHJNNFI.KK.F. V99 B99 C99 E99 I97 
12 4 8	VV......BCD.AABCDEHJBCFEHJNNFIKK..FI B99 C99 E99 K99 
11 5 6	VV..D...BCD.AABC.EHJBCFEHJNNFIKK..FI B99 C99 D99 E99 K99 
12 4 8	.VVC....BCD.AABCDE.JB.FEHJNNFIHKK.FI V99 B99 E99 H99 
12 6 6	.VV.DE..BCDEAABC.IHJBCFIHJNNF..KK.F. V99 B99 C99 D99 E99 I98 
12 6 6	..VV.E..BCDEAABCD.HJBCF.HJNNFI.KK.FI V98 B99 C99 E99 H98 
12 6 6	VV..D...BCD.AABC.E.JBCFEHJNNFIH.KKFI B99 C99 D99 E99 H99 K99 
12 4 8	VVB.D...BCDEAABCFEHJ.CFIHJNNFI.KK... C99 D99 F99 I99 
12 6 6	VV.CDE..BCDEAABCF.HJB.FIHJNNFI....KK B99 D99 E99 F99 I99 K97 
12 4 8	VV......BCD.AABCDEHJBCFEHJNNFIKK..FI B99 C99 E99 K99 
12 4 8	VV.CD...BCDEAABCFEHJB.FIHJNNFI.KK... B99 D99 F99 I99 
12 5 7	..BVV...BCDEAABCDEHJ.CF.HJNNFIKK..FI V97 B98 C99 K99 
12 4 8	VVB.....BCD.AABCDE.J.CFEHJNNFIH.KKFI C99 E99 H99 K99 
12 6 6	VVBCDE..BCDEAABCF..J..FIHJNNFIH.KK.. D99 E99 H99 F99 I99 K99 
12 6 6	VV..DE..BCDEAABC.IHJBCFIHJNNF.KK..F. B99 C99 D99 E99 I98 K99 
12 6 6	VV..DE..BCDEAABCF.HJBCF.HJNNFIKK...I B99 C99 D99 E99 F99 K99 
12 6 6	VVB.DE..BCDEAABCF..J.CFIHJNNFIHKK... C99 D99 E99 H99 F99 I99 
12 6 6	..VVD...BCD.AABC.EHJBCFEHJNNFIKK..FI V98 B99 C99 D99 E99 K99 
12 6 6	VVB.DE..BCDEAABCF.HJ.CF.HJNNFIKK...I C99 D99 E97 F99 K99 
12 6 6	.VVCDE..BCDEAABCF.HJB.F.HJNNFIKK...I V99 B99 D99 E99 F99 K99 
12 6 6	..VV.E..BCDEAABCD..JBCFIHJNNFIHKK.F. V98 B99 C99 E99 H99 I99 
12 6 6	.VVCDE..BCDEAABC.IHJB.FIHJNNF.KK..F. V99 B99 D99 E99 I98 K99 
12 6 6	..VV.E..BCDEAABCD.HJBCFIHJNNFI..KKF. V98 B99 C99 E99 I99 K99 
12 8 4	.VVCDE..BCDEAABC....B.FIHJNNFIHJKKF. V99 B99 D99 E99 H99 J99 I99 K99 
12 8 4	.VV.DE..BCDEAABC...JBCFIHJNNFIH.KKF. V99 B99 C99 D99 E99 H99 I99 K99 
12 4 8	VV......BCD.AABCDEHJBCFEHJNNFI..KKFI B99 C99 E99 K99 
12 6 6	.VVCD...BCD.AABC.E.JB.FEHJNNFIH.KKFI V99 B99 D99 E99 H99 K99 
12 4 8	VV.CD...BCD.AABCFEHJB.FEHJNNFI.KK..I B99 D99 E99 F99 
12 4 8	VV......BCDEAABCDEHJBCFIHJNNFIKK..F. B99 C99 I99 K99 
11 5 6	VV...E..BCDEAABCD.HJBCFIHJNNFIKK..F. B99 C99 E99 I99 K99 
12 5 7	VVB.D...BCDEAABCFEHJ.CF.HJNNFI.KK..I C99 D99 F99 I98 
12 6 6	VV..D...BCDEAABC.E.JBCFIHJNNFIH.KKF. B99 C99 D99 H99 I99 K99 
12 7 5	VVB.D...BCDEAABC.E...CF.HJNNFIHJKKFI C99 D99 E98 H99 J99 K99 
12 4 8	....VV..BCDEAABCDEHJBCF.HJNNFIKK..FI V96 B99 C99 K99 
12 6 6	.VV.D...BCD.AABC.EHJBCFEHJNNFI..KKFI V99 B99 C99 D99 E99 K99 
12 6 6	..VV.E..BCDEAABCD.HJBCFIHJNNFIKK..F. V98 B99 C99 E99 I99 K99 
12 6 6	VV...E..BCDEAABCD.HJBCFIHJNNFI..KKF. B99 C99 E99 I99 K97 
12 6 6	.VVCD...BCD.AABC.EH.B.FEHJNNFI.JKKFI V99 B99 D99 E99 J99 K99 
12 4 8	VV.C....BCD.AABCDEH.B.FEHJNNFI.JKKFI B99 E99 J99 K99 
12 6 6	VVBC.E..BCDEAABCD..J..F.HJNNFIHKK.FI C98 D98 E99 H99 
12 4 8	VV.C....BCD.AABCDEHJB.FEHJNNFI.KK.FI B99 E99 K98 
12 6 6	..VVD...BCDEAABC.E.JBCFIHJNNFIHKK.F. V98 B99 C99 D99 H99 I99 
12 4 8	VVB.....BCDEAABCDEH..CFIHJNNFI.JKKF. C99 J99 I99 K99 
12 6 6	VV...E..BCDEAABCD.HJBCF.HJNNFIKK..FI B99 C99 D98 E99 K99 
12 6 6	.VV.D...BCD.AABC.EHJBCFEHJNNFIKK..FI V99 B99 C99 D99 E99 K99 
12 6 6	.VVCDE..BCDEAABCF.HJB.FIHJNNFI.KK... V99 B99 D99 E99 F99 I99 
12 6 6	VV.CDE..BCDEAABC.IH.B.FIHJNNF..JKKF. B99 D99 E99 J99 I98 K99 
12 6 6	VV..D...BCD.AABC.EH.BCFEHJNNFI.JKKFI B99 C99 D99 E99 J99 K99 
12 5 7	VVB.D...BCDEAABCFE.J.CF.HJNNFIH..KKI C99 D99 H99 F99 K98 
12 6 6	VVB..E..BCDEAABCD.H..CF.HJNNFI.JKKFI B98 C99 E99 J99 K99 
12 6 6	VVB.DE..BCDEAABC.IH..CFIHJNNF..JKKF. C99 D99 E99 J99 I98 K99 
12 4 8	VVBCD...BCD.AABCFE.J..FEHJNNFIHKK..I D99 E99 H99 F99 
12 6 6	...VVE..BCDEAABCD.H.BCF.HJNNFI.JKKFI V97 B99 C99 E99 J99 K99 
12 4 8	VVBC.E..BCDEAABCDI.J..FIHJNNF.H.KKF. E99 H99 I98 K99 
12 4 8	.VV.....BCDEAABCDEHJBCFIHJNNFI.KK.F. V99 B99 C99 I99 
11 5 6	.VV.D...BCDEAABC.EHJBCFIHJNNFI.KK.F. V99 B99 C99 D99 I99 
12 4 8	VVBCD...BCD.AABCFEHJ..FEHJNNFIKK...I D99 E99 F99 K99 
12 6 6	..BVVE..BCDEAABCD.HJ.CF.HJNNFIKK..FI V97 B98 C99 E99 K99 
12 8 4	..VVDE..BCDEAABC..H.BCFIHJNNFI.JKKF. V98 B99 C99 D99 E99 J99 I99 K99 
12 5 7	VVBCD...BCDEAABCFEHJ..F.HJNNFI..KK.I D99 E98 F99 K99 
12 6 6	.VVC.E..BCDEAABCD.HJB.FIHJNNFI.KK.F. V99 B99 D98 E99 I99 
12 6 6	VV.C.E..BCDEAABCD..JB.FIHJNNFIHKK.F. B99 D98 E99 H99 I99 
