3 0 3	U.B..DU.BCCDAABT.DFW.TKKFWLLL..WOOO. 
11 10 1	U..T.DUCCT.DFWBAADFWB.KK.WBLLL.OOO.. B96 C98 A97 T98 F99 W99 L99 O97 
11 10 1	...T.DUCCT.DUWBAADFWB.KKFWBLLL.OOO.. U99 T98 C98 W99 B96 A97 L99 O97 
11 10 1	...T.DCC.T.DU..AADUWBKK.FWBLLLFWBOOO U98 T98 C97 A97 B97 K99 F99 L99 O99 
11 10 1	U..T..UCCT.DFWAA.DFWBKKD.WBLLL..BOOO B97 D99 C98 A98 T98 F99 W99 K99 L99 O99 
11 10 1	..BT.DCCBT.DU.BAADUW..KKFW.LLLFW.OOO U98 T98 C97 A97 B94 F99 L99 O99 
11 10 1	...T.DCCBT.DU.BAADUWB.KKFW.LLLFW.OOO U98 T98 C97 A97 B95 F99 L99 O99 
11 10 1	...T...CCT.DU..AADUWBKKDFWBLLLFWBOOO U98 T98 C98 D99 A97 B97 K99 F99 L99 O99 
11 9 2	U....DUCCT.DFAAT.DFWBKK..WBLLL.WBOOO B97 C98 A99 T97 F99 K99 L99 O99 
11 9 2	.....DUCCT.DUAAT.D.WB.KKFWBLLLFWBOOO T97 U99 C98 A99 B97 F99 L99 O99 
11 9 2	U....DUCCT.D.AAT.D.WBKK.FWBLLLFWBOOO B97 C98 A99 T97 F99 K99 L99 O99 
11 9 2	U.....UCCT.DAA.T.D.WBKKDFWBLLLFWBOOO B97 D99 C98 T97 F99 K99 L99 O99 
11 9 2	.....DCC.T.DUAAT.DUWBKK.FWBLLLFWBOOO U98 C97 A99 T99 B97 K99 F99 L99 O99 
11 9 2	U..T..UCCT.DAAB..D.WBKKDFWBLLLFW.OOO B96 D99 C98 T98 F99 K99 L99 O99 
11 9 2	.....D.CCT.DUAAT.DUWB.KKFWBLLLFWBOOO T97 C98 U98 A99 B97 F99 L99 O99 
11 9 2	.....DUCCT.DUAAT.DFWBKK.FWBLLL.WBOOO T97 U99 C98 A99 B97 K99 L99 O99 
11 9 2	U.....UCCT.D.AAT.DFWBKKDFWBLLL.WBOOO B97 D99 C98 A99 T97 K99 L99 O99 
11 8 3	U....DUCCT.DAABT.DFWBKK.FWBLLL.W.OOO B96 C98 T97 K99 L99 O99 
11 8 3	U....DUCCT.DAABT.D.WB.KKFWBLLLFW.OOO B96 C98 T97 F99 L99 O99 
11 8 3	U.....UCCT.DAABT.D.WBKKDFWBLLLFWOOO. B98 D99 C98 T97 F99 K99 L99 
12 11 1	U..T.DUCCT.DFWBAADFWBKK..WBLLL.OOO.. B96 C98 A97 T98 F99 W99 K99 L99 O97 
12 11 1	...T.DCCBT.DU.BAADUWB.KKFW.LLLFWOOO. U98 T98 C97 A97 B95 F99 L99 O98 
12 11 1	U..T..UCCT.DF.BAADFWBKKD.WBLLL.WOOO. B96 D99 C98 A97 T98 F99 K99 L99 O98 
12 11 1	U..T.DUCCT.DFWBAADFWBKK..WBLLL..OOO. B96 C98 A97 T98 F99 W99 K99 L99 O98 
12 11 1	...T.DCC.T.DUWAA.DUWBKK.FWBLLLF.BOOO U98 T98 C97 A98 W99 B97 K99 F99 L99 O99 
12 11 1	...T..UCCT.DU.BAAD.WBKKDFWBLLLFW.OOO U99 T98 C98 D99 A97 F99 B96 K99 L99 O99 
12 11 1	...T.D.CCT.DUWBAADUWBKK.FWBLLLF..OOO U98 T98 C98 W99 A97 B96 K99 F99 L99 O99 
12 11 1	U..T.DUCCT.DFWBAADFWBKK..WBLLLOOO... B96 C98 A97 T98 F99 W99 K99 L99 O96 
12 11 1	U..T..UCCT.D.WBAAD.WBKKDFWBLLLF..OOO B96 D99 C98 A97 T98 F99 W99 K99 L99 O99 
12 11 1	...T.D.CCT.DUWBAADUWB.KKFWBLLLFOOO.. U98 T98 C98 W99 A97 B96 F99 L99 O97 
12 11 1	...T.D.CCT.DU.BAADUWBKK.FWBLLLFWOOO. U98 T98 C98 A97 B96 K99 F99 L99 O98 
12 11 1	...T.DCCBT.DU.BAADUWB.KKFWLLL.FW.OOO U98 T98 C97 A97 B95 F99 L98 O99 
12 11 1	...T..CC.T.DU..AADUWBKKDFWBLLLFWBOOO U98 T98 D99 C97 A97 B97 K99 F99 L99 O99 
12 11 1	...T.DUCCT.DUWBAAD.WBKK.FWBLLLF..OOO U99 T98 C98 W99 A97 B96 K99 F99 L99 O99 
12 11 1	U..T..UCCT.D.WBAADFWBKKDFWBLLLOOO... B96 D99 C98 A97 T98 W99 K99 L99 O96 
12 11 1	...T..UCCT.DUWBAADFWBKKDFWBLLL...OOO U99 T98 C98 D99 W99 A97 B96 K99 L99 O99 
12 11 1	...T..UCCT.DUWAA.D.WBKKDFWBLLLF.BOOO U99 T98 D99 C98 A98 W99 B97 K99 F99 L99 O99 
12 11 1	...T.DUCCT.DU.BAAD.WBKK.FWBLLLFWOOO. U99 T98 C98 A97 B96 K99 F99 L99 O98 
12 11 1	..BT.DCCBT.DU.BAADUWKK..FW.LLLFW.OOO U98 T98 C97 A97 B94 K98 F99 L99 O99 
12 11 1	...T.DUCCT.DUWBAAD.WB.KKFWBLLLF.OOO. U99 T98 C98 W99 B96 A97 F99 L99 O98 
12 11 1	..BT.DCCBT.DU.BAADUW..KKFWLLL.FW.OOO U98 T98 C97 A97 B94 F99 L98 O99 
12 11 1	U..T.DUCCT.D.WBAAD.WBKK.FWBLLLF.OOO. B96 C98 A97 T98 F99 W99 K99 L99 O98 
12 11 1	...T..CC.T.DUAA..DUWBKKDFWBLLLFWBOOO U98 T98 D99 C97 A99 B97 K99 F99 L99 O99 
12 11 1	...T.DUCCT.DUWBAADFWBKK.FWBLLL..OOO. U99 T98 C98 B96 A97 W99 K99 L99 O98 
12 11 1	..BT.DCCBT.DU.BAADUW..KKFW.LLLFWOOO. U98 T98 C97 A97 B94 F99 L99 O98 
12 11 1	U..T..UCCT.DFWBAADFWBKKD.WBLLL...OOO B96 D99 C98 A97 T98 F99 W99 K99 L99 O99 
12 11 1	U..T.DUCCT.D.WBAAD.WBKK.FWBLLLFOOO.. B96 C98 A97 T98 F99 W99 K99 L99 O97 
12 11 1	...T...CCT.DU.BAADUWBKKDFWBLLLFW.OOO U98 T98 C98 D99 B96 A97 K99 F99 L99 O99 
12 11 1	U..T..UCCT.D.WBAADFWBKKDFWBLLL.OOO.. B96 D99 C98 A97 T98 W99 K99 L99 O97 
12 11 1	...T..UCCT.DU.BAADFWBKKDFWBLLL.WOOO. U99 T98 C98 D99 A97 B96 K99 L99 O98 
12 11 1	...T.DUCCT.DUWBAADFWBKK.FWBLLLOOO... U99 T98 C98 W99 B96 A97 K99 L99 O96 
12 11 1	...T.DUCCT.DUWBAADFWBKK.FWBLLL.OOO.. U99 T98 C98 W99 B96 A97 K99 L99 O97 
12 11 1	U..T..UCCT.D.WBAADFWBKKDFWBLLL..OOO. B96 D99 C98 A97 T98 W99 K99 L99 O98 
12 11 1	...T.DCC.T.DU.BAADUWB.KKFWBLLLFWOOO. U98 T98 C97 A97 B96 F99 L99 O98 
12 11 1	U..T..UCCT.D..BAAD.WBKKDFWBLLLFWOOO. B96 D99 C98 A97 T98 F99 K99 L99 O98 
12 11 1	...T.DCC.T.DU.BAADUWBKK.FWBLLLFW.OOO U98 T98 C97 A97 B96 K99 F99 L99 O99 
12 11 1	...T.D.CCT.DUWBAADUWB.KKFWBLLLF.OOO. U98 T98 C98 W99 A97 B96 F99 L99 O98 
12 11 1	...T..UCCT.DUW.AAD.WBKKDFWBLLLF.BOOO U99 T98 C98 D99 A97 F99 W99 B97 K99 L99 O99 
12 11 1	...T.DCC.T.DUWBAADUWB.KKFWBLLLF..OOO U98 T98 C97 W99 A97 B96 F99 L99 O99 
12 11 1	...T.DCC.T.DUW.AADUWBKK.FWBLLLF.BOOO U98 T98 C97 W99 A97 B97 K99 F99 L99 O99 
12 11 1	...T...CCT.DUW.AADUWBKKDFWBLLLF.BOOO U98 T98 D99 C98 W99 A97 B97 K99 F99 L99 O99 
12 11 1	...T...CCT.DUWAA.DUWBKKDFWBLLLF.BOOO U98 T98 D99 C98 A98 W99 B97 K99 F99 L99 O99 
12 11 1	..BT.DCCBT.DU.BAADUW.KK.FW.LLLFW.OOO U98 T98 C97 A97 B94 K99 F99 L99 O99 
12 11 1	...T.DCCBT.DU.BAADUWBKK.FW.LLLFW.OOO U98 T98 C97 A97 B95 K99 F99 L99 O99 
12 11 1	...T.DUCCT.DUWBAAD.WB.KKFWBLLLFOOO.. U99 T98 C98 W99 A97 B96 F99 L99 O97 
12 11 1	...T.DCCBT.DUWBAADUWB.KKFW.LLLF..OOO U98 T98 C97 W99 A97 B95 F99 L99 O99 
12 11 1	..BT.DCCBT.DUWBAADUW..KKFW.LLLF..OOO U98 T98 C97 W99 A97 B94 F99 L99 O99 
12 11 1	...T..CC.T.DU.AA.DUWBKKDFWBLLLFWBOOO U98 T98 D99 C97 A98 B97 K99 F99 L99 O99 
12 10 2	.....D.CCT.DUAAT.DUWBKK.FWBLLLFWBOOO T97 C98 U98 A99 B97 K99 F99 L99 O99 
12 10 2	U.....UCCT.DFAAT.DFWBKKD.WBLLL.WBOOO B97 D99 C98 A99 T97 F99 K99 L99 O99 
12 10 2	.....DUCCT.DUAAT.D.WBKK.FWBLLLFWBOOO T97 U99 C98 A99 B97 K99 F99 L99 O99 
12 10 2	U.....UCCT.D.AAT.D.WBKKDFWBLLLFWBOOO B97 D99 C98 A99 T97 F99 K99 L99 O99 
12 10 2	......CC.T.DUAAT.DUWBKKDFWBLLLFWBOOO D99 C97 T99 U98 A99 B97 K99 F99 L99 O99 
12 10 2	......UCCT.DUAAT.DFWBKKDFWBLLL.WBOOO T97 U99 C98 D99 A99 B97 K99 L99 O99 
12 9 3	U.....UCCT.DAABT.DFWBKKDFWBLLL.W.OOO B96 D99 C98 T97 K99 L99 O99 
12 9 3	U....DUCCT.DAABT.D.WBKK.FWBLLLFW.OOO B96 C98 T97 F99 K99 L99 O99 
13 12 1	...T.D.CCT.DUWBAADUWBKK.FWBLLLF.OOO. U98 T98 C98 W99 A97 B96 K99 F99 L99 O98 
13 12 1	...T.D.CCT.DUWBAADUWBKK.FWBLLLFOOO.. U98 T98 C98 W99 A97 B96 K99 F99 L99 O97 
13 12 1	...T.DCCBT.DU.BAADUWBKK.FWLLL.FW.OOO U98 T98 C97 A97 B95 K99 F99 L98 O99 
13 12 1	...T..UCCT.DUWBAADFWBKKDFWBLLL..OOO. U99 T98 C98 D99 W99 A97 B96 K99 L99 O98 
13 12 1	...T.DCCBT.DU.BAADUWBKK.FW.LLLFWOOO. U98 T98 C97 A97 B95 K99 F99 L99 O98 
13 12 1	...T..UCCT.DUWBAADFWBKKDFWBLLL.OOO.. U99 T98 C98 D99 W99 A97 B96 K99 L99 O97 
13 12 1	...T.DCCBT.DUWBAADUWB.KKFW.LLLF.OOO. U98 T98 C97 A97 W99 B95 F99 L99 O98 
13 12 1	...T.DCCBT.DU.BAADUWB.KKFWLLL.FWOOO. U98 T98 C97 A97 B95 F99 L98 O98 
13 12 1	U..T..UCCT.DFWBAADFWBKKD.WBLLL..OOO. B96 D99 C98 A97 T98 F99 W99 K99 L99 O98 
13 12 1	U..T..UCCT.DFWBAADFWBKKD.WBLLLOOO... B96 D99 C98 A97 T98 F99 W99 K99 L99 O96 
13 12 1	U..T..UCCT.D.WBAAD.WBKKDFWBLLLFOOO.. B96 D99 C98 A97 T98 F99 W99 K99 L99 O97 
13 12 1	..BT.DCCBT.DU.BAADUWKK..FW.LLLFWOOO. U98 T98 C97 A97 B94 K98 F99 L99 O98 
13 12 1	...T.DCC.T.DU.BAADUWBKK.FWBLLLFWOOO. U98 T98 C97 A97 B96 K99 F99 L99 O98 
13 12 1	...T.DUCCT.DUWBAAD.WBKK.FWBLLLFOOO.. U99 T98 C98 W99 A97 B96 K99 F99 L99 O97 
13 12 1	...T.DUCCT.DUWBAAD.WBKK.FWBLLLF.OOO. U99 T98 C98 W99 A97 B96 K99 F99 L99 O98 
13 12 1	...T..UCCT.DUWBAADFWBKKDFWBLLLOOO... U99 T98 C98 D99 W99 B96 A97 K99 L99 O96 
13 12 1	..BT.DCCBT.DUWBAADUWKK..FW.LLLF..OOO U98 T98 C97 A97 W99 B94 K98 F99 L99 O99 
13 12 1	...T...CCT.DU.BAADUWBKKDFWBLLLFWOOO. U98 T98 D99 C98 A97 B96 K99 F99 L99 O98 
13 12 1	...T.DCC.T.DUWBAADUWB.KKFWBLLLFOOO.. U98 T98 C97 W99 A97 B96 F99 L99 O97 
13 12 1	..BT..CCBT.DU.BAADUW.KKDFW.LLLFW.OOO U98 T98 D99 C97 A97 B94 K99 F99 L99 O99 
13 12 1	..BT.DCCBT.DU.BAADUW.KK.FWLLL.FW.OOO U98 T98 C97 A97 B94 K99 F99 L98 O99 
13 12 1	...T.DCCBT.DUWBAADUWB.KKFW.LLLFOOO.. U98 T98 C97 W99 A97 B95 F99 L99 O97 
13 12 1	..BT.DCCBT.DUWBAADUW..KKFWLLL.F..OOO U98 T98 C97 A97 W99 B94 F99 L98 O99 
13 12 1	..BT.DCCBT.DU.BAADUW.KK.FW.LLLFWOOO. U98 T98 C97 A97 B94 K99 F99 L99 O98 
13 12 1	..BT..CCBT.DU.BAADUWKK.DFW.LLLFW.OOO U98 T98 D99 C97 A97 B94 K98 F99 L99 O99 
13 12 1	...T.DCCBT.DUWBAADUWB.KKFWLLL.F..OOO U98 T98 C97 A97 W99 B95 F99 L98 O99 
13 12 1	..BT.DCCBT.DUWBAADUW..KKFW.LLLF.OOO. U98 T98 C97 A97 W99 B94 F99 L99 O98 
13 12 1	...T..CCBT.DU.BAADUWBKKDFW.LLLFW.OOO U98 T98 D99 C97 A97 B95 K99 F99 L99 O99 
13 12 1	...T..CC.T.DUW.AADUWBKKDFWBLLLF.BOOO U98 T98 D99 C97 A97 W99 B97 K99 F99 L99 O99 
13 12 1	...T..CC.T.DU.BAADUWBKKDFWBLLLFW.OOO U98 T98 D99 C97 A97 B96 K99 F99 L99 O99 
13 12 1	...T.DCC.T.DUWBAADUWB.KKFWBLLLF.OOO. U98 T98 C97 A97 W99 B96 F99 L99 O98 
13 12 1	...T...CCT.DUWBAADUWBKKDFWBLLLF..OOO U98 T98 D99 C98 W99 A97 B96 K99 F99 L99 O99 
13 12 1	U..T..UCCT.D.WBAAD.WBKKDFWBLLLF.OOO. B96 D99 C98 A97 T98 F99 W99 K99 L99 O98 
13 12 1	..BT.DCCBT.DUWBAADUW..KKFW.LLLFOOO.. U98 T98 C97 W99 A97 B94 F99 L99 O97 
13 12 1	..BT.DCCBT.DU.BAADUW..KKFWLLL.FWOOO. U98 T98 C97 A97 B94 F99 L98 O98 
13 12 1	...T.DCC.T.DUWBAADUWBKK.FWBLLLF..OOO U98 T98 C97 W99 A97 B96 K99 F99 L99 O99 
13 12 1	..BT.DCCBT.DU.BAADUWKK..FWLLL.FW.OOO U98 T98 C97 A97 B94 K98 F99 L98 O99 
13 12 1	...T..UCCT.DUWBAAD.WBKKDFWBLLLF..OOO U99 T98 C98 D99 A97 F99 W99 B96 K99 L99 O99 
13 12 1	..BT.DCCBT.DUWBAADUW.KK.FW.LLLF..OOO U98 T98 C97 W99 A97 B94 K99 F99 L99 O99 
13 12 1	...T..UCCT.DU.BAAD.WBKKDFWBLLLFWOOO. U99 T98 C98 D99 A97 F99 B96 K99 L99 O98 
13 12 1	...T.DCCBT.DUWBAADUWBKK.FW.LLLF..OOO U98 T98 C97 W99 A97 B95 K99 F99 L99 O99 
13 12 1	...T..CC.T.DUWAA.DUWBKKDFWBLLLF.BOOO U98 T98 D99 C97 A98 W99 B97 K99 F99 L99 O99 
13 12 1	U..T..UCCT.DFWBAADFWBKKD.WBLLL.OOO.. B96 D99 C98 A97 T98 F99 W99 K99 L99 O97 
13 11 2	.......CCT.DUAAT.DUWBKKDFWBLLLFWBOOO T97 C98 D99 U98 A99 B97 K99 F99 L99 O99 
13 11 2	......UCCT.DUAAT.D.WBKKDFWBLLLFWBOOO T97 U99 C98 D99 A99 B97 K99 F99 L99 O99 
13 10 3	U.....UCCT.DAABT.D.WBKKDFWBLLLFW.OOO B96 D99 C98 T97 F99 K99 L99 O99 
14 13 1	...T.DCC.T.DUWBAADUWBKK.FWBLLLFOOO.. U98 T98 C97 W99 A97 B96 K99 F99 L99 O97 
14 13 1	...T..UCCT.DUWBAAD.WBKKDFWBLLLFOOO.. U99 T98 C98 D99 W99 A97 F99 B96 K99 L99 O97 
14 13 1	..BT.DCCBT.DUWBAADUWKK..FW.LLLF.OOO. U98 T98 C97 A97 W99 B94 K98 F99 L99 O98 
14 13 1	..BT.DCCBT.DUWBAADUW.KK.FW.LLLF.OOO. U98 T98 C97 A97 W99 B94 K99 F99 L99 O98 
14 13 1	..BT..CCBT.DU.BAADUW.KKDFWLLL.FW.OOO U98 T98 D99 C97 A97 B94 K99 F99 L98 O99 
14 13 1	..BT..CCBT..U.BAADUW.KKDFWLLLDFW.OOO U98 T98 D98 C97 A97 B94 K99 F99 L98 O99 
14 13 1	...T.DCC.T.DUWBAADUWBKK.FWBLLLF.OOO. U98 T98 C97 W99 A97 B96 K99 F99 L99 O98 
14 13 1	..BT..CCBT.DU.BAADUWKK.DFWLLL.FW.OOO U98 T98 D99 C97 A97 B94 K98 F99 L98 O99 
14 13 1	...T.DCCBT.DU.BAADUWBKK.FWLLL.FWOOO. U98 T98 C97 A97 B95 K99 F99 L98 O98 
14 14 0	...T..CCBT..U.BAA.UWBKKDFWLLLDFWOOOD U98 T98 D97 C97 A97 B95 K99 F99 L98 O98 
14 13 1	...T..UCCT.DUWBAAD.WBKKDFWBLLLF.OOO. U99 T98 C98 D99 W99 A97 F99 B96 K99 L99 O98 
14 13 1	...T.DCCBT.DUWBAADUWB.KKFWLLL.F.OOO. U98 T98 C97 A97 W99 B95 F99 L98 O98 
14 13 1	...T.DCCBT.DUWBAADUWBKK.FWLLL.F..OOO U98 T98 C97 A97 W99 B95 K99 F99 L98 O99 
14 13 1	...T..CC.T.DU.BAADUWBKKDFWBLLLFWOOO. U98 T98 D99 C97 A97 B96 K99 F99 L99 O98 
14 13 1	...T..CCBT.DU.BAADUWBKKDFW.LLLFWOOO. U98 T98 D99 C97 A97 B95 K99 F99 L99 O98 
14 13 1	...T..CCBT..U.BAADUWBKKDFWLLLDFW.OOO U98 T98 D98 C97 A97 B95 K99 F99 L98 O99 
14 13 1	..BT.DCCBT.DU.BAADUWKK..FWLLL.FWOOO. U98 T98 C97 A97 B94 K98 F99 L98 O98 
14 14 0	..BT..CCBT..U.BAA.UWKK.DFWLLLDFWOOOD U98 T98 D97 C97 A97 B94 K98 F99 L98 O98 
14 13 1	...T..CCBT.DU.BAADUWBKKDFWLLL.FW.OOO U98 T98 D99 C97 A97 B95 K99 F99 L98 O99 
14 13 1	...T.DCCBT.DUWBAADUWBKK.FW.LLLF.OOO. U98 T98 C97 A97 W99 B95 K99 F99 L99 O98 
14 13 1	...T...CCT.DUWBAADUWBKKDFWBLLLFOOO.. U98 T98 D99 C98 W99 A97 B96 K99 F99 L99 O97 
14 13 1	..BT.DCCBT.DU.BAADUW.KK.FWLLL.FWOOO. U98 T98 C97 A97 B94 K99 F99 L98 O98 
14 13 1	..BT..CCBT.DU.BAADUWKK.DFW.LLLFWOOO. U98 T98 D99 C97 A97 B94 K98 F99 L99 O98 
14 13 1	..BT..CCBT.DUWBAADUW.KKDFW.LLLF..OOO U98 T98 D99 C97 A97 W99 B94 K99 F99 L99 O99 
14 13 1	...T...CCT.DUWBAADUWBKKDFWBLLLF.OOO. U98 T98 D99 C98 W99 A97 B96 K99 F99 L99 O98 
14 13 1	..BT..CCBT.DU.BAADUW.KKDFW.LLLFWOOO. U98 T98 D99 C97 A97 B94 K99 F99 L99 O98 
14 13 1	...T.DCCBT.DUWBAADUWB.KKFWLLL.FOOO.. U98 T98 C97 W99 A97 B95 F99 L98 O97 
14 13 1	..BT.DCCBT.DUWBAADUW..KKFWLLL.FOOO.. U98 T98 C97 A97 W99 B94 F99 L98 O97 
14 13 1	...T..CC.T.DUWBAADUWBKKDFWBLLLF..OOO U98 T98 D99 C97 A97 W99 B96 K99 F99 L99 O99 
14 13 1	...T.DCCBT.DUWBAADUWBKK.FW.LLLFOOO.. U98 T98 C97 W99 A97 B95 K99 F99 L99 O97 
14 13 1	...T..CCBT.DUWBAADUWBKKDFW.LLLF..OOO U98 T98 D99 C97 A97 W99 B95 K99 F99 L99 O99 
14 13 1	..BT.DCCBT.DUWBAADUW.KK.FWLLL.F..OOO U98 T98 C97 A97 W99 B94 K99 F99 L98 O99 
14 13 1	..BT..CCBT.DUWBAADUWKK.DFW.LLLF..OOO U98 T98 D99 C97 A97 W99 B94 K98 F99 L99 O99 
14 13 1	..BT.DCCBT.DUWBAADUW..KKFWLLL.F.OOO. U98 T98 C97 A97 W99 B94 F99 L98 O98 
14 13 1	..BT.DCCBT.DUWBAADUW.KK.FW.LLLFOOO.. U98 T98 C97 W99 A97 B94 K99 F99 L99 O97 
14 13 1	..BT.DCCBT.DUWBAADUWKK..FWLLL.F..OOO U98 T98 C97 A97 W99 B94 K98 F99 L98 O99 
14 13 1	..BT.DCCBT.DUWBAADUWKK..FW.LLLFOOO.. U98 T98 C97 A97 W99 B94 K98 F99 L99 O97 
14 13 1	..BT..CCBT..U.BAADUWKK.DFWLLLDFW.OOO U98 T98 D98 C97 A97 B94 K98 F99 L98 O99 
15 15 0	...T..CCBT..UWBAA.UWBKKDFWLLLDF.OOOD U98 T98 D97 C97 A97 W99 B95 K99 F99 L98 O98 
15 15 0	...T..CCBT..U.B.AAUWBKKDFWLLLDFWOOOD U98 T98 D97 C97 A96 B95 K99 F99 L98 O98 
