3 0 3	U.B..DU.BCCDAABT.DFW.TKKFWLLL..W..GG 
9 8 1	...T.DUCCT.DUW.AADFWB.KKFWBLLL..BGG. U99 T98 C98 W99 A97 B97 L99 G99 
9 8 1	U..T.DUCCT.D.WBAADFWB.KKFWBLLL...GG. B96 C98 A97 T98 W99 L99 G99 
9 8 1	...T..UCCT.DUAA..DFWBKKDFWBLLL.WB.GG U99 T98 C98 D99 A99 B97 K99 L99 
9 8 1	U..T..UCCT.D.WAA.DFWBKKDFWBLLL..B.GG B97 D99 C98 A98 T98 W99 K99 L99 
9 8 1	...T.DUCCT.DUWAA.DFWBKK.FWBLLL..B.GG U99 T98 C98 W99 A98 B97 K99 L99 
9 8 1	U..T.DUCCT.DFWAA.DFWBKK..WBLLL..B.GG B97 C98 A98 T98 F99 W99 K99 L99 
9 8 1	U..T.DUCCT.D.WBAADFWB.KKFWBLLL.GG... B96 C98 A97 T98 W99 L99 G97 
9 8 1	U..T..UCCT.DF.AA.DFWBKKD.WBLLL.WB.GG B97 D99 C98 A98 T98 F99 K99 L99 
9 8 1	U..T..UCCT.D.W.AADFWBKKDFWBLLL..B.GG B97 D99 C98 A97 T98 W99 K99 L99 
9 8 1	...T.D.CCT.DUWAA.DUWB.KKFWBLLLF.B.GG U98 T98 C98 A98 W99 B97 F99 L99 
9 8 1	...T.DUCCT.DUW.AADFWBKK.FWBLLL..B.GG U99 T98 C98 W99 A97 B97 K99 L99 
9 7 2	.....DUCCT.DUAAT.DFWB.KKFWBLLL.WB.GG T97 U99 C98 A99 B97 L99 
9 7 2	.....D..CC.DUAAT.DUWBTKKFWBLLLFWBGG. U98 C99 A99 B97 F99 L99 G99 
9 7 2	U....DUCCT.DFAAT.DFWB.KK.WBLLL.WB.GG B97 C98 A99 T97 F99 L99 
9 7 2	U....DUCCT.D.AAT.D.WB.KKFWBLLLFWB.GG B97 C98 A99 T97 F99 L99 
9 7 2	.....DCC.T.DUAAT.DUWB.KKFWBLLLFWB.GG U98 C97 A99 T99 B97 F99 L99 
9 7 2	U..T..UCCT.DAAB..DFWBKKDFWBLLL.W..GG B96 D99 C98 T98 K99 L99 
9 7 2	.....D.CC..DUAAT.DUWBTKKFWBLLLFWBGG. U98 C98 A99 B97 F99 L99 G99 
9 7 2	.....DCC...DUAAT.DUWBTKKFWBLLLFWBGG. U98 C97 A99 B97 F99 L99 G99 
9 7 2	.....DUCC..DUAAT.D.WBTKKFWBLLLFWBGG. U99 C98 A99 B97 F99 L99 G99 
9 7 2	.....DU.CC.DUAAT.D.WBTKKFWBLLLFWBGG. U99 C99 A99 F99 B97 L99 G99 
9 7 2	U..T.DUCCT.DAAB..DFWBKK.FWBLLL.WGG.. B96 C98 T98 K99 L99 G98 
9 7 2	U..T.DUCCT.DAAB..D.WB.KKFWBLLLFWGG.. B96 C98 T98 F99 L99 G98 
9 7 2	U....DUCCT.D.AAT.DFWBKK.FWBLLL.WB.GG B97 C98 A99 T97 K99 L99 
9 7 2	U..T.DUCCT.DAAB..D.WBKK.FWBLLLFW..GG B96 C98 T98 F99 K99 L99 
9 7 2	U....DUCCT.DAA.T.D.WBKK.FWBLLLFWB.GG B97 C98 T97 F99 K99 L99 
9 7 2	U....DUCCT.D.AAT.DFWB.KKFWBLLL.WBGG. B97 C98 A99 T97 L99 G99 
9 7 2	U....DUCCT.DAA.T.D.WB.KKFWBLLLFWBGG. B97 C98 T97 F99 L99 G99 
9 7 2	U..T.DUCCT.DAAB..D.WB.KKFWBLLLFW.GG. B96 C98 T98 F99 L99 G99 
9 7 2	U.....UCCT.DAA.T.DFWBKKDFWBLLL.WB.GG B97 D99 C98 T97 K99 L99 
9 7 2	U..T.DUCCT.DAAB..DFWBKK.FWBLLL.W.GG. B96 C98 T98 K99 L99 G99 
9 7 2	U....DUCCT.DAA.T.DFWBKK.FWBLLL.WBGG. B97 C98 T97 K99 L99 G99 
9 6 3	U....DUCC..DAABT.D.WBTKKFWBLLLFW.GG. B96 C98 F99 L99 G99 
9 6 3	U....DUCCT.DAABT.DFWBKK.FWBLLL.WGG.. B98 C98 T99 K99 L99 G98 
9 6 3	U....DUCCT.DAABT.D.WB.KKFWBLLLFWGG.. B98 C98 T99 F99 L99 G98 
9 6 3	U....DU.CC.DAABT.D.WBTKKFWBLLLFW.GG. B96 C99 F99 L99 G99 
10 9 1	U..T.DUCCT.DFW.AADFWBKK..WBLLL..BGG. B97 C98 A97 T98 F99 W99 K99 L99 G99 
10 9 1	U..T.DUCCT.DFWBAADFWB.KK.WBLLL...GG. B96 C98 A97 T98 F99 W99 L99 G99 
10 9 1	...T.D.CCT.DUAA..DUWBKK.FWBLLLFWBGG. U98 T98 C98 A99 B97 K99 F99 L99 G99 
10 9 1	...T.DUCCT.DU.AA.D.WBKK.FWBLLLFWBGG. U99 T98 C98 A98 B97 K99 F99 L99 G99 
10 9 1	U..T.DUCCT.D.WBAADFWBKK.FWBLLL...GG. B96 C98 A97 T98 W99 K99 L99 G99 
10 9 1	U..T.DUCCT.D.W.AADFWB.KKFWBLLLGGB... B95 C98 A97 T98 W99 L99 G96 
10 9 1	U..T.DUCCT.D.W.AAD.WBKK.FWBLLLF.BGG. B97 C98 A97 T98 F99 W99 K99 L99 G99 
10 9 1	U..T..UCCT.D...AAD.WBKKDFWBLLLFWBGG. B97 D99 C98 A97 T98 F99 K99 L99 G99 
10 9 1	U..T..UCCT.D.W.AADFWBKKDFWBLLL..BGG. B97 D99 C98 A97 T98 W99 K99 L99 G99 
10 9 1	...T.DUCCT.DUW.AADFWBKK.FWBLLL..BGG. U99 T98 C98 W99 A97 B97 K99 L99 G99 
10 9 1	U..T.DUCCT.DF.BAADFWBKK..WBLLL.W.GG. B96 C98 A97 T98 F99 K99 L99 G99 
10 9 1	...T.DUCCT.DUWAA.D.WB.KKFWBLLLF.BGG. U99 T98 C98 W99 A98 B97 F99 L99 G99 
10 9 1	...T.DUCCT.DU..AAD.WBKK.FWBLLLFWBGG. U99 T98 C98 A97 B97 K99 F99 L99 G99 
10 9 1	...T.D.CCT.DU.AA.DUWBKK.FWBLLLFWBGG. U98 T98 C98 A98 B97 K99 F99 L99 G99 
10 9 1	U..T..UCCT.D..BAADFWBKKDFWBLLL.WGG.. B96 D99 C98 A97 T98 K99 L99 G98 
10 9 1	...T..UCCT.DU..AADFWBKKDFWBLLL.WBGG. U99 T98 C98 D99 A97 B97 K99 L99 G99 
10 9 1	...T.DCC.T.DUAA..DUWB.KKFWBLLLFWBGG. U98 T98 C97 A99 B97 F99 L99 G99 
10 9 1	...T...CCT.DUAA..DUWBKKDFWBLLLFWB.GG U98 T98 D99 C98 A99 B97 K99 F99 L99 
10 9 1	U..T..UCCT.DF..AADFWBKKD.WBLLL.WBGG. B97 D99 C98 A97 T98 F99 K99 L99 G99 
10 9 1	...T.DCC.T.DUW.AADUWB.KKFWBLLLF.B.GG U98 T98 C97 A97 W99 B97 F99 L99 
10 9 1	U..T.DUCCT.DFWBAADFWB.KK.WBLLLGG.... B96 C98 A97 T98 F99 W99 L99 G96 
10 9 1	...T.DCC.T.DUWAA.DUWB.KKFWBLLLF.B.GG U98 T98 C97 A98 W99 B97 F99 L99 
10 9 1	U..T.DUCCT.DFWBAADFWBKK..WBLLL....GG B96 C98 A97 T98 F99 W99 K99 L99 
10 9 1	...T.DCC.T.DU..AADUWBKK.FWBLLLFWB.GG U98 T98 C97 A97 B97 K99 F99 L99 
10 9 1	...T.D.CCT.DUW.AADUWB.KKFWBLLLF.BGG. U98 T98 C98 A97 W99 B97 F99 L99 G99 
10 9 1	...T.DUCCT.DU.BAAD.WB.KKFWBLLLFW.GG. U99 T98 C98 B96 A97 F99 L99 G99 
10 9 1	...T.D.CCT.DU.BAADUWBKK.FWBLLLFW..GG U98 T98 C98 A97 B96 K99 F99 L99 
10 9 1	...T.DCC.T.DU..AADUWB.KKFWBLLLFWBGG. U98 T98 C97 A97 B97 F99 L99 G99 
10 9 1	U..T.DUCCT.D.WBAADFWBKK.FWBLLL..GG.. B96 C98 A97 T98 W99 K99 L99 G98 
10 9 1	U..T.DUCCT.DF.BAADFWBKK..WBLLL.WGG.. B96 C98 A97 T98 F99 K99 L99 G98 
10 9 1	...T.DUCCT.DU.BAADFWBKK.FWBLLL.WGG.. U99 T98 C98 B96 A97 K99 L99 G98 
10 9 1	U..T.DUCCT.D.WBAAD.WB.KKFWBLLLF..GG. B96 C98 A97 T98 F99 W99 L99 G99 
10 9 1	...T.DUCCT.DU.BAAD.WB.KKFWBLLLFWGG.. U99 T98 C98 B96 A97 F99 L99 G98 
10 9 1	...T..UCCT.DUAA..DFWBKKDFWBLLL.WBGG. U99 T98 D99 C98 A99 B97 K99 L99 G99 
10 9 1	...T.DUCCT.DUWBAADFWB.KKFWBLLLGG.... U99 T98 C98 B96 A97 W99 L99 G96 
10 9 1	U..T.DUCCT.D..BAAD.WBKK.FWBLLLFWGG.. B96 C98 A97 T98 F99 K99 L99 G98 
10 9 1	U..T.DUCCT.D.WBAAD.WB.KKFWBLLLFGG... B96 C98 A97 T98 F99 W99 L99 G97 
10 9 1	U..T.DUCCT.DFWAA.DFWBKK..WBLLL..BGG. B97 C98 A98 T98 F99 W99 K99 L99 G99 
10 9 1	...T.D.CCT.DU.BAADUWB.KKFWBLLLFWGG.. U98 T98 C98 B96 A97 F99 L99 G98 
10 9 1	U..T.DUCCT.D.WAA.D.WBKK.FWBLLLF.BGG. B97 C98 A98 T98 F99 W99 K99 L99 G99 
10 9 1	...T.D.CCT.DUWAA.DUWB.KKFWBLLLF.BGG. U98 T98 C98 W99 A98 B97 F99 L99 G99 
10 9 1	U..T..UCCT.D.WAA.DFWBKKDFWBLLL..BGG. B97 D99 C98 A98 T98 W99 K99 L99 G99 
10 9 1	...T.DUCCT.DUWAA.DFWBKK.FWBLLL..BGG. U99 T98 C98 W99 A98 B97 K99 L99 G99 
10 9 1	...T..UCCT.DUAA..D.WBKKDFWBLLLFWB.GG U99 T98 D99 C98 A99 F99 B97 K99 L99 
10 9 1	U..T..UCCT.D.W.AAD.WBKKDFWBLLLF.B.GG B97 D99 C98 A97 T98 F99 W99 K99 L99 
10 9 1	U..T..UCCT.DFAA..DFWBKKD.WBLLL.WBGG. B97 D99 C98 A99 T98 F99 K99 L99 G99 
10 9 1	U..T..UCCT.DFW.AADFWBKKD.WBLLL..B.GG B97 D99 C98 A97 T98 F99 W99 K99 L99 
10 9 1	U..T.DUCCT.D.WBAADFWBKK.FWBLLLGG.... B96 C98 A97 T98 W99 K99 L99 G96 
10 9 1	U..T.DUCCT.D.WBAAD.WBKK.FWBLLLF...GG B96 C98 A97 T98 F99 W99 K99 L99 
10 9 1	U..T..UCCT.DF.AA.DFWBKKD.WBLLL.WBGG. B97 D99 C98 A98 T98 F99 K99 L99 G99 
10 9 1	...T.DUCCT.DUW.AAD.WB.KKFWBLLLF.BGG. U99 T98 C98 W99 A97 B97 F99 L99 G99 
10 9 1	...T.DCC.T.DU.BAADUWB.KKFWBLLLFW..GG U98 T98 C97 A97 B96 F99 L99 
10 9 1	U..T.DUCCT.D.WBAADFWBKK.FWBLLL.GG... B96 C98 A97 T98 W99 K99 L99 G97 
10 9 1	...T.DCC.T.DU.AA.DUWB.KKFWBLLLFWBGG. U98 T98 C97 A98 B97 F99 L99 G99 
10 9 1	...T..UCCT.DUW.AADFWBKKDFWBLLL..B.GG U99 T98 D99 C98 A97 W99 B97 K99 L99 
10 9 1	U..T..UCCT.D.WAA.D.WBKKDFWBLLLF.B.GG B97 D99 C98 A98 T98 F99 W99 K99 L99 
10 9 1	U..T..UCCT.D..AA.D.WBKKDFWBLLLFWBGG. B97 D99 C98 A98 T98 F99 K99 L99 G99 
10 9 1	...T.DUCCT.DUWAA.D.WBKK.FWBLLLF.B.GG U99 T98 C98 W99 A98 B97 K99 F99 L99 
10 9 1	U..T..UCCT.D.AA..D.WBKKDFWBLLLFWBGG. B97 D99 C98 A99 T98 F99 K99 L99 G99 
10 9 1	...T..UCCT.DU.AA.DFWBKKDFWBLLL.WBGG. U99 T98 D99 C98 A98 B97 K99 L99 G99 
10 9 1	...T..UCCT.DUWAA.DFWBKKDFWBLLL..B.GG U99 T98 D99 C98 A98 W99 B97 K99 L99 
10 9 1	...T..UCCT.DU.AA.D.WBKKDFWBLLLFWB.GG U99 T98 C98 D99 A98 B97 K99 F99 L99 
10 9 1	...T.DUCCT.DUWBAADFWB.KKFWBLLL...GG. U99 T98 C98 B96 A97 W99 L99 G99 
10 9 1	...T.DUCCT.DUWBAADFWB.KKFWBLLL.GG... U99 T98 C98 B96 A97 W99 L99 G97 
10 9 1	U..T.DUCCT.D.WBAAD.WB.KKFWBLLLF.GG.. B96 C98 A97 T98 F99 W99 L99 G98 
10 9 1	...T...CCT.DU.AA.DUWBKKDFWBLLLFWB.GG U98 T98 D99 C98 A98 B97 K99 F99 L99 
10 9 1	...T.DUCCT.DUWBAADFWB.KKFWBLLL..GG.. U99 T98 C98 W99 B96 A97 L99 G98 
10 9 1	..BT.DCCBT.DU.BAADUW..KKFW.LLLFW..GG U98 T98 C97 A97 B94 F99 L99 
10 9 1	...T.DCCBT.DU.BAADUWB.KKFW.LLLFW..GG U98 T98 C97 A97 B95 F99 L99 
10 9 1	...T.D.CCT.DUWBAADUWB.KKFWBLLLF...GG U98 T98 C98 A97 W99 B96 F99 L99 
10 9 1	...T.D.CCT.DUW.AADUWBKK.FWBLLLF.B.GG U98 T98 C98 A97 W99 B97 K99 F99 L99 
10 9 1	...T...CCT.DU..AADUWBKKDFWBLLLFWB.GG U98 T98 D99 C98 A97 B97 K99 F99 L99 
10 9 1	...T.D.CCT.DU.BAADUWB.KKFWBLLLFW.GG. U98 T98 C98 B96 A97 F99 L99 G99 
10 9 1	...T.DCC.T.DUAA..DUWBKK.FWBLLLFWB.GG U98 T98 C97 A99 B97 K99 F99 L99 
10 9 1	U..T.DUCCT.D..BAAD.WBKK.FWBLLLFW.GG. B96 C98 A97 T98 F99 K99 L99 G99 
10 9 1	...T.DUCCT.DUAA..D.WBKK.FWBLLLFWBGG. U99 T98 C98 A99 F99 B97 K99 L99 G99 
10 9 1	U..T.DUCCT.DFWBAADFWB.KK.WBLLL.GG... B96 C98 A97 T98 F99 W99 L99 G97 
10 9 1	U..T.DUCCT.DFWBAADFWB.KK.WBLLL..GG.. B96 C98 A97 T98 F99 W99 L99 G98 
10 9 1	...T.D.CCT.DU..AADUWBKK.FWBLLLFWBGG. U98 T98 C98 A97 B97 K99 F99 L99 G99 
10 9 1	...T.D.CCT.DUWAA.DUWBKK.FWBLLLF.B.GG U98 T98 C98 A98 W99 B97 K99 F99 L99 
10 9 1	...T.DUCCT.DU.BAADFWBKK.FWBLLL.W.GG. U99 T98 C98 B96 A97 K99 L99 G99 
10 9 1	...T.DCC.T.DU.AA.DUWBKK.FWBLLLFWB.GG U98 T98 C97 A98 B97 K99 F99 L99 
10 9 1	U..T..UCCT.D.WBAADFWBKKDFWBLLL....GG B96 D99 C98 A97 T98 W99 K99 L99 
10 9 1	U..T..UCCT.D..BAADFWBKKDFWBLLL.W.GG. B96 D99 C98 A97 T98 K99 L99 G99 
10 9 1	...T.DUCCT.DUWBAADFWBKK.FWBLLL....GG U99 T98 C98 B96 A97 W99 K99 L99 
10 9 1	U..T..UCCT.DF.BAADFWBKKD.WBLLL.W..GG B96 D99 C98 A97 T98 F99 K99 L99 
10 9 1	...T.DUCCT.DUWBAAD.WB.KKFWBLLLF...GG U99 T98 C98 B96 A97 F99 W99 L99 
10 9 1	U..T..UCCT.D..BAAD.WBKKDFWBLLLFW..GG B96 D99 C98 A97 T98 F99 K99 L99 
10 9 1	...T..UCCT.DU.BAADFWBKKDFWBLLL.W..GG U99 T98 C98 D99 B96 A97 K99 L99 
10 9 1	...T.DUCCT.DU.BAAD.WBKK.FWBLLLFW..GG U99 T98 C98 A97 B96 K99 F99 L99 
10 9 1	...T.DUCCT.DUW.AAD.WBKK.FWBLLLF.B.GG U99 T98 C98 A97 W99 B97 K99 F99 L99 
10 9 1	U..T..UCCT.DFWAA.DFWBKKD.WBLLL..B.GG B97 D99 C98 A98 T98 F99 W99 K99 L99 
10 9 1	...T..UCCT.DU..AAD.WBKKDFWBLLLFWB.GG U99 T98 D99 C98 A97 B97 K99 F99 L99 
10 8 2	.....DCC.T.DUAAT.DUWB.KKFWBLLLFWBGG. U98 C97 A99 T99 B97 F99 L99 G99 
10 8 2	U....DUCCT.D.AAT.D.WB.KKFWBLLLFWBGG. B97 C98 A99 T97 F99 L99 G99 
10 8 2	U..T..UCCT.DAAB..DFWBKKDFWBLLL.W.GG. B96 D99 C98 T98 K99 L99 G99 
10 8 2	.....D.CCT.DUAAT.DUWB.KKFWBLLLFWB.GG T97 C98 U98 A99 B97 F99 L99 
10 8 2	.....DUCCT.DUAAT.DFWBKK.FWBLLL.WB.GG T97 U99 C98 A99 B97 K99 L99 
10 8 2	U....DUCCT.DFAAT.DFWB.KK.WBLLL.WBGG. B97 C98 A99 T97 F99 L99 G99 
10 8 2	.....DCC.T.DUAAT.DUWBKK.FWBLLLFWB.GG U98 C97 A99 T99 B97 K99 F99 L99 
10 8 2	.....DUCCT.DUAAT.DFWB.KKFWBLLL.WBGG. T97 U99 C98 A99 B97 L99 G99 
10 8 2	U.....UCCT.DAA.T.DFWBKKDFWBLLL.WBGG. B97 D99 C98 T97 K99 L99 G99 
10 8 2	U..T..UCCT.DAAB..DFWBKKDFWBLLL.WGG.. B96 D99 C98 T98 K99 L99 G98 
10 8 2	.....DUCCT.DUAAT.D.WB.KKFWBLLLFWB.GG T97 U99 C98 A99 B97 F99 L99 
10 8 2	U....DUCCT.DAA.T.D.WBKK.FWBLLLFWBGG. B97 C98 T97 F99 K99 L99 G99 
10 8 2	U.....UCCT.D.AAT.DFWBKKDFWBLLL.WB.GG B97 D99 C98 A99 T97 K99 L99 
10 8 2	U..T.DUCCT.DAAB..D.WBKK.FWBLLLFWGG.. B96 C98 T98 F99 K99 L99 G98 
10 8 2	U....DUCCT.DFAAT.DFWBKK..WBLLL.WB.GG B97 C98 A99 T97 F99 K99 L99 
10 8 2	U..T.DUCCT.DAAB..D.WBKK.FWBLLLFW.GG. B96 C98 T98 F99 K99 L99 G99 
10 8 2	U.....UCCT.DAA.T.D.WBKKDFWBLLLFWB.GG B97 D99 C98 T97 F99 K99 L99 
10 8 2	U....DUCCT.D.AAT.D.WBKK.FWBLLLFWB.GG B97 C98 A99 T97 F99 K99 L99 
10 8 2	U....DUCCT.D.AAT.DFWBKK.FWBLLL.WBGG. B97 C98 A99 T97 K99 L99 G99 
10 8 2	U..T..UCCT.DAAB..D.WBKKDFWBLLLFW..GG B96 D99 C98 T98 F99 K99 L99 
10 7 3	U.....UCCT.DAABT.DFWBKKDFWBLLL.WGG.. B98 D99 C98 T99 K99 L99 G98 
10 7 3	U....DUCCT.DAABT.D.WB.KKFWBLLLFW..GG B96 C98 T97 F99 L99 
10 7 3	U....DUCCT.DAABT.DFWB.KKFWBLLL.W.GG. B96 C98 T97 L99 G99 
10 7 3	U....DUCCT.DAABT.DFWBKK.FWBLLL.W..GG B96 C98 T97 K99 L99 
10 7 3	U....DUCCT.DAABT.D.WBKK.FWBLLLFWGG.. B98 C98 T99 F99 K99 L99 G98 
11 10 1	...T.DUCCT.DUWAA.D.WBKK.FWBLLLF.BGG. U99 T98 C98 A98 W99 B97 K99 F99 L99 G99 
11 10 1	U..T..UCCT.DF.BAADFWBKKD.WBLLL.W.GG. B96 D99 C98 A97 T98 F99 K99 L99 G99 
11 10 1	U..T.DUCCT.DFWBAADFWBKK..WBLLLGG.... B96 C98 A97 T98 F99 W99 K99 L99 G96 
11 10 1	U..T.DUCCT.DFWBAADFWBKK..WBLLL...GG. B96 C98 A97 T98 F99 W99 K99 L99 G99 
11 10 1	...T..UCCT.DUW.AADFWBKKDFWBLLL..BGG. U99 T98 C98 D99 W99 A97 B97 K99 L99 G99 
11 10 1	U..T.DUCCT.D.W.AADFWBKK.FWBLLLGGB... B95 C98 A97 T98 W99 K99 L99 G96 
11 10 1	...T...CCT.DU..AADUWBKKDFWBLLLFWBGG. U98 T98 C98 D99 A97 B97 K99 F99 L99 G99 
11 10 1	U..T..UCCT.D.W.AAD.WBKKDFWBLLLF.BGG. B97 D99 C98 A97 T98 F99 W99 K99 L99 G99 
11 10 1	...T..UCCT.DU..AAD.WBKKDFWBLLLFWBGG. U99 T98 C98 D99 A97 B97 K99 F99 L99 G99 
11 10 1	U..T..UCCT.D.WBAADFWBKKDFWBLLL..GG.. B96 D99 C98 A97 T98 W99 K99 L99 G98 
11 10 1	...T.DCC.T.DU.BAADUWB.KKFWBLLLFWGG.. U98 T98 C97 B96 A97 F99 L99 G98 
11 10 1	...T.DUCCT.DU.BAAD.WBKK.FWBLLLFW.GG. U99 T98 C98 A97 B96 K99 F99 L99 G99 
11 10 1	...T.DCC.T.DUW.AADUWB.KKFWBLLLF.BGG. U98 T98 C97 A97 W99 B97 F99 L99 G99 
11 10 1	...T.D.CCT.DUWAA.DUWBKK.FWBLLLF.BGG. U98 T98 C98 A98 W99 B97 K99 F99 L99 G99 
11 10 1	...T..UCCT.DU.BAADFWBKKDFWBLLL.W.GG. U99 T98 C98 D99 A97 B96 K99 L99 G99 
11 10 1	...T.DCC.T.DUW.AADUWBKK.FWBLLLF.B.GG U98 T98 C97 A97 W99 B97 K99 F99 L99 
11 10 1	...T...CCT.DUAA..DUWBKKDFWBLLLFWBGG. U98 T98 D99 C98 A99 B97 K99 F99 L99 G99 
11 10 1	U..T..UCCT.DF.BAADFWBKKD.WBLLL.WGG.. B96 D99 C98 A97 T98 F99 K99 L99 G98 
11 10 1	...T..CC.T.DUAA..DUWBKKDFWBLLLFWB.GG U98 T98 D99 C97 A99 B97 K99 F99 L99 
11 10 1	...T.DCC.T.DUWAA.DUWB.KKFWBLLLF.BGG. U98 T98 C97 A98 W99 B97 F99 L99 G99 
11 10 1	...T.DUCCT.DUWBAAD.WB.KKFWBLLLF..GG. U99 T98 C98 B96 A97 F99 W99 L99 G99 
11 10 1	...T..UCCT.DU.BAAD.WBKKDFWBLLLFW..GG U99 T98 C98 D99 B96 A97 K99 F99 L99 
11 10 1	U..T.DUCCT.D.WBAAD.WBKK.FWBLLLF..GG. B96 C98 A97 T98 F99 W99 K99 L99 G99 
11 10 1	U..T..UCCT.D.WAA.D.WBKKDFWBLLLF.BGG. B97 D99 C98 A98 T98 F99 W99 K99 L99 G99 
11 10 1	...T.D.CCT.DUWBAADUWB.KKFWBLLLF..GG. U98 T98 C98 A97 W99 B96 F99 L99 G99 
11 10 1	..BT.DCCBT.DU.BAADUW..KKFW.LLLFWGG.. U98 T98 C97 A97 B94 F99 L99 G98 
11 10 1	...T.DCC.T.DU..AADUWBKK.FWBLLLFWBGG. U98 T98 C97 A97 B97 K99 F99 L99 G99 
11 10 1	...T.D.CCT.DU.BAADUWBKK.FWBLLLFWGG.. U98 T98 C98 A97 B96 K99 F99 L99 G98 
11 10 1	..BT.DCCBT.DU.BAADUW..KKFW.LLLFW.GG. U98 T98 C97 A97 B94 F99 L99 G99 
11 10 1	...T.DUCCT.DUWBAAD.WB.KKFWBLLLF.GG.. U99 T98 C98 B96 A97 F99 W99 L99 G98 
11 10 1	...T.DUCCT.DUWBAADFWBKK.FWBLLL..GG.. U99 T98 C98 W99 B96 A97 K99 L99 G98 
11 10 1	...T.DUCCT.DU.BAAD.WBKK.FWBLLLFWGG.. U99 T98 C98 B96 A97 F99 K99 L99 G98 
11 10 1	...T..UCCT.DUAA..D.WBKKDFWBLLLFWBGG. U99 T98 D99 C98 A99 F99 B97 K99 L99 G99 
11 10 1	...T.DUCCT.DUWBAADFWBKK.FWBLLLGG.... U99 T98 C98 B96 A97 W99 K99 L99 G96 
11 10 1	...T.D.CCT.DUWBAADUWB.KKFWBLLLF.GG.. U98 T98 C98 B96 A97 W99 F99 L99 G98 
11 10 1	U..T.DUCCT.D.WBAAD.WBKK.FWBLLLFGG... B96 C98 A97 T98 F99 W99 K99 L99 G97 
11 10 1	U..T..UCCT.DFWAA.DFWBKKD.WBLLL..BGG. B97 D99 C98 A98 T98 F99 W99 K99 L99 G99 
11 10 1	...T..UCCT.DUWAA.DFWBKKDFWBLLL..BGG. U99 T98 C98 D99 W99 A98 B97 K99 L99 G99 
11 10 1	...T.DUCCT.DUWBAAD.WBKK.FWBLLLF...GG U99 T98 C98 W99 B96 A97 K99 F99 L99 
11 10 1	U..T..UCCT.DFW.AADFWBKKD.WBLLL..BGG. B97 D99 C98 A97 T98 F99 W99 K99 L99 G99 
11 10 1	U..T..UCCT.D..BAAD.WBKKDFWBLLLFW.GG. B96 D99 C98 A97 T98 F99 K99 L99 G99 
11 10 1	...T.D.CCT.DUWBAADUWB.KKFWBLLLFGG... U98 T98 C98 W99 B96 A97 F99 L99 G97 
11 10 1	U..T..UCCT.D.WBAADFWBKKDFWBLLLGG.... B96 D99 C98 A97 T98 W99 K99 L99 G96 
11 10 1	...T.DUCCT.DUWBAADFWBKK.FWBLLL...GG. U99 T98 C98 W99 B96 A97 K99 L99 G99 
11 10 1	U..T..UCCT.D.WBAAD.WBKKDFWBLLLF...GG B96 D99 C98 A97 T98 F99 W99 K99 L99 
11 10 1	...T...CCT.DUW.AADUWBKKDFWBLLLF.B.GG U98 T98 C98 D99 W99 A97 B97 K99 F99 L99 
11 10 1	...T.DCC.T.DU.BAADUWB.KKFWBLLLFW.GG. U98 T98 C97 A97 B96 F99 L99 G99 
11 10 1	...T.DUCCT.DUWBAADFWBKK.FWBLLL.GG... U99 T98 C98 W99 B96 A97 K99 L99 G97 
11 10 1	...T.DCCBT.DU.BAADUWB.KKFWLLL.FW..GG U98 T98 C97 A97 B95 F99 L98 
11 10 1	...T.DUCCT.DUWBAAD.WB.KKFWBLLLFGG... U99 T98 C98 W99 B96 A97 F99 L99 G97 
11 10 1	U..T.DUCCT.DFW.AADFWB.KK.WBLLLGGB... B95 C98 A97 T98 F99 W99 L99 G96 
11 10 1	...T..UCCT.DUW.AAD.WBKKDFWBLLLF.B.GG U99 T98 C98 D99 W99 A97 B97 K99 F99 L99 
11 10 1	U..T.DUCCT.D.WBAAD.WBKK.FWBLLLF.GG.. B96 C98 A97 T98 F99 W99 K99 L99 G98 
11 10 1	U..T..UCCT.D.WBAADFWBKKDFWBLLL.GG... B96 D99 C98 A97 T98 W99 K99 L99 G97 
11 10 1	...T...CCT.DUWAA.DUWBKKDFWBLLLF.B.GG U98 T98 C98 D99 W99 A98 B97 K99 F99 L99 
11 10 1	...T.DCCBT.DU.BAADUWB.KKFW.LLLFW.GG. U98 T98 C97 A97 B95 F99 L99 G99 
11 10 1	...T.D.CCT.DU.BAADUWBKK.FWBLLLFW.GG. U98 T98 C98 A97 B96 K99 F99 L99 G99 
11 10 1	...T..UCCT.DUWAA.D.WBKKDFWBLLLF.B.GG U99 T98 C98 D99 W99 A98 B97 K99 F99 L99 
11 10 1	...T.D.CCT.DUWBAADUWBKK.FWBLLLF...GG U98 T98 C98 A97 W99 B96 K99 F99 L99 
11 10 1	...T.DCCBT.DU.BAADUWBKK.FW.LLLFW..GG U98 T98 C97 A97 B95 K99 F99 L99 
11 10 1	..BT.DCCBT.DU.BAADUW.KK.FW.LLLFW..GG U98 T98 C97 A97 B94 K99 F99 L99 
11 10 1	...T.DCC.T.DU.BAADUWBKK.FWBLLLFW..GG U98 T98 C97 A97 B96 K99 F99 L99 
11 10 1	U..T.DUCCT.DFWBAADFWBKK..WBLLL.GG... B96 C98 A97 T98 F99 W99 K99 L99 G97 
11 10 1	U..T.DUCCT.DFWBAADFWBKK..WBLLL..GG.. B96 C98 A97 T98 F99 W99 K99 L99 G98 
