3 0 3	..GGOS..DFOSAADFO.T.DF..TVKKJJ.VIII. G98 
8 5 3	GGDFOS..DFOSAADFO.TV....TVKKJJ.III.. G98 D99 F99 V99 I99 
8 4 4	GG..O...DFO.AADFOS..DF.STVKKJJTV.III G98 S98 T99 I99 
8 4 4	GG..O...DFOSAADFOS..DF..TVKKJJTV.III G98 S99 T99 I99 
8 4 4	.GG.O...DFOSAADFOS..DF..TVKKJJTV.III G99 S99 T99 I99 
8 4 4	....GG..DFO.AADFOS..DFOSTVKKJJTVIII. G98 O99 S98 T99 
8 4 4	GG......DFO.AADFOSTVDFOSTVKKJJ..III. G98 S98 O99 V99 
8 4 4	GG..O...DFO.AADFOSTVDF.STVKKJJ.III.. G98 S98 V99 I99 
8 4 4	GG......DFOSAADFOSTVDFO.TVKKJJ..III. G98 S99 O99 V99 
8 4 4	..DGG...DFO.AADFOST..FOSTVKKJJ.VIII. G99 O99 S98 D99 
8 4 4	GG.F....DFO.AADFOST.D.OSTVKKJJ.VIII. G98 S98 F99 O99 
8 4 4	GG.F....DFOSAADFOST.D.O.TVKKJJ.VIII. G98 S99 F99 O99 
9 5 4	.GGF....DFO.AADFOS..D.OSTVKKJJTVIII. G99 O99 S98 F99 T99 
9 5 4	GGD.....DFO.AADFOS...FOSTVKKJJTVIII. G98 S98 D99 O99 T99 
9 6 3	GGDFOS..DFOSAADFO..V....TVKKJJT..III G98 D99 F99 T99 V99 I99 
9 5 4	.GGFO...DFO.AADFOS.VD..STVKKJJT.III. G99 S98 F99 T99 V99 
9 5 4	....GG..DFOSAADFOSTVDFO.TVKKJJIII... G98 O99 S99 V99 I98 
9 5 4	....GG..DFO.AADFOSTVDFOSTVKKJJ...III G98 O99 S98 V99 I99 
9 5 4	GG.F....DFO.AADFOS..D.OSTVKKJJTVIII. G98 S98 F99 O99 T99 
9 5 4	GGD.....DFOSAADFOS...FO.TVKKJJTVIII. G98 S99 D99 O99 T99 
9 5 4	GG.F....DFOSAADFOSTVD.O.TVKKJJ..III. G98 S99 F99 O99 V99 
9 5 4	GG.F....DFOSAADFOS..D.O.TVKKJJTVIII. G98 S99 F99 O99 T99 
9 6 3	.GGF.S..DFOSAADFO..VD.O.TVKKJJT..III G99 O99 F99 T99 V99 I99 
9 6 3	GGDF.S..DFOSAADFO.....O.TVKKJJTV.III G98 O99 D99 F99 T99 I99 
9 6 3	GGD..S..DFOSAADFO..V.FO.TVKKJJTIII.. G98 O99 D99 T99 V99 I99 
9 6 3	GGDF.S..DFOSAADFO.TV..O.TVKKJJIII... G98 O99 D99 F99 V99 I98 
9 5 4	.GG.O...DFO.AADFOS.VDF.STVKKJJTIII.. G99 S98 T99 V99 I99 
9 6 3	GGDF.S..DFOSAADFO..V..O.TVKKJJT.III. G98 O99 D99 F99 T99 V99 
9 5 4	..D.GG..DFO.AADFOST..FOSTVKKJJ.V.III G98 O99 S98 D99 I99 
9 5 4	GGDFO...DFO.AADFOST....STVKKJJ.V.III G98 S98 D99 F99 I99 
9 6 3	GGD..S..DFOSAADFO..V.FO.TVKKJJT..III G98 O99 D99 T99 V99 I99 
9 5 4	..D.GG..DFO.AADFOS...FOSTVKKJJTVIII. G98 O99 S98 D99 T99 
9 5 4	..D.GG..DFO.AADFOSTV.FOSTVKKJJ..III. G98 O99 S98 D99 V99 
9 5 4	..DFGG..DFO.AADFOST...OSTVKKJJ.VIII. G98 O99 S98 D99 F99 
9 6 3	..DGGS..DFOSAADFO..V.FO.TVKKJJT..III G99 O99 D99 T99 V99 I99 
9 6 3	.GGF.S..DFOSAADFO..VD.O.TVKKJJTIII.. G99 O99 F99 T99 V99 I99 
9 6 3	GGDF.S..DFOSAADFO.TV..O.TVKKJJ...III G98 O99 D99 F99 V99 I99 
9 5 4	GGD.O...DFOSAADFOSTV.F..TVKKJJ.III.. G98 S99 D99 V99 I99 
9 5 4	GG.FO...DFO.AADFOSTVD..STVKKJJ.III.. G98 S98 F99 V99 I99 
9 5 4	GG.FO...DFOSAADFOSTVD...TVKKJJ.III.. G98 S99 F99 V99 I99 
9 5 4	...GG...DFO.AADFOSTVDFOSTVKKJJ.III.. G99 O99 S98 V99 I99 
9 5 4	...GG...DFOSAADFOSTVDFO.TVKKJJ.III.. G99 O99 S99 V99 I99 
9 5 4	GG.FO...DFOSAADFOSTVD...TVKKJJIII... G98 S99 F99 V99 I98 
9 5 4	.GGFO...DFO.AADFOSTVD..STVKKJJ.III.. G99 S98 F99 V99 I99 
9 5 4	GGD.O...DFO.AADFOSTV.F.STVKKJJ...III G98 S98 D99 V99 I99 
9 5 4	....GG..DFOSAADFOS.VDFO.TVKKJJT.III. G98 O99 S99 T99 V99 
9 5 4	.GGF....DFOSAADFOST.D.O.TVKKJJ.V.III G99 O99 S99 F99 I99 
9 5 4	.GG.....DFO.AADFOS..DFOSTVKKJJTV.III G99 O99 S98 T99 I99 
9 5 4	.GGF....DFOSAADFOS..D.O.TVKKJJTVIII. G99 O99 S99 F99 T99 
9 6 3	GG.F.S..DFOSAADFO..VD.O.TVKKJJTIII.. G98 O99 F99 T99 V99 I99 
9 5 4	GG.F....DFOSAADFOST.D.O.TVKKJJ.V.III G98 S99 F99 O99 I99 
9 5 4	.GGF....DFO.AADFOSTVD.OSTVKKJJ..III. G99 O99 S98 F99 V99 
9 5 4	GGD.O...DFOSAADFOS...F..TVKKJJTV.III G98 S99 D99 T99 I99 
9 5 4	GG..O...DFOSAADFOS.VDF..TVKKJJTIII.. G98 S99 T99 V99 I99 
9 5 4	GG......DFO.AADFOSTVDFOSTVKKJJ...III G98 O99 S98 V99 I99 
9 5 4	.GG.....DFOSAADFOSTVDFO.TVKKJJ.III.. G99 O99 S99 V99 I99 
9 5 4	.GG.O...DFOSAADFOS.VDF..TVKKJJT..III G99 S99 T99 V99 I99 
9 5 4	....GG..DFOSAADFOSTVDFO.TVKKJJ.III.. G98 O99 S99 V99 I99 
9 5 4	.GG.....DFOSAADFOS.VDFO.TVKKJJT.III. G99 O99 S99 T99 V99 
9 5 4	GG..O...DFO.AADFOS.VDF.STVKKJJT..III G98 S98 T99 V99 I99 
9 5 4	GG......DFO.AADFOSTVDFOSTVKKJJIII... G98 S98 O99 V99 I98 
9 5 4	GG......DFOSAADFOSTVDFO.TVKKJJIII... G98 S99 O99 V99 I98 
9 5 4	GG..O...DFOSAADFOS.VDF..TVKKJJT..III G98 S99 T99 V99 I99 
9 5 4	....GG..DFOSAADFOSTVDFO.TVKKJJ...III G98 O99 S99 V99 I99 
9 5 4	GG......DFOSAADFOSTVDFO.TVKKJJ...III G98 O99 S99 V99 I99 
9 5 4	.GGFO...DFOSAADFOSTVD...TVKKJJ.III.. G99 S99 F99 V99 I99 
9 5 4	.GG.....DFO.AADFOSTVDFOSTVKKJJ.III.. G99 O99 S98 V99 I99 
9 5 4	.GGF....DFOSAADFOSTVD.O.TVKKJJ..III. G99 O99 S99 F99 V99 
9 5 4	.GG.....DFOSAADFOS..DFO.TVKKJJTV.III G99 O99 S99 T99 I99 
9 5 4	.GG.....DFO.AADFOSTVDFOSTVKKJJIII... G99 O99 S98 V99 I98 
9 5 4	GG.FO...DFOSAADFOSTVD...TVKKJJ...III G98 S99 F99 V99 I99 
9 5 4	.GG.....DFO.AADFOS.VDFOSTVKKJJT.III. G99 O99 S98 T99 V99 
9 5 4	.GG.O...DFO.AADFOS.VDF.STVKKJJT..III G99 S98 T99 V99 I99 
9 5 4	GGD.O...DFOSAADFOSTV.F..TVKKJJ...III G98 S99 D99 V99 I99 
9 5 4	.GG.....DFO.AADFOSTVDFOSTVKKJJ...III G99 O99 S98 V99 I99 
9 5 4	.GG.....DFOSAADFOSTVDFO.TVKKJJ...III G99 O99 S99 V99 I99 
9 5 4	GGD.O...DFO.AADFOS...F.STVKKJJTV.III G98 S98 D99 T99 I99 
9 5 4	GG.F....DFO.AADFOST.D.OSTVKKJJ.V.III G98 S98 F99 O99 I99 
9 5 4	...FGG..DFOSAADFOSTVD.O.TVKKJJ..III. G98 O99 S99 F99 V99 
9 5 4	..D.GG..DFOSAADFOSTV.FO.TVKKJJ..III. G98 O99 S99 D99 V99 
9 5 4	GG......DFO.AADFOS.VDFOSTVKKJJT.III. G98 O99 S98 T99 V99 
9 5 4	GG......DFOSAADFOS.VDFO.TVKKJJT.III. G98 O99 S99 T99 V99 
9 5 4	GG..O...DFO.AADFOS.VDF.STVKKJJTIII.. G98 S98 T99 V99 I99 
9 5 4	.GGFO...DFOSAADFOSTVD...TVKKJJIII... G99 S99 F99 V99 I98 
9 5 4	GG.FO...DFO.AADFOSTVD..STVKKJJ...III G98 S98 F99 V99 I99 
9 5 4	GGD.O...DFO.AADFOS.V.F.STVKKJJT.III. G98 S98 D99 T99 V99 
9 5 4	GGD.O...DFOSAADFOS.V.F..TVKKJJT.III. G98 S99 D99 T99 V99 
9 5 4	GG......DFOSAADFOS..DFO.TVKKJJTV.III G98 S99 O99 T99 I99 
9 5 4	..DGG...DFOSAADFOST..FO.TVKKJJ.V.III G99 O99 S99 D99 I99 
9 6 3	GGDFOS..DFOSAADFO..V....TVKKJJTIII.. G98 D99 F99 T99 V99 I99 
9 5 4	.GGFO...DFOSAADFOS.VD...TVKKJJT.III. G99 S99 F99 T99 V99 
9 5 4	...FGG..DFO.AADFOST.D.OSTVKKJJ.V.III G98 O99 S98 F99 I99 
9 5 4	GGD.O...DFOSAADFOSTV.F..TVKKJJIII... G98 S99 D99 V99 I98 
9 5 4	GGDFO...DFOSAADFOST.....TVKKJJ.V.III G98 S99 D99 F99 I99 
9 5 4	.GGFO...DFO.AADFOSTVD..STVKKJJ...III G99 S98 F99 V99 I99 
9 5 4	.GGFO...DFOSAADFOSTVD...TVKKJJ...III G99 S99 F99 V99 I99 
9 5 4	.GGFO...DFOSAADFOS..D...TVKKJJTV.III G99 S99 F99 T99 I99 
9 5 4	GG......DFO.AADFOS..DFOSTVKKJJTV.III G98 S98 O99 T99 I99 
9 5 4	.GGFO...DFO.AADFOS..D..STVKKJJTV.III G99 S98 F99 T99 I99 
9 5 4	GG.FO...DFO.AADFOS.VD..STVKKJJT.III. G98 S98 F99 T99 V99 
9 5 4	.GGF....DFO.AADFOST.D.OSTVKKJJ.V.III G99 O99 S98 F99 I99 
9 5 4	GG.FO...DFOSAADFOS.VD...TVKKJJT.III. G98 S99 F99 T99 V99 
9 5 4	..DGG...DFO.AADFOST..FOSTVKKJJ.V.III G99 O99 S98 D99 I99 
9 5 4	GGD.....DFO.AADFOST..FOSTVKKJJ.V.III G98 O99 S98 D99 I99 
9 5 4	GGDFO...DFO.AADFOS.....STVKKJJTVIII. G98 S98 D99 F99 T99 
9 5 4	GGD.....DFOSAADFOST..FO.TVKKJJ.V.III G98 O99 S99 D99 I99 
9 5 4	GGDFO...DFOSAADFOS......TVKKJJTVIII. G98 S99 D99 F99 T99 
9 5 4	.GG.O...DFOSAADFOS.VDF..TVKKJJTIII.. G99 S99 T99 V99 I99 
9 5 4	GG.FO...DFO.AADFOS..D..STVKKJJTV.III G98 S98 F99 T99 I99 
9 5 4	GGD.O...DFO.AADFOSTV.F.STVKKJJIII... G98 S98 D99 V99 I98 
9 5 4	GG.FO...DFOSAADFOS..D...TVKKJJTV.III G98 S99 F99 T99 I99 
9 5 4	...FGG..DFOSAADFOS..D.O.TVKKJJTVIII. G98 O99 S99 F99 T99 
9 5 4	....GG..DFO.AADFOS..DFOSTVKKJJTV.III G98 O99 S98 T99 I99 
9 5 4	...GG...DFO.AADFOSTVDFOSTVKKJJ...III G99 O99 S98 V99 I99 
9 5 4	...GG...DFOSAADFOSTVDFO.TVKKJJ...III G99 O99 S99 V99 I99 
9 5 4	.GG.....DFOSAADFOSTVDFO.TVKKJJIII... G99 O99 S99 V99 I98 
9 5 4	....GG..DFOSAADFOS..DFO.TVKKJJTV.III G98 O99 S99 T99 I99 
9 5 4	...GG...DFO.AADFOS..DFOSTVKKJJTV.III G99 O99 S98 T99 I99 
9 5 4	...GG...DFOSAADFOS..DFO.TVKKJJTV.III G99 O99 S99 T99 I99 
9 5 4	..D.GG..DFOSAADFOS...FO.TVKKJJTVIII. G98 O99 S99 D99 T99 
9 5 4	GG.FO...DFO.AADFOSTVD..STVKKJJIII... G98 S98 F99 V99 I98 
9 5 4	...FGG..DFOSAADFOST.D.O.TVKKJJ.V.III G98 O99 S99 F99 I99 
9 5 4	..DFGG..DFOSAADFOST...O.TVKKJJ.VIII. G98 O99 S99 D99 F99 
9 5 4	..D.GG..DFOSAADFOST..FO.TVKKJJ.V.III G98 O99 S99 D99 I99 
9 5 4	..DGG...DFO.AADFOSTV.FOSTVKKJJ..III. G99 O99 S98 D99 V99 
9 5 4	..GG....DFOSAADFOS.VDFO.TVKKJJT..III O99 S99 T99 V99 I99 
9 6 3	..DGGS..DFOSAADFO..V.FO.TVKKJJTIII.. G99 O99 D99 T99 V99 I99 
9 5 4	...FGG..DFO.AADFOSTVD.OSTVKKJJ..III. G98 O99 S98 F99 V99 
9 5 4	.GGFO...DFO.AADFOSTVD..STVKKJJIII... G99 S98 F99 V99 I98 
9 5 4	...FGG..DFO.AADFOS..D.OSTVKKJJTVIII. G98 O99 S98 F99 T99 
9 5 4	..DGG...DFOSAADFOSTV.FO.TVKKJJ..III. G99 O99 S99 D99 V99 
9 6 3	GGDF.S..DFOSAADFO.TV..O.TVKKJJ.III.. G98 O99 D99 F99 V99 I99 
9 5 4	...GG...DFO.AADFOS.VDFOSTVKKJJT.III. G99 O99 S98 T99 V99 
9 5 4	..GG....DFO.AADFOS.VDFOSTVKKJJT..III O99 S98 T99 V99 I99 
9 5 4	....GG..DFO.AADFOSTVDFOSTVKKJJ.III.. G98 O99 S98 V99 I99 
9 5 4	...GG...DFOSAADFOS.VDFO.TVKKJJT.III. G99 O99 S99 T99 V99 
9 5 4	....GG..DFO.AADFOSTVDFOSTVKKJJIII... G98 O99 S98 V99 I98 
9 5 4	....GG..DFO.AADFOS.VDFOSTVKKJJT.III. G98 O99 S98 T99 V99 
9 5 4	GGD.O...DFO.AADFOSTV.F.STVKKJJ.III.. G98 S98 D99 V99 I99 
9 5 4	GGDF....DFOSAADFOST...O.TVKKJJ.VIII. G98 S99 D99 F99 O99 
9 5 4	...GG...DFO.AADFOSTVDFOSTVKKJJIII... G99 O99 S98 V99 I98 
9 5 4	GGDFO...DFO.AADFOSTV...STVKKJJ..III. G98 S98 D99 F99 V99 
9 5 4	..DGG...DFO.AADFOS...FOSTVKKJJTVIII. G99 O99 S98 D99 T99 
9 6 3	GG.F.S..DFOSAADFO..VD.O.TVKKJJT..III G98 O99 F99 T99 V99 I99 
9 5 4	GGDFO...DFOSAADFOSTV....TVKKJJ..III. G98 S99 D99 F99 V99 
9 5 4	..GG....DFO.AADFOS.VDFOSTVKKJJTIII.. O99 S98 T99 V99 I99 
9 5 4	..GG....DFOSAADFOS.VDFO.TVKKJJTIII.. O99 S99 T99 V99 I99 
9 5 4	GGDF....DFO.AADFOST...OSTVKKJJ.VIII. G98 S98 D99 F99 O99 
9 5 4	..DGG...DFOSAADFOS...FO.TVKKJJTVIII. G99 O99 S99 D99 T99 
9 5 4	...GG...DFOSAADFOSTVDFO.TVKKJJIII... G99 O99 S99 V99 I98 
9 5 4	GG......DFO.AADFOSTVDFOSTVKKJJ.III.. G98 S98 O99 V99 I99 
9 5 4	GG.F....DFO.AADFOSTVD.OSTVKKJJ..III. G98 S98 F99 O99 V99 
9 5 4	GGD.....DFO.AADFOSTV.FOSTVKKJJ..III. G98 S98 D99 O99 V99 
9 5 4	GG......DFOSAADFOSTVDFO.TVKKJJ.III.. G98 S99 O99 V99 I99 
9 5 4	GGD.....DFOSAADFOSTV.FO.TVKKJJ..III. G98 S99 D99 O99 V99 
10 6 4	.GGFO...DFOSAADFOS.VD...TVKKJJT..III G99 S99 F99 T99 V99 I99 
10 6 4	GGD.O...DFOSAADFOS.V.F..TVKKJJT..III G98 S99 D99 T99 V99 I99 
10 6 4	...FGG..DFOSAADFOSTVD.O.TVKKJJIII... G98 O99 S99 F99 V99 I98 
10 7 3	GGDF.S..DFOSAADFO..V..O.TVKKJJTIII.. G98 O99 D99 F99 T99 V99 I99 
10 6 4	.GGF....DFO.AADFOS..D.OSTVKKJJTV.III G99 O99 S98 F99 T99 I99 
10 6 4	GG......DFOSAADFOS.VDFO.TVKKJJTIII.. G98 O99 S99 T99 V99 I99 
10 6 4	...GG...DFO.AADFOS.VDFOSTVKKJJT..III G99 O99 S98 T99 V99 I99 
10 6 4	GGDFO...DFOSAADFOSTV....TVKKJJ...III G98 S99 D99 F99 V99 I99 
10 6 4	.GGFO...DFO.AADFOS.VD..STVKKJJTIII.. G99 S98 F99 T99 V99 I99 
10 6 4	....GG..DFO.AADFOS.VDFOSTVKKJJT..III G98 O99 S98 T99 V99 I99 
10 6 4	..D.GG..DFO.AADFOSTV.FOSTVKKJJ...III G98 O99 S98 D99 V99 I99 
10 6 4	...FGG..DFO.AADFOSTVD.OSTVKKJJ...III G98 O99 S98 F99 V99 I99 
10 6 4	.GG.....DFO.AADFOS.VDFOSTVKKJJTIII.. G99 O99 S98 T99 V99 I99 
10 6 4	..D.GG..DFOSAADFOSTV.FO.TVKKJJIII... G98 O99 S99 D99 V99 I98 
10 7 3	GGDF.S..DFOSAADFO..V..O.TVKKJJT..III G98 O99 D99 F99 T99 V99 I99 
10 6 4	GGDF....DFOSAADFOS....O.TVKKJJTVIII. G98 O99 S99 D99 F99 T99 
10 6 4	GG.F....DFOSAADFOS..D.O.TVKKJJTV.III G98 S99 F99 O99 T99 I99 
10 6 4	.GGFO...DFOSAADFOS.VD...TVKKJJTIII.. G99 S99 F99 T99 V99 I99 
10 6 4	..DFGG..DFO.AADFOST...OSTVKKJJ.V.III G98 O99 S98 D99 F99 I99 
10 6 4	..D.GG..DFO.AADFOS...FOSTVKKJJTV.III G98 O99 S98 D99 T99 I99 
10 6 4	...GG...DFOSAADFOS.VDFO.TVKKJJT..III G99 O99 S99 T99 V99 I99 
10 6 4	..D.GG..DFO.AADFOS.V.FOSTVKKJJT.III. G98 O99 S98 D99 T99 V99 
10 6 4	GG......DFO.AADFOS.VDFOSTVKKJJT..III G98 O99 S98 T99 V99 I99 
10 6 4	..DFGG..DFOSAADFOST...O.TVKKJJ.V.III G98 O99 S99 D99 F99 I99 
10 6 4	.GG.....DFOSAADFOS.VDFO.TVKKJJTIII.. G99 O99 S99 T99 V99 I99 
10 6 4	..DFGG..DFO.AADFOS....OSTVKKJJTVIII. G98 O99 S98 D99 F99 T99 
10 6 4	..D.GG..DFO.AADFOSTV.FOSTVKKJJIII... G98 O99 S98 D99 V99 I98 
10 6 4	..D.GG..DFO.AADFOSTV.FOSTVKKJJ.III.. G98 O99 S98 D99 V99 I99 
10 6 4	..DGG...DFOSAADFOSTV.FO.TVKKJJ.III.. G99 O99 S99 D99 V99 I99 
10 6 4	GGD.O...DFO.AADFOS.V.F.STVKKJJT..III G98 S98 D99 T99 V99 I99 
10 6 4	..DFGG..DFO.AADFOSTV..OSTVKKJJ..III. G98 O99 S98 D99 F99 V99 
10 6 4	..D.GG..DFOSAADFOS.V.FO.TVKKJJT.III. G98 O99 S99 D99 T99 V99 
10 6 4	...FGG..DFOSAADFOS.VD.O.TVKKJJT.III. G98 O99 S99 F99 T99 V99 
10 6 4	....GG..DFOSAADFOS.VDFO.TVKKJJT..III G98 O99 S99 T99 V99 I99 
10 6 4	..D.GG..DFOSAADFOSTV.FO.TVKKJJ.III.. G98 O99 S99 D99 V99 I99 
10 6 4	....GG..DFOSAADFOS.VDFO.TVKKJJTIII.. G98 O99 S99 T99 V99 I99 
10 6 4	..DGG...DFOSAADFOSTV.FO.TVKKJJIII... G99 O99 S99 D99 V99 I98 
10 6 4	GGDF....DFO.AADFOS....OSTVKKJJTVIII. G98 O99 S98 D99 F99 T99 
10 6 4	GG.F....DFO.AADFOS..D.OSTVKKJJTV.III G98 S98 F99 O99 T99 I99 
10 6 4	..D.GG..DFOSAADFOSTV.FO.TVKKJJ...III G98 O99 S99 D99 V99 I99 
10 6 4	.GGF....DFOSAADFOS..D.O.TVKKJJTV.III G99 O99 S99 F99 T99 I99 
10 6 4	GGD.....DFO.AADFOSTV.FOSTVKKJJ.III.. G98 O99 S98 D99 V99 I99 
10 6 4	...FGG..DFOSAADFOSTVD.O.TVKKJJ.III.. G98 O99 S99 F99 V99 I99 
10 6 4	GGD.....DFO.AADFOSTV.FOSTVKKJJIII... G98 S98 D99 O99 V99 I98 
10 6 4	GG......DFO.AADFOS.VDFOSTVKKJJTIII.. G98 O99 S98 T99 V99 I99 
10 6 4	GGD.....DFOSAADFOSTV.FO.TVKKJJIII... G98 S99 D99 O99 V99 I98 
10 6 4	...FGG..DFOSAADFOSTVD.O.TVKKJJ...III G98 O99 S99 F99 V99 I99 
10 6 4	GG.F....DFOSAADFOSTVD.O.TVKKJJIII... G98 S99 F99 O99 V99 I98 
10 6 4	GG.F....DFO.AADFOSTVD.OSTVKKJJIII... G98 S98 F99 O99 V99 I98 
10 6 4	.GGF....DFOSAADFOSTVD.O.TVKKJJ.III.. G99 O99 S99 F99 V99 I99 
10 6 4	GG.F....DFOSAADFOSTVD.O.TVKKJJ...III G98 O99 S99 F99 V99 I99 
10 6 4	.GGF....DFO.AADFOSTVD.OSTVKKJJ.III.. G99 O99 S98 F99 V99 I99 
10 6 4	GG.F....DFO.AADFOSTVD.OSTVKKJJ...III G98 O99 S98 F99 V99 I99 
10 6 4	GGD.....DFO.AADFOS.V.FOSTVKKJJT.III. G98 O99 S98 D99 T99 V99 
10 6 4	GG.FO...DFOSAADFOS.VD...TVKKJJTIII.. G98 S99 F99 T99 V99 I99 
10 6 4	..DFGG..DFOSAADFOSTV..O.TVKKJJ..III. G98 O99 S99 D99 F99 V99 
10 6 4	..DGG...DFOSAADFOS...FO.TVKKJJTV.III G99 O99 S99 D99 T99 I99 
10 6 4	...FGG..DFO.AADFOS.VD.OSTVKKJJT.III. G98 O99 S98 F99 T99 V99 
10 6 4	.GGF....DFOSAADFOSTVD.O.TVKKJJIII... G99 O99 S99 F99 V99 I98 
10 6 4	.GGFO...DFO.AADFOS.VD..STVKKJJT..III G99 S98 F99 T99 V99 I99 
10 6 4	GGD.O...DFOSAADFOS.V.F..TVKKJJTIII.. G98 S99 D99 T99 V99 I99 
10 6 4	.GGF....DFO.AADFOSTVD.OSTVKKJJ...III G99 O99 S98 F99 V99 I99 
10 6 4	GGDFO...DFOSAADFOS.V....TVKKJJT.III. G98 S99 D99 F99 T99 V99 
10 6 4	GGD.....DFOSAADFOS.V.FO.TVKKJJT.III. G98 O99 S99 D99 T99 V99 
10 6 4	.GGF....DFO.AADFOS.VD.OSTVKKJJT.III. G99 O99 S98 F99 T99 V99 
10 6 4	GGDFO...DFO.AADFOS.V...STVKKJJT.III. G98 S98 D99 F99 T99 V99 
10 6 4	GGD.O...DFO.AADFOS.V.F.STVKKJJTIII.. G98 S98 D99 T99 V99 I99 
10 6 4	GG.FO...DFO.AADFOS.VD..STVKKJJTIII.. G98 S98 F99 T99 V99 I99 
10 6 4	GGD.....DFO.AADFOS...FOSTVKKJJTV.III G98 O99 S98 D99 T99 I99 
10 6 4	...FGG..DFO.AADFOS..D.OSTVKKJJTV.III G98 O99 S98 F99 T99 I99 
10 6 4	..DFGG..DFOSAADFOS....O.TVKKJJTVIII. G98 O99 S99 D99 F99 T99 
10 6 4	GG.F....DFO.AADFOS.VD.OSTVKKJJT.III. G98 O99 S98 F99 T99 V99 
10 6 4	..DGG...DFO.AADFOS...FOSTVKKJJTV.III G99 O99 S98 D99 T99 I99 
10 6 4	GGDF....DFO.AADFOST...OSTVKKJJ.V.III G98 O99 S98 D99 F99 I99 
10 6 4	..DGG...DFO.AADFOSTV.FOSTVKKJJ...III G99 O99 S98 D99 V99 I99 
10 6 4	GGDF....DFOSAADFOST...O.TVKKJJ.V.III G98 O99 S99 D99 F99 I99 
10 6 4	.GGF....DFO.AADFOSTVD.OSTVKKJJIII... G99 O99 S98 F99 V99 I98 
10 6 4	...FGG..DFOSAADFOS..D.O.TVKKJJTV.III G98 O99 S99 F99 T99 I99 
10 6 4	..DGG...DFOSAADFOSTV.FO.TVKKJJ...III G99 O99 S99 D99 V99 I99 
10 6 4	GGD.....DFOSAADFOS...FO.TVKKJJTV.III G98 O99 S99 D99 T99 I99 
10 6 4	GGDFO...DFOSAADFOSTV....TVKKJJIII... G98 S99 D99 F99 V99 I98 
10 6 4	GGDFO...DFO.AADFOSTV...STVKKJJIII... G98 S98 D99 F99 V99 I98 
10 6 4	.GGF....DFOSAADFOSTVD.O.TVKKJJ...III G99 O99 S99 F99 V99 I99 
10 6 4	GGD.....DFOSAADFOSTV.FO.TVKKJJ.III.. G98 O99 S99 D99 V99 I99 
10 6 4	GGDF....DFOSAADFOSTV..O.TVKKJJ..III. G98 O99 S99 D99 F99 V99 
10 6 4	GG.F....DFOSAADFOS.VD.O.TVKKJJT.III. G98 O99 S99 F99 T99 V99 
10 6 4	.GGF....DFOSAADFOS.VD.O.TVKKJJT.III. G99 O99 S99 F99 T99 V99 
10 6 4	GG.F....DFOSAADFOSTVD.O.TVKKJJ.III.. G98 O99 S99 F99 V99 I99 
10 6 4	.GG.....DFO.AADFOS.VDFOSTVKKJJT..III G99 O99 S98 T99 V99 I99 
10 6 4	...GG...DFOSAADFOS.VDFO.TVKKJJTIII.. G99 O99 S99 T99 V99 I99 
10 6 4	..DGG...DFO.AADFOS.V.FOSTVKKJJT.III. G99 O99 S98 D99 T99 V99 
10 6 4	GGDF....DFO.AADFOSTV..OSTVKKJJ..III. G98 O99 S98 D99 F99 V99 
10 6 4	..D.GG..DFOSAADFOS...FO.TVKKJJTV.III G98 O99 S99 D99 T99 I99 
10 6 4	..DGG...DFOSAADFOS.V.FO.TVKKJJT.III. G99 O99 S99 D99 T99 V99 
10 6 4	GGDFO...DFOSAADFOS......TVKKJJTV.III G98 S99 D99 F99 T99 I99 
10 6 4	...FGG..DFO.AADFOSTVD.OSTVKKJJIII... G98 O99 S98 F99 V99 I98 
10 6 4	...FGG..DFO.AADFOSTVD.OSTVKKJJ.III.. G98 O99 S98 F99 V99 I99 
10 6 4	...GG...DFO.AADFOS.VDFOSTVKKJJTIII.. G99 O99 S98 T99 V99 I99 
10 6 4	.GG.....DFOSAADFOS.VDFO.TVKKJJT..III G99 O99 S99 T99 V99 I99 
10 6 4	GG.F....DFO.AADFOSTVD.OSTVKKJJ.III.. G98 O99 S98 F99 V99 I99 
10 6 4	GG.FO...DFOSAADFOS.VD...TVKKJJT..III G98 S99 F99 T99 V99 I99 
10 6 4	GGD.....DFO.AADFOSTV.FOSTVKKJJ...III G98 O99 S98 D99 V99 I99 
10 6 4	GGDFO...DFOSAADFOSTV....TVKKJJ.III.. G98 S99 D99 F99 V99 I99 
10 6 4	..DGG...DFO.AADFOSTV.FOSTVKKJJIII... G99 O99 S98 D99 V99 I98 
10 6 4	..DGG...DFO.AADFOSTV.FOSTVKKJJ.III.. G99 O99 S98 D99 V99 I99 
10 6 4	GGD.....DFOSAADFOSTV.FO.TVKKJJ...III G98 O99 S99 D99 V99 I99 
10 6 4	GGDFO...DFO.AADFOS.....STVKKJJTV.III G98 S98 D99 F99 T99 I99 
10 6 4	....GG..DFO.AADFOS.VDFOSTVKKJJTIII.. G98 O99 S98 T99 V99 I99 
10 6 4	GG......DFOSAADFOS.VDFO.TVKKJJT..III G98 O99 S99 T99 V99 I99 
10 6 4	GGDFO...DFO.AADFOSTV...STVKKJJ.III.. G98 S98 D99 F99 V99 I99 
10 6 4	GGDFO...DFO.AADFOSTV...STVKKJJ...III G98 S98 D99 F99 V99 I99 
